Heart - Left Ventricle,Cells - Cultured fibroblasts,Lung,Liver,Kidney - Cortex,Adipose - Visceral (Omentum),Adipose - Subcutaneous,Heart - Atrial Appendage,Skin - Sun Exposed (Lower leg),Skin - Not Sun Exposed (Suprapubic)
ENST00000617470 - SDHA,ENST00000433736 - ITGAV,ENST00000375076 - AGER,ENST00000415165 - ALB,ENST00000367615 - NPHS2,ENST00000610990 - FGF1,ENST00000308868 - LEP,ENST00000376480 - NPPA,ENST00000269576 - KRT10,ENST00000252244 - KRT1
ENST00000367318 - TNNT2,ENST00000360490 - MME,ENST00000519937 - SFTPB,ENST00000345378 - GCK,ENST00000367616 - NPHS2,ENST00000599436 - MUC16,ENST00000423850 - CIDEC,ENST00000223364 - MYL7,ENST00000309680 - KRT2,ENST00000269576 - KRT10
ENST00000344887 - TNNI3,ENST00000424922 - CALD1,ENST00000428376 - SFTPA1,ENST00000621085 - ALB,ENST00000336232 - SLC22A8,ENST00000570836 - ALOX15,ENST00000336832 - CIDEC,ENST00000376468 - NPPB,ENST00000252244 - KRT1,ENST00000341809 - KRT77
ENST00000401702 - MB,ENST00000426059 - FN1,ENST00000409383 - SFTPB,ENST00000613898 - HP,ENST00000377567 - SLC22A12,ENST00000601404 - MUC16,ENST00000560330 - PLIN1,ENST00000393450 - MYL4,ENST00000376288 - CDSN,ENST00000376288 - CDSN
ENST00000395869 - MYL3,ENST00000505593 - LOX,ENST00000428225 - SFTPB,ENST00000367698 - SERPINC1,ENST00000414188 - ACSM2B,ENST00000596768 - MUC16,ENST00000618572 - CIDEC,ENST00000367318 - TNNT2,ENST00000388718 - FLG2,ENST00000388718 - FLG2
ENST00000292327 - MYL3,ENST00000481828 - missing,ENST00000278282 - SCGB1A1,ENST00000295897 - ALB,ENST00000473690 - SLC22A12,ENST00000397910 - MUC16,ENST00000320741 - ADIPOQ,ENST00000457314 - MYL7,ENST00000368742 - LORICRIN,ENST00000427043 - CASP14
ENST00000452975 - BZW2,ENST00000465297 - AOX1,ENST00000375069 - AGER,ENST00000526814 - CYP2C8,ENST00000377574 - SLC22A12,ENST00000563941 - MSLN,ENST00000521734 - FABP4,ENST00000405093 - MYH6,ENST00000427043 - CASP14,ENST00000167586 - KRT14
ENST00000545968 - MYBPC3,ENST00000541428 - ASPH,ENST00000296694 - SCGB3A2,ENST00000511370 - ALB,ENST00000324417 - SLC34A1,ENST00000394849 - UPK3B,ENST00000475923 - PLIN2,ENST00000344887 - TNNI3,ENST00000556881 - SERPINA12,ENST00000548765 - KRT1
ENST00000618006 - BSG,ENST00000502326 - IL6ST,ENST00000375055 - AGER,ENST00000302068 - FGB,ENST00000451262 - SLC22A8,ENST00000326245 - ITLN1,ENST00000383817 - CIDEC,ENST00000545968 - MYBPC3,ENST00000341809 - KRT77,ENST00000368742 - LORICRIN
ENST00000228841 - MYL2,ENST00000323926 - FN1,ENST00000183605 - CLDN18,ENST00000307503 - AGXT,ENST00000296776 - TMEM174,ENST00000545450 - MSLN,ENST00000281030 - THRSP,ENST00000265968 - CSRP3,ENST00000548765 - KRT1,ENST00000314980 - LGALS7B
ENST00000431375 - DNAJA3,ENST00000336916 - FN1,ENST00000524255 - SFTPC,ENST00000398131 - HP,ENST00000428570 - SLC22A11,ENST00000293761 - ALOX15,ENST00000333813 - TRARG1,ENST00000168977 - NMRK2,ENST00000293371 - DCD,ENST00000556881 - SERPINA12
ENST00000545648 - SARAF,ENST00000639739 - LOX,ENST00000372325 - SFTPA2,ENST00000355962 - TAT,ENST00000330498 - SLC5A2,ENST00000566549 - MSLN,ENST00000373031 - TNMD,ENST00000371697 - ANKRD1,ENST00000338897 - KRTDAP,ENST00000338897 - KRTDAP
ENST00000561395 - TPM1,ENST00000403681 - HMGA2,ENST00000393853 - missing,ENST00000205948 - APOH,ENST00000301891 - SLC22A11,ENST00000334348 - UPK3B,ENST00000430628 - PLIN1,ENST00000509001 - TNNT2,ENST00000606109 - KPRP,ENST00000375819 - LY6G6C
ENST00000547250 - ATP5F1B,ENST00000342951 - PSG5,ENST00000318561 - SFTPC,ENST00000301141 - CYP2A6,ENST00000449590 - PTH1R,ENST00000611843 - ANXA8,ENST00000255427 - CHIT1,ENST00000434895 - MYL7,ENST00000368799 - FLG,ENST00000293371 - DCD
ENST00000265968 - CSRP3,ENST00000476752 - DKK1,ENST00000494165 - SFTPB,ENST00000227667 - APOC3,ENST00000570689 - UMOD,ENST00000382862 - MSLN,ENST00000394618 - LGALS12,ENST00000570671 - MYL4,ENST00000368748 - SPRR2G,ENST00000309680 - KRT2
ENST00000490979 - TACC2,ENST00000610907 - PABPC1,ENST00000566116 - ADAMTS7P3,ENST00000265132 - AMBP,ENST00000216075 - MIOX,ENST00000540069 - HAS1,ENST00000522659 - FABP4,ENST00000295379 - BMP10,ENST00000375819 - LY6G6C,ENST00000372789 - WFDC5
ENST00000421646 - XIRP1,ENST00000317840 - COL3A1,ENST00000398636 - SFTPA1,ENST00000623108 - CYP2C8,ENST00000617670 - FMO1,ENST00000635041 - PRG4,ENST00000256104 - FABP4,ENST00000381210 - TECRL,ENST00000368775 - C1orf68,ENST00000484218 - KRTDAP
ENST00000393352 - FHL2,ENST00000373970 - DKK1,ENST00000521315 - SFTPC,ENST00000265983 - HPX,ENST00000396138 - UMOD,ENST00000494442 - ITLN2,ENST00000518669 - FABP4,ENST00000446581 - MYL7,ENST00000314980 - LGALS7B,ENST00000408915 - DMKN
ENST00000168977 - NMRK2,ENST00000492661 - MME,ENST00000253719 - NAPSA,ENST00000596719 - CYP2A6,ENST00000511446 - GBA3,ENST00000506195 - LINC02360,ENST00000300055 - PLIN1,ENST00000615540 - PDLIM5,ENST00000319098 - PSAPL1,ENST00000227918 - SCGB2A2
ENST00000543351 - VDAC2,ENST00000443024 - IARS1,ENST00000292641 - SCGB3A1,ENST00000509493 - FGB,ENST00000512593 - SLC34A1,ENST00000423850 - CIDEC,ENST00000512413 - LVRN,ENST00000397328 - MB,ENST00000408915 - DMKN,ENST00000319098 - PSAPL1
ENST00000369360 - NRAP,ENST00000437994 - CD109,ENST00000354982 - FCN3,ENST00000404648 - FGG,ENST00000539841 - SLC22A8,ENST00000378858 - LRRN4,ENST00000625222 - LINC01230,ENST00000340369 - XIRP1,ENST00000424570 - DMKN,ENST00000380332 - CALML5
ENST00000287490 - COX6A2,ENST00000416957 - FNDC3B,ENST00000419470 - SFTPA1,ENST00000366963 - SLC22A1,ENST00000354728 - UGT1A9,ENST00000561896 - MSLN,ENST00000394788 - CD36,ENST00000561395 - TPM1,ENST00000380332 - CALML5,ENST00000257192 - DSG1
ENST00000476888 - TNNT2,ENST00000493888 - MME,ENST00000473692 - SFTPB,ENST00000556021 - LINC01595,ENST00000298530 - TMEM52B,ENST00000345382 - BNC1,ENST00000599211 - LIPE,ENST00000293780 - missing,ENST00000372789 - WFDC5,ENST00000257198 - DSC1
ENST00000588882 - TNNI3,ENST00000589116 - CCBE1,ENST00000240335 - TBX4,ENST00000367990 - APOA2,ENST00000272425 - NAT8,ENST00000367485 - PRG4,ENST00000340246 - LGALS12,ENST00000400892 - CLCN6,ENST00000257192 - DSG1,ENST00000368775 - C1orf68
ENST00000397328 - MB,ENST00000315274 - MMP1,ENST00000361306 - EGFL6,ENST00000371129 - ANGPTL3,ENST00000438926 - SLC12A3,ENST00000521734 - FABP4,ENST00000445272 - HSD11B1-AS1,ENST00000458573 - LMOD2,ENST00000227918 - SCGB2A2,ENST00000205386 - LAMB4
ENST00000589864 - TNNI3,ENST00000460393 - MME,ENST00000571679 - TMEM100,ENST00000316161 - CYP8B1,ENST00000395322 - CTXN3,ENST00000560330 - PLIN1,ENST00000301286 - PLIN4,ENST00000421646 - XIRP1,ENST00000484218 - KRTDAP,ENST00000606109 - KPRP
ENST00000615513 - CDKN1A,ENST00000543485 - MMP2,ENST00000286890 - GGTLC1,ENST00000265512 - ADH4,ENST00000395645 - SLC5A10,ENST00000515271 - BTNL9,ENST00000379433 - NEDD9,ENST00000578283 - TCAP,ENST00000308796 - MUCL1,ENST00000308796 - MUCL1
ENST00000471112 - NDUFB5,ENST00000527258 - ABI3BP,ENST00000568767 - RP11-513N24.1,ENST00000431067 - ORM2,ENST00000262502 - SLC12A3,ENST00000398131 - HP,ENST00000521296 - CIDEA,ENST00000557860 - ACTC1,ENST00000368780 - LCE2B,ENST00000452271 - SBSN
ENST00000366683 - ACTA1,ENST00000296027 - CXCL5,ENST00000382051 - SLC34A2,ENST00000535898 - CYP2C8,ENST00000395732 - MIOX,ENST00000467888 - EPAS1,ENST00000367483 - PRG4,ENST00000329198 - NKX2-5,ENST00000257198 - DSC1,ENST00000257197 - DSC1
ENST00000626637 - HADH,ENST00000429383 - TBC1D5,ENST00000337911 - MS4A15,ENST00000398138 - RDH16,ENST00000570262 - CDH16,ENST00000566269 - MSLN,ENST00000597620 - LIPE,ENST00000460780 - TNNT2,ENST00000607093 - LCE1C,ENST00000518157 - SBSN
ENST00000355349 - MYH7,ENST00000513319 - LOX,ENST00000318602 - A2M,ENST00000403106 - FGA,ENST00000376191 - MCCD1,ENST00000264234 - UPK1B,ENST00000357872 - LVRN,ENST00000491504 - TNNT2,ENST00000257197 - DSC1,ENST00000368799 - FLG
ENST00000537531 - TINAGL1,ENST00000527044 - KNL1,ENST00000616054 - CCL18,ENST00000311907 - F2,ENST00000377581 - SLC22A11,ENST00000502327 - EMCN,ENST00000380464 - PLIN2,ENST00000551917 - SLC25A3,ENST00000546027 - SERPINB7,ENST00000546027 - SERPINB7
ENST00000509001 - TNNT2,ENST00000520337 - CTHRC1,ENST00000278765 - GGTLC1,ENST00000320493 - CFHR1,ENST00000367382 - ATP6V1G3,ENST00000475923 - PLIN2,ENST00000441109 - CD36,ENST00000457910 - MYL7,ENST00000447113 - DMKN,ENST00000259845 - PSORS1C2
ENST00000381210 - TECRL,ENST00000389869 - NIN,ENST00000498393 - FCN3,ENST00000216540 - SLC10A1,ENST00000409741 - SLC3A1,ENST00000533213 - ABLIM1,ENST00000396404 - CYP19A1,ENST00000369360 - NRAP,ENST00000518157 - SBSN,ENST00000424570 - DMKN
ENST00000578283 - TCAP,ENST00000261201 - ABCC9,ENST00000446372 - SFTA1P,ENST00000354593 - CYP3A4,ENST00000563352 - SLC12A3,ENST00000351513 - DPYS,ENST00000538969 - CD36,ENST00000476118 - MYL7,ENST00000259845 - PSORS1C2,ENST00000547930 - PLA2G4E
ENST00000309889 - TCAP,ENST00000273342 - COL8A1,ENST00000359086 - SFTA2,ENST00000576101 - ACSM2A,ENST00000292079 - FXYD2,ENST00000585281 - ANXA8,ENST00000320477 - CIDEA,ENST00000397326 - MB,ENST00000368750 - SPRR2E,ENST00000447113 - DMKN
ENST00000367317 - TNNT2,ENST00000628517 - BCLAF1,ENST00000598044 - NAPSA,ENST00000485270 - MAT1A,ENST00000638648 - HADH,ENST00000222115 - HAS1,ENST00000303645 - MRAP,ENST00000290378 - ACTC1,ENST00000167586 - KRT14,ENST00000495859 - LY6G6C
ENST00000548746 - CS,ENST00000640382 - TCEA1,ENST00000491167 - SFTPB,ENST00000576119 - ACSM2A,ENST00000527405 - SLC5A12,ENST00000401724 - BARX1,ENST00000545676 - PFKFB1,ENST00000357155 - MYBPHL,ENST00000452271 - SBSN,ENST00000418261 - DMKN
ENST00000329198 - NKX2-5,ENST00000469350 - PLOD2,ENST00000616474 - CCL18,ENST00000566010 - TAT,ENST00000409740 - SLC3A1,ENST00000518669 - FABP4,ENST00000370674 - FHL1,ENST00000413299 - SBK2,ENST00000547930 - PLA2G4E,ENST00000368817 - THEM5
ENST00000458573 - LMOD2,ENST00000366175 - PSG5,ENST00000380602 - EGFL6,ENST00000259396 - ORM1,ENST00000507685 - SLC34A1,ENST00000336832 - CIDEC,ENST00000511589 - BTNL9,ENST00000557461 - MYH6,ENST00000246515 - SLURP1,ENST00000356517 - AADACL2
ENST00000232975 - TNNC1,ENST00000376723 - UGGT1,ENST00000393676 - FOLR1,ENST00000360608 - missing,ENST00000506431 - LINC01187,ENST00000570083 - HP,ENST00000419819 - CD36,ENST00000287490 - COX6A2,ENST00000418261 - DMKN,ENST00000476662 - KRT14
ENST00000546248 - TRDN,ENST00000536657 - WASF2,ENST00000270879 - FCN3,ENST00000395495 - A1CF,ENST00000616752 - ALDOB,ENST00000452863 - WT1,ENST00000586233 - CD300LG,ENST00000447951 - MYL7,ENST00000339686 - DMKN,ENST00000301452 - ACER1
ENST00000223364 - MYL7,ENST00000462745 - MME,ENST00000401766 - SLC6A4,ENST00000566094 - TAT,ENST00000554172 - PAX2,ENST00000614701 - missing,ENST00000425817 - SLC19A3,ENST00000372873 - SYNPO2L,ENST00000205386 - LAMB4,ENST00000339480 - GJB4
ENST00000371697 - ANKRD1,ENST00000616868 - SULF1,ENST00000498187 - NKX2-1,ENST00000371891 - CYP4A22,ENST00000199280 - AQP2,ENST00000459780 - ADAMTS9,ENST00000244289 - LIPE,ENST00000307128 - MYOZ2,ENST00000301452 - ACER1,ENST00000246515 - SLURP1
ENST00000473157 - SLC2A4RG,ENST00000479759 - CAP1,ENST00000253513 - IDO1,ENST00000490994 - CYP2C8,ENST00000377572 - SLC22A12,ENST00000404938 - ABCB5,ENST00000490689 - SHOX2,ENST00000536623 - MYL4,ENST00000339480 - GJB4,ENST00000339686 - DMKN
ENST00000369358 - NRAP,ENST00000482079 - WNT5A,ENST00000405633 - MS4A15,ENST00000232003 - HRG,ENST00000567269 - CDH16,ENST00000355906 - HP,ENST00000393955 - PC,ENST00000309889 - TCAP,ENST00000368817 - THEM5,ENST00000454677 - HS3ST6
ENST00000450296 - ACAA1,ENST00000564864 - MMP2,ENST00000480633 - PRKCE,ENST00000396104 - ACSM2A,ENST00000416590 - SLC22A11,ENST00000497685 - UPK1B,ENST00000488841 - TPRG1,ENST00000494095 - TNNT2,ENST00000399518 - PLA2G4E,ENST00000532638 - POU2F3
ENST00000598858 - HRC,ENST00000525970 - CSDE1,ENST00000261707 - SLC6A4,ENST00000263408 - C9,ENST00000305231 - UGT2B7,ENST00000522659 - FABP4,ENST00000488048 - CD36,ENST00000573747 - MYL4,ENST00000319144 - missing,ENST00000606153 - POU2F3
ENST00000456649 - MYH7B,ENST00000474644 - COL1A1,ENST00000539243 - ARHGAP45,ENST00000564849 - ACSM2B,ENST00000272190 - REN,ENST00000379079 - WT1,ENST00000301149 - GPD1,ENST00000403994 - TPM1,ENST00000434389 - DMKN,ENST00000441550 - KRT14
ENST00000416415 - SMYD2,ENST00000543445 - LDHA,ENST00000540226 - RP11-598F7.3,ENST00000302053 - missing,ENST00000430500 - SLC22A8,ENST00000469295 - SLC2A3,ENST00000375006 - PFKFB1,ENST00000232975 - TNNC1,ENST00000301659 - GSDMA,ENST00000549511 - KRT5
ENST00000491504 - TNNT2,ENST00000475937 - FOXP1,ENST00000522495 - IDO1,ENST00000242375 - AKR1D1,ENST00000380342 - CLTRN,ENST00000498317 - CFB,ENST00000258403 - SLC19A3,ENST00000396251 - XIRP1,ENST00000356517 - AADACL2,ENST00000552629 - KRT5
