GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000592683 - TUBB6,ENST00000486085 - RTN4,ENST00000246533 - CAPNS1,ENST00000621109 - PSG9,ENST00000433153 - HLA-C,ENST00000436191 - MICA,ENST00000612235 - CADM1,ENST00000621109 - PSG9,ENST00000633941 - GPI,ENST00000521647 - PLAT,ENST00000601041 - PSG4,ENST00000621109 - PSG9,ENST00000601041 - PSG4
ENST00000517352 - TNFRSF11B,ENST00000261180 - TRHDE,ENST00000587184 - LAMA3,ENST00000317449 - LRRN4CL,ENST00000470133 - PLOD1,ENST00000560352 - NEO1,ENST00000621109 - PSG9,ENST00000517352 - TNFRSF11B,ENST00000367718 - TNFSF4,ENST00000633941 - GPI,ENST00000479203 - HLA-B,ENST00000517352 - TNFRSF11B,ENST00000261180 - TRHDE
ENST00000260702 - LOXL4,ENST00000297350 - TNFRSF11B,ENST00000336916 - FN1,ENST00000366175 - PSG5,ENST00000625615 - PTPRK,ENST00000520033 - ANGPT1,ENST00000492888 - KIAA0319L,ENST00000370207 - F3,ENST00000517352 - TNFRSF11B,ENST00000418055 - P4HA2,ENST00000366175 - PSG5,ENST00000261180 - TRHDE,ENST00000429840 - HLA-C
ENST00000597058 - PSG1,ENST00000423218 - ITGA11,ENST00000457586 - PRNP,ENST00000525866 - LAYN,ENST00000441303 - DCN,ENST00000552503 - TRHDE,ENST00000397022 - HFE,ENST00000261180 - TRHDE,ENST00000479053 - RECK,ENST00000503090 - HHIP,ENST00000517352 - TNFRSF11B,ENST00000592683 - TUBB6,ENST00000317449 - LRRN4CL
ENST00000525866 - LAYN,ENST00000517352 - TNFRSF11B,ENST00000611028 - FOLR3,ENST00000597058 - PSG1,ENST00000593998 - ANGPTL4,ENST00000261180 - TRHDE,ENST00000421350 - MICA,ENST00000378076 - ITGA8,ENST00000593998 - ANGPTL4,ENST00000296575 - HHIP,ENST00000596907 - PSG4,ENST00000306773 - NPTX1,ENST00000297350 - TNFRSF11B
ENST00000297350 - TNFRSF11B,ENST00000473258 - COL6A3,ENST00000222572 - PON2,ENST00000260702 - LOXL4,ENST00000355279 - FAS,ENST00000549401 - TRHDE,ENST00000420744 - MICA,ENST00000281834 - TNFSF4,ENST00000418055 - P4HA2,ENST00000509814 - ITGA2,ENST00000297350 - TNFRSF11B,ENST00000281834 - TNFSF4,ENST00000370207 - F3
ENST00000366175 - PSG5,ENST00000370207 - F3,ENST00000431533 - RPL28,ENST00000377966 - RECK,ENST00000429840 - HLA-C,ENST00000492878 - EPHB4,ENST00000423443 - MICA,ENST00000306773 - NPTX1,ENST00000571617 - P4HB,ENST00000281834 - TNFSF4,ENST00000266646 - INHBE,ENST00000438462 - RTN4,ENST00000486085 - RTN4
ENST00000261180 - TRHDE,ENST00000281834 - TNFSF4,ENST00000619935 - CRIM1,ENST00000343110 - PRELP,ENST00000378192 - TLN1,ENST00000468758 - MGAT5,ENST00000498284 - PTPRK,ENST00000473258 - COL6A3,ENST00000619287 - OSCAR,ENST00000265071 - CDH6,ENST00000481570 - COL1A2,ENST00000367718 - TNFSF4,ENST00000517352 - TNFRSF11B
ENST00000582147 - COLEC12,ENST00000438462 - RTN4,ENST00000367030 - LAMB3,ENST00000473202 - SERPINE2,ENST00000633992 - GREM1,ENST00000549922 - TRHDE,ENST00000627390 - PTPRK,ENST00000486085 - RTN4,ENST00000263012 - NOMO3,ENST00000367718 - TNFSF4,ENST00000261180 - TRHDE,ENST00000297350 - TNFRSF11B,ENST00000265071 - CDH6
ENST00000481570 - COL1A2,ENST00000306773 - NPTX1,ENST00000393962 - ANGPTL4,ENST00000507750 - KCNN2,ENST00000560677 - GREM1,ENST00000418212 - BDNF,ENST00000460737 - LY6G5C,ENST00000297350 - TNFRSF11B,ENST00000574914 - P4HB,ENST00000522812 - PLAT,ENST00000507750 - KCNN2,ENST00000486085 - RTN4,ENST00000418212 - BDNF
ENST00000473258 - COL6A3,ENST00000480356 - F3,ENST00000544301 - VIM,ENST00000517352 - TNFRSF11B,ENST00000629679 - HYOU1,ENST00000530861 - BDNF,ENST00000481444 - LY6G5C,ENST00000367718 - TNFSF4,ENST00000544577 - OLR1,ENST00000524867 - RPLP2,ENST00000474267 - WNT5A,ENST00000532873 - DKK3,ENST00000259056 - GALNT5
