GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000473202 - SERPINE2,ENST00000443059 - QSOX1,ENST00000631491 - ADAM9,ENST00000400532 - JAM2,ENST00000532519 - HYOU1,ENST00000504669 - ITGA1,ENST00000436191 - MICA,ENST00000576460 - NOMO3,ENST00000281834 - TNFSF4,ENST00000352041 - PLAT,ENST00000244295 - PSG4,ENST00000480356 - F3,ENST00000514464 - BACE1
ENST00000474267 - WNT5A,ENST00000481570 - COL1A2,ENST00000619133 - CD24,ENST00000297350 - TNFRSF11B,ENST00000584221 - CPD,ENST00000619935 - CRIM1,ENST00000493109 - COL12A1,ENST00000633153 - NOMO3,ENST00000432556 - OLR1,ENST00000494950 - PLOD2,ENST00000425443 - COL12A1,ENST00000526110 - HSPA8,ENST00000454872 - NAALADL2
ENST00000541932 - FLT1,ENST00000601041 - PSG4,ENST00000502527 - VCAN,ENST00000418820 - PSG9,ENST00000438672 - EFEMP1,ENST00000574721 - ADCY9,ENST00000519080 - TEK,ENST00000480356 - F3,ENST00000521647 - PLAT,ENST00000366175 - PSG5,ENST00000525866 - LAYN,ENST00000370207 - F3,ENST00000423509 - HLA-C
ENST00000361981 - L1CAM,ENST00000521597 - TNFRSF11B,ENST00000633130 - GPI,ENST00000582147 - COLEC12,ENST00000493109 - COL12A1,ENST00000509814 - ITGA2,ENST00000503336 - SLC26A2,ENST00000383487 - HLA-C,ENST00000580928 - RFNG,ENST00000574721 - ADCY9,ENST00000400256 - COLEC12,ENST00000454872 - NAALADL2,ENST00000618372 - CEACAM19
ENST00000472990 - FLOT1,ENST00000532873 - DKK3,ENST00000269217 - LAMA3,ENST00000271651 - CTSK,ENST00000582588 - RPL17,ENST00000281834 - TNFSF4,ENST00000466473 - HILPDA,ENST00000383323 - HLA-C,ENST00000533131 - BDNF,ENST00000517352 - TNFRSF11B,ENST00000593948 - PSG9,ENST00000321925 - SLC14A1,ENST00000281834 - TNFSF4
ENST00000493406 - WNT5A,ENST00000367718 - TNFSF4,ENST00000264012 - CDH3,ENST00000514464 - BACE1,ENST00000446732 - GLB1,ENST00000481801 - MGAT5,ENST00000468792 - COL6A3,ENST00000438462 - RTN4,ENST00000266646 - INHBE,ENST00000306773 - NPTX1,ENST00000377966 - RECK,ENST00000497849 - VIM,ENST00000584221 - CPD
ENST00000486085 - RTN4,ENST00000467922 - HLA-C,ENST00000345598 - APLP2,ENST00000593482 - PSG2,ENST00000569365 - RPS15A,ENST00000419282 - CD6,ENST00000395983 - BDNF,ENST00000445823 - BACE1,ENST00000522812 - PLAT,ENST00000479053 - RECK,ENST00000493406 - WNT5A,ENST00000259056 - GALNT5,ENST00000352041 - PLAT
ENST00000480605 - FLOT1,ENST00000618372 - CEACAM19,ENST00000351748 - TNFRSF25,ENST00000450024 - HFE,ENST00000502721 - LMAN2,ENST00000265071 - CDH6,ENST00000461836 - DPP4,ENST00000563491 - HSD17B2,ENST00000509814 - ITGA2,ENST00000544577 - OLR1,ENST00000541932 - FLT1,ENST00000423218 - ITGA11,ENST00000521647 - PLAT
ENST00000507750 - KCNN2,ENST00000474267 - WNT5A,ENST00000415148 - CD44,ENST00000474267 - WNT5A,ENST00000481946 - PTK7,ENST00000629385 - ABCC4,ENST00000397255 - IL15RA,ENST00000437265 - HLA-B,ENST00000503090 - HHIP,ENST00000538545 - ACTN1,ENST00000521597 - TNFRSF11B,ENST00000402943 - SLC14A1,ENST00000480356 - F3
ENST00000400256 - COLEC12,ENST00000541779 - LPAR1,ENST00000357867 - FN1,ENST00000481570 - COL1A2,ENST00000505945 - SIL1,ENST00000367718 - TNFSF4,ENST00000467098 - LY6G5C,ENST00000526110 - HSPA8,ENST00000467255 - NTM,ENST00000524009 - PLAT,ENST00000467922 - HLA-C,ENST00000279452 - CD44,ENST00000593948 - PSG9
ENST00000317449 - LRRN4CL,ENST00000497849 - VIM,ENST00000617605 - B2M,ENST00000518092 - SLIT3,ENST00000593644 - RCN3,ENST00000553277 - LRP1,ENST00000536989 - OLR1,ENST00000383329 - HLA-C,ENST00000488053 - TNFSF4,ENST00000533131 - BDNF,ENST00000582147 - COLEC12,ENST00000446342 - PLAU,ENST00000491912 - ST3GAL6
ENST00000471639 - HLA-B,ENST00000509016 - ANXA5,ENST00000455727 - LDLR,ENST00000515606 - CPZ,ENST00000519678 - ASPH,ENST00000534511 - DKK3,ENST00000548117 - CD63,ENST00000566213 - HSD17B2,ENST00000505785 - BST1,ENST00000220809 - PLAT,ENST00000614102 - FAT1,ENST00000418212 - BDNF,ENST00000378076 - ITGA8
ENST00000492719 - GAPDH,ENST00000319211 - F2R,ENST00000263339 - IL1A,ENST00000361981 - L1CAM,ENST00000545380 - CADM1,ENST00000480356 - F3,ENST00000532632 - TM9SF1,ENST00000423218 - ITGA11,ENST00000229708 - ULBP1,ENST00000395986 - BDNF,ENST00000599371 - PSG4,ENST00000521597 - TNFRSF11B,ENST00000379845 - SFRP1
ENST00000376822 - HLA-A,ENST00000527132 - DKK3,ENST00000447280 - SERPINE2,ENST00000344327 - TRPC6,ENST00000480961 - CTSA,ENST00000395986 - BDNF,ENST00000527590 - THY1,ENST00000633015 - NOMO3,ENST00000598255 - ANGPTL4,ENST00000401701 - MYH9,ENST00000528286 - SULF1,ENST00000521723 - PDGFRB,ENST00000521597 - TNFRSF11B
ENST00000521597 - TNFRSF11B,ENST00000402934 - LTBP1,ENST00000620010 - CLPTM1L,ENST00000260356 - THBS1,ENST00000506241 - IL6ST,ENST00000533131 - BDNF,ENST00000302196 - IL1RAPL1,ENST00000572932 - NOMO3,ENST00000524009 - PLAT,ENST00000261180 - TRHDE,ENST00000492719 - GAPDH,ENST00000352041 - PLAT,ENST00000472990 - FLOT1
ENST00000497849 - VIM,ENST00000279452 - CD44,ENST00000368407 - EFNA1,ENST00000261180 - TRHDE,ENST00000352041 - PLAT,ENST00000444954 - CRELD2,ENST00000470535 - ABCA2,ENST00000532873 - DKK3,ENST00000538545 - ACTN1,ENST00000521694 - PLAT,ENST00000486085 - RTN4,ENST00000586142 - SLC14A1,ENST00000480605 - FLOT1
ENST00000377966 - RECK,ENST00000404377 - TNFSF18,ENST00000301455 - ANGPTL4,ENST00000400256 - COLEC12,ENST00000329092 - RPL35A,ENST00000441240 - LPAR1,ENST00000596907 - PSG4,ENST00000597529 - EMP3,ENST00000521597 - TNFRSF11B,ENST00000438462 - RTN4,ENST00000361981 - L1CAM,ENST00000617199 - MFGE8,ENST00000321925 - SLC14A1
ENST00000438462 - RTN4,ENST00000300177 - GREM1,ENST00000283249 - ITGB6,ENST00000404867 - SLIT3,ENST00000565868 - ITGA11,ENST00000379449 - ASPH,ENST00000450031 - FAP,ENST00000279452 - CD44,ENST00000352041 - PLAT,ENST00000312584 - TNFRSF10D,ENST00000479053 - RECK,ENST00000527132 - DKK3,ENST00000424832 - HLA-C
ENST00000311330 - CD248,ENST00000352041 - PLAT,ENST00000396865 - SLC38A9,ENST00000486085 - RTN4,ENST00000527203 - FGFR1,,ENST00000540415 - LRP6,ENST00000402934 - LTBP1,ENST00000541932 - FLT1,ENST00000263339 - IL1A,ENST00000457806 - HLA-C,ENST00000402934 - LTBP1,ENST00000429089 - PLAT
ENST00000449038 - PLOD1,ENST00000510710 - COL1A1,ENST00000423113 - ITGB1,ENST00000461903 - HLA-A,ENST00000543540 - CADM1,,ENST00000626446 - LRP6,ENST00000521723 - PDGFRB,ENST00000426856 - CRIM1,ENST00000381086 - IGFBP3,ENST00000206423 - CCDC80,ENST00000311330 - CD248,ENST00000532873 - DKK3
ENST00000370055 - L1CAM,ENST00000379845 - SFRP1,ENST00000447282 - PCBP2,ENST00000417978 - HLA-A,ENST00000468360 - POFUT2,,ENST00000415140 - LTBP1,ENST00000521597 - TNFRSF11B,ENST00000260702 - LOXL4,ENST00000260356 - THBS1,ENST00000510710 - COL1A1,ENST00000332843 - COLEC10,ENST00000605961 - LMO7
ENST00000404377 - TNFSF18,ENST00000377966 - RECK,ENST00000530591 - ST3GAL4,ENST00000444289 - HLA-A,ENST00000491395 - APP,,ENST00000461492 - DAG1,ENST00000259056 - GALNT5,ENST00000613426 - OSCAR,ENST00000497720 - THBS1,ENST00000401942 - PSG5,ENST00000376228 - HLA-C,ENST00000527132 - DKK3
ENST00000473638 - RPL3,ENST00000492719 - GAPDH,ENST00000359930 - SULF2,ENST00000425443 - COL12A1,ENST00000472989 - TM2D1,,ENST00000486004 - DCBLD2,ENST00000321925 - SLC14A1,ENST00000369700 - PRSS35,ENST00000332843 - COLEC10,ENST00000433626 - PSG4,ENST00000478217 - F3,ENST00000332843 - COLEC10
ENST00000510208 - PAM,ENST00000473638 - RPL3,ENST00000296955 - DCBLD1,ENST00000315782 - CPZ,ENST00000480024 - FN1,,ENST00000352041 - PLAT,ENST00000352041 - PLAT,ENST00000494950 - PLOD2,ENST00000300177 - GREM1,ENST00000374574 - BMPR2,ENST00000541779 - LPAR1,ENST00000443059 - QSOX1
ENST00000397747 - PDCD1LG2,ENST00000605961 - LMO7,ENST00000581373 - RPL17,ENST00000475124 - IL17RB,ENST00000403379 - MPZL1,,ENST00000475715 - NRDC,ENST00000439918 - P4HB,ENST00000616559 - PTPRQ,ENST00000484734 - THBS1,ENST00000451895 - PSG4,ENST00000392029 - QSOX1,ENST00000548898 - CD63
ENST00000423509 - HLA-C,ENST00000315757 - ITGA11,ENST00000381551 - PDGFB,ENST00000521597 - TNFRSF11B,ENST00000588855 - CLPTM1,,ENST00000265071 - CDH6,ENST00000478217 - F3,ENST00000491536 - PLOD1,ENST00000477536 - HEG1,ENST00000473258 - COL6A3,ENST00000586951 - SLC14A1,ENST00000279452 - CD44
ENST00000445610 - HLA-B,ENST00000456754 - TIMP1,ENST00000429635 - AMIGO2,ENST00000436072 - SFRP4,ENST00000518306 - ASPH,,ENST00000521398 - LAMA4,ENST00000523927 - ASPH,ENST00000438462 - RTN4,ENST00000480356 - F3,ENST00000423218 - ITGA11,ENST00000437992 - RPL9,ENST00000220809 - PLAT
ENST00000458420 - CLSTN2,ENST00000446342 - PLAU,ENST00000356005 - FN1,ENST00000300177 - GREM1,ENST00000464654 - TM9SF3,,ENST00000523927 - ASPH,ENST00000527132 - DKK3,ENST00000633130 - GPI,ENST00000633130 - GPI,ENST00000558985 - ANXA2,ENST00000549922 - TRHDE,ENST00000513336 - HEXB
ENST00000424832 - HLA-C,ENST00000485591 - COL6A2,ENST00000523950 - VEGFA,ENST00000383329 - HLA-C,ENST00000484088 - ITGB1,,ENST00000522919 - ASPH,ENST00000370050 - TMEM30A,ENST00000401701 - MYH9,ENST00000429710 - PLAT,ENST00000479595 - HLA-C,ENST00000597529 - EMP3,ENST00000509016 - ANXA5
ENST00000531512 - SULF1,ENST00000419135 - HLA-C,ENST00000370565 - CLCA2,ENST00000469250 - TNXB,ENST00000578816 - TMX3,,ENST00000474564 - COL12A1,ENST00000541779 - LPAR1,ENST00000297350 - TNFRSF11B,ENST00000616868 - SULF1,ENST00000618372 - CEACAM19,ENST00000559132 - MAN2A2,ENST00000458032 - MICB
ENST00000532873 - DKK3,ENST00000299610 - MFAP4,ENST00000356457 - ASPH,ENST00000478966 - SERPINE2,ENST00000550595 - HSP90B1,,ENST00000468999 - LAMB1,ENST00000492719 - GAPDH,ENST00000519097 - TEK,ENST00000397747 - PDCD1LG2,ENST00000618395 - COL5A1,ENST00000475726 - MYH9,ENST00000586142 - SLC14A1
ENST00000478064 - LAMC1,ENST00000548898 - CD63,ENST00000372003 - TSPAN1,ENST00000636571 - CTSD,ENST00000527590 - THY1,,ENST00000552067 - CD63,ENST00000525493 - DKK3,ENST00000527590 - THY1,ENST00000356005 - FN1,ENST00000495316 - PSG4,ENST00000593513 - AXL,ENST00000300177 - GREM1
ENST00000548071 - LUM,,ENST00000395748 - AREG,ENST00000549224 - HLA-A,ENST00000483966 - HNRNPU,,ENST00000533131 - BDNF,ENST00000527326 - CD44,ENST00000638046 - ATP6AP2,ENST00000297350 - TNFRSF11B,ENST00000310833 - CD34,ENST00000379845 - SFRP1,ENST00000450342 - HLA-A
ENST00000300177 - GREM1,,ENST00000618613 - RPL17,ENST00000605961 - LMO7,ENST00000531873 - CD44,,ENST00000472129 - CLTC,ENST00000392029 - QSOX1,ENST00000366175 - PSG5,ENST00000487661 - HEG1,ENST00000461431 - CCDC80,ENST00000589322 - SLC14A1,ENST00000311330 - CD248
ENST00000615825 - MME,,ENST00000367341 - RAET1L,ENST00000521723 - PDGFRB,ENST00000471275 - KIDINS220,,ENST00000413985 - CRIM1,ENST00000482635 - ATP1B3,ENST00000497720 - THBS1,ENST00000433762 - COL6A3,ENST00000260702 - LOXL4,ENST00000421349 - HLA-B,ENST00000377966 - RECK
ENST00000533265 - LAYN,,ENST00000264144 - LAMC2,ENST00000460679 - JAM2,ENST00000526686 - HSPA8,,ENST00000590874 - CAPNS1,ENST00000628462 - CLPTM1L,ENST00000397747 - PDCD1LG2,ENST00000409854 - EPHA4,ENST00000438462 - RTN4,ENST00000542878 - MFGE8,ENST00000312584 - TNFRSF10D
ENST00000299502 - SERPINB2,,ENST00000279477 - SIRPB1,ENST00000531512 - SULF1,ENST00000493278 - CALU,,ENST00000521597 - TNFRSF11B,ENST00000509016 - ANXA5,ENST00000521694 - PLAT,ENST00000537463 - FBN1,ENST00000471344 - COL1A1,ENST00000481570 - COL1A2,ENST00000430940 - HLA-C
ENST00000530866 - LTBP3,,ENST00000352931 - PTK7,ENST00000615825 - MME,ENST00000473287 - TMCO3,,ENST00000456351 - MICB,ENST00000407925 - LTBP1,ENST00000447485 - ATP6AP2,ENST00000497289 - RPN1,ENST00000437992 - RPL9,ENST00000541434 - CADM1,ENST00000244295 - PSG4
ENST00000460393 - MME,,ENST00000375614 - LAYN,ENST00000373417 - ANGPTL2,ENST00000533131 - BDNF,,ENST00000601041 - PSG4,ENST00000481570 - COL1A2,ENST00000312584 - TNFRSF10D,ENST00000426856 - CRIM1,ENST00000597349 - PSG4,ENST00000509016 - ANXA5,ENST00000519479 - PCDHGB4
ENST00000515606 - CPZ,,ENST00000356876 - TNFRSF25,ENST00000231004 - LOX,ENST00000534511 - DKK3,,ENST00000533898 - RCN1,ENST00000485591 - COL6A2,ENST00000549922 - TRHDE,ENST00000400325 - MICA,ENST00000231004 - LOX,ENST00000397747 - PDCD1LG2,ENST00000221980 - ICAM5
ENST00000370207 - F3,,ENST00000356082 - LAMB3,ENST00000367963 - MOXD1,ENST00000504459 - HEXB,,ENST00000527132 - DKK3,ENST00000404377 - TNFSF18,ENST00000503759 - LOX,ENST00000584049 - BDNF,ENST00000300177 - GREM1,ENST00000527577 - CD59,ENST00000438462 - RTN4
ENST00000419716 - SULF1,,ENST00000367028 - HSD11B1,ENST00000508067 - LOX,ENST00000486085 - RTN4,,ENST00000418820 - PSG9,ENST00000376228 - HLA-C,ENST00000523950 - VEGFA,ENST00000519678 - ASPH,ENST00000484734 - THBS1,ENST00000560808 - NEO1,ENST00000615384 - PCDHGB4
ENST00000510710 - COL1A1,,ENST00000450894 - ITGB4,ENST00000367740 - VAMP4,ENST00000415749 - EPHA4,,ENST00000460008 - DCBLD2,ENST00000446342 - PLAU,ENST00000261180 - TRHDE,ENST00000260702 - LOXL4,ENST00000496049 - GAPDH,ENST00000534511 - DKK3,ENST00000402934 - LTBP1
ENST00000482635 - ATP1B3,,ENST00000372077 - VEGFA,ENST00000497849 - VIM,ENST00000261180 - TRHDE,,ENST00000430405 - DMTF1,ENST00000319211 - F2R,ENST00000457104 - VEGFA,ENST00000513960 - VCAN,ENST00000458141 - SULF1,ENST00000372764 - PLAU,ENST00000533131 - BDNF
ENST00000616868 - SULF1,,ENST00000543768 - SCNN1A,ENST00000311330 - CD248,ENST00000397814 - BMP1,,ENST00000504835 - CDH6,ENST00000373417 - ANGPTL2,ENST00000586480 - ICAM5,ENST00000377499 - LMO7,ENST00000531512 - SULF1,ENST00000522293 - MGAT4B,ENST00000529974 - CTSC
ENST00000478966 - SERPINE2,,ENST00000418333 - TGFA,ENST00000470019 - PTK7,ENST00000526110 - HSPA8,,ENST00000259056 - GALNT5,ENST00000551983 - HSP90B1,ENST00000429710 - PLAT,ENST00000638046 - ATP6AP2,ENST00000600817 - PSG5,ENST00000548898 - CD63,ENST00000306773 - NPTX1
ENST00000618395 - COL5A1,,ENST00000338167 - APLP2,ENST00000375615 - LAYN,ENST00000472714 - LAMB1,,ENST00000511115 - PCDH18,ENST00000593513 - AXL,ENST00000397591 - THBS1,ENST00000475181 - CCDC80,ENST00000439918 - P4HB,ENST00000439918 - P4HB,ENST00000530861 - BDNF
ENST00000480356 - F3,,ENST00000306349 - BMP1,ENST00000533265 - LAYN,ENST00000475458 - CLTC,,ENST00000629317 - PTPRK,ENST00000352818 - CD44,ENST00000567934 - CDH11,ENST00000514738 - CDH6,ENST00000595949 - PSG4,ENST00000331581 - CADM1,ENST00000482116 - LMO7
ENST00000605961 - LMO7,,ENST00000428726 - CD44,ENST00000482116 - LMO7,ENST00000497492 - ENO1,,ENST00000524534 - PTPRK,ENST00000397747 - PDCD1LG2,ENST00000266581 - AMIGO2,ENST00000479499 - LAMC1,ENST00000473638 - RPL3,ENST00000566497 - MFGE8,ENST00000380036 - TEK
ENST00000375615 - LAYN,,,ENST00000443913 - CTSK,ENST00000478034 - P4HB,,ENST00000429089 - PLAT,ENST00000525469 - CD44,ENST00000309539 - OLR1,ENST00000491536 - PLOD1,ENST00000525061 - SULF1,ENST00000523927 - ASPH,ENST00000500085 - FAT1
ENST00000407568 - PSG5,,,ENST00000376806 - HLA-A,ENST00000431454 - BIRC6,,ENST00000522633 - IL6ST,ENST00000567109 - CDH13,ENST00000260356 - THBS1,ENST00000554744 - SEL1L,ENST00000345356 - COL12A1,ENST00000529974 - CTSC,ENST00000566497 - MFGE8
ENST00000397591 - THBS1,,,ENST00000332966 - SLIT3,ENST00000425660 - ACTB,,ENST00000627900 - PTPRK,ENST00000510710 - COL1A1,ENST00000477536 - HEG1,ENST00000524261 - PLAT,ENST00000477278 - MXRA8,ENST00000494507 - DPP4,ENST00000522293 - MGAT4B
ENST00000439918 - P4HB,,,ENST00000397591 - THBS1,ENST00000492544 - KIAA0319L,,ENST00000368205 - PTPRK,ENST00000332843 - COLEC10,ENST00000328306 - SLC9A7,ENST00000397591 - THBS1,ENST00000521946 - SULF1,ENST00000473258 - COL6A3,ENST00000525528 - BDNF
ENST00000271651 - CTSK,,,ENST00000510710 - COL1A1,ENST00000523927 - ASPH,,ENST00000550826 - ZNF844,ENST00000353578 - COL6A3,ENST00000486632 - SLC2A5,ENST00000503810 - ITGA2,ENST00000490769 - PSG4,ENST00000310594 - WNT5B,ENST00000617139 - NID2
ENST00000617924 - THBS2,,,ENST00000460393 - MME,ENST00000553290 - ACTN1,,ENST00000424339 - EPHA4,ENST00000415140 - LTBP1,ENST00000478217 - F3,ENST00000486004 - DCBLD2,ENST00000508067 - LOX,ENST00000456012 - HLA-A,ENST00000263398 - CD44
ENST00000200652 - SLC22A4,,,ENST00000476718 - MXRA8,ENST00000485177 - PXDN,,ENST00000351898 - SLC4A4,ENST00000560808 - NEO1,ENST00000423218 - ITGA11,ENST00000351898 - SLC4A4,ENST00000477269 - F10,ENST00000352818 - CD44,ENST00000528295 - THY1
ENST00000477278 - MXRA8,,,ENST00000528295 - THY1,ENST00000409349 - ANTXR1,,ENST00000610929 - PSAP,ENST00000636571 - CTSD,ENST00000523007 - LRP12,ENST00000480704 - PLOD2,ENST00000311330 - CD248,ENST00000547300 - TRHDE,ENST00000541779 - LPAR1
ENST00000231004 - LOX,,,ENST00000530866 - LTBP3,ENST00000447386 - FAP,,ENST00000370408 - ERLIN1,ENST00000372764 - PLAU,ENST00000356005 - FN1,ENST00000265074 - NPR3,ENST00000397747 - PDCD1LG2,ENST00000515017 - ANXA5,ENST00000545560 - ITGBL1
ENST00000528295 - THY1,,,ENST00000548071 - LUM,ENST00000581826 - CPD,,ENST00000480949 - PCYOX1,ENST00000462163 - RPN2,ENST00000464933 - SLC9A7,ENST00000521195 - FZD6,ENST00000616559 - PTPRQ,ENST00000455111 - GPC1,ENST00000480278 - CEACAM19
ENST00000458141 - SULF1,,,ENST00000532873 - DKK3,ENST00000492734 - CACNA2D1,,ENST00000527889 - CD44,ENST00000421349 - HLA-B,ENST00000621659 - ABCC1,ENST00000309539 - OLR1,ENST00000548071 - LUM,ENST00000407925 - LTBP1,ENST00000397411 - TSPAN4
ENST00000377499 - LMO7,,,ENST00000504456 - PAM,ENST00000397886 - PTTG1IP,,ENST00000332843 - COLEC10,ENST00000515017 - ANXA5,ENST00000369750 - TPBG,ENST00000447485 - ATP6AP2,ENST00000352931 - PTK7,ENST00000378076 - ITGA8,ENST00000518867 - MGAT4B
ENST00000367963 - MOXD1,,,ENST00000376228 - HLA-C,ENST00000478217 - F3,,ENST00000472714 - LAMB1,ENST00000472056 - COL6A3,ENST00000635036 - TPBG,ENST00000440126 - APP,ENST00000476718 - MXRA8,ENST00000404377 - TNFSF18,ENST00000510208 - PAM
ENST00000310594 - WNT5B,,,ENST00000409829 - ANTXR1,ENST00000281834 - TNFSF4,,ENST00000465851 - SLC39A10,ENST00000513336 - HEXB,ENST00000617924 - THBS2,ENST00000608657 - ITGB5,ENST00000502363 - PKD2,ENST00000518306 - ASPH,ENST00000517903 - ASPH
ENST00000260356 - THBS1,,,ENST00000461431 - CCDC80,ENST00000415241 - FLNA,,ENST00000489941 - LMO7,ENST00000544301 - VIM,ENST00000537463 - FBN1,ENST00000362032 - SUCNR1,ENST00000529974 - CTSC,ENST00000315757 - ITGA11,ENST00000542878 - MFGE8
ENST00000353578 - COL6A3,,,ENST00000515017 - ANXA5,ENST00000549922 - TRHDE,,ENST00000551182 - ATP5F1B,ENST00000558985 - ANXA2,ENST00000263339 - IL1A,ENST00000407925 - LTBP1,ENST00000397591 - THBS1,ENST00000492719 - GAPDH,ENST00000560937 - MFGE8
ENST00000315782 - CPZ,,,ENST00000263665 - CNTN3,ENST00000540837 - M6PR,,ENST00000379845 - SFRP1,ENST00000311330 - CD248,ENST00000480704 - PLOD2,ENST00000379904 - ERAP2,ENST00000510208 - PAM,ENST00000560937 - MFGE8,ENST00000512772 - FAT1
ENST00000416726 - HLA-B,,,ENST00000450684 - AEBP1,ENST00000370207 - F3,,ENST00000486266 - HLA-C,ENST00000542878 - MFGE8,ENST00000554158 - ACTN1,ENST00000520052 - ANGPT1,ENST00000370055 - L1CAM,ENST00000550728 - HLA-A,ENST00000446342 - PLAU
