Heart - Left Ventricle,Cells - Cultured fibroblasts,Lung,Liver,Kidney - Cortex,Adipose - Visceral (Omentum),Adipose - Subcutaneous,Heart - Atrial Appendage,Skin - Sun Exposed (Lower leg),Skin - Not Sun Exposed (Suprapubic)
ENST00000618006 - BSG,ENST00000433736 - ITGAV,ENST00000375076 - AGER,ENST00000613898 - HP,ENST00000324417 - SLC34A1,ENST00000599436 - MUC16,ENST00000320741 - ADIPOQ,ENST00000295379 - BMP10,ENST00000269576 - KRT10,ENST00000252244 - KRT1
ENST00000547250 - ATP5F1B,ENST00000360490 - MME,ENST00000375069 - AGER,ENST00000302068 - FGB,ENST00000428570 - SLC22A11,ENST00000601404 - MUC16,ENST00000394788 - CD36,ENST00000400892 - CLCN6,ENST00000252244 - KRT1,ENST00000269576 - KRT10
ENST00000543351 - VDAC2,ENST00000426059 - FN1,ENST00000375055 - AGER,ENST00000398131 - HP,ENST00000301891 - SLC22A11,ENST00000596768 - MUC16,ENST00000441109 - CD36,ENST00000423572 - SCN5A,ENST00000376288 - CDSN,ENST00000376288 - CDSN
ENST00000450296 - ACAA1,ENST00000505593 - LOX,ENST00000354982 - FCN3,ENST00000205948 - APOH,ENST00000570689 - UMOD,ENST00000397910 - MUC16,ENST00000538969 - CD36,ENST00000610355 - CORIN,ENST00000388718 - FLG2,ENST00000388718 - FLG2
ENST00000614867 - BSG,ENST00000541428 - ASPH,ENST00000318602 - A2M,ENST00000265132 - AMBP,ENST00000396138 - UMOD,ENST00000563941 - MSLN,ENST00000511589 - BTNL9,ENST00000543737 - SLC5A1,ENST00000548765 - KRT1,ENST00000548765 - KRT1
ENST00000543737 - SLC5A1,ENST00000502326 - IL6ST,ENST00000498393 - FCN3,ENST00000265983 - HPX,ENST00000512593 - SLC34A1,ENST00000545450 - MSLN,ENST00000419819 - CD36,ENST00000333535 - SCN5A,ENST00000375819 - LY6G6C,ENST00000375819 - LY6G6C
ENST00000548474 - ATP5F1B,ENST00000323926 - FN1,ENST00000393676 - FOLR1,ENST00000509493 - FGB,ENST00000354728 - UGT1A9,ENST00000566549 - MSLN,ENST00000488048 - CD36,ENST00000414099 - SCN5A,ENST00000495859 - LY6G6C,ENST00000495859 - LY6G6C
ENST00000391921 - CD55,ENST00000336916 - FN1,ENST00000270879 - FCN3,ENST00000404648 - FGG,ENST00000377581 - SLC22A11,ENST00000382862 - MSLN,ENST00000432207 - CD36,ENST00000505372 - PAM,ENST00000301263 - LY6D,ENST00000301263 - LY6D
ENST00000555169 - LGMN,ENST00000639739 - LOX,ENST00000481748 - FCN3,ENST00000371129 - ANGPTL3,ENST00000507685 - SLC34A1,ENST00000561896 - MSLN,ENST00000441034 - CD36,ENST00000503821 - CORIN,ENST00000635956 - KRT10,ENST00000635956 - KRT10
ENST00000557609 - LGMN,ENST00000342951 - PSG5,ENST00000375067 - AGER,ENST00000403106 - FGA,ENST00000416590 - SLC22A11,ENST00000515271 - BTNL9,ENST00000480599 - CD36,ENST00000403092 - SLC8A1,ENST00000428726 - CD44,ENST00000525469 - CD44
ENST00000533280 - CRYAB,ENST00000317840 - COL3A1,ENST00000506143 - COL6A6,ENST00000311907 - F2,ENST00000513614 - SLC34A1,ENST00000398131 - HP,ENST00000491209 - BTNL9,ENST00000343849 - CAV3,ENST00000244333 - LYPD3,ENST00000428726 - CD44
ENST00000414099 - SCN5A,ENST00000492661 - MME,ENST00000563941 - MSLN,ENST00000259396 - ORM1,ENST00000570331 - UMOD,ENST00000566269 - MSLN,ENST00000526907 - PICALM,ENST00000502726 - CORIN,ENST00000525469 - CD44,ENST00000370565 - CLCA2
ENST00000634374 - EFEMP1,ENST00000437994 - CD109,ENST00000375070 - AGER,ENST00000232003 - HRG,ENST00000460745 - SLC22A11,ENST00000570083 - HP,ENST00000464213 - CD36,ENST00000621518 - NCAM1,ENST00000370565 - CLCA2,ENST00000410009 - CD207
ENST00000614547 - CDH5,ENST00000493888 - MME,ENST00000199764 - CEACAM6,ENST00000562526 - HP,ENST00000261615 - DPEP1,ENST00000459780 - ADAMTS9,ENST00000537449 - GHR,ENST00000413743 - SLC4A3,ENST00000215885 - PLA2G3,ENST00000244333 - LYPD3
ENST00000619403 - SLC14A1,ENST00000460393 - MME,ENST00000473619 - AGER,ENST00000529775 - HPX,ENST00000433666 - CUBN,ENST00000355906 - HP,ENST00000406757 - GPC3,ENST00000273857 - CORIN,ENST00000518469 - LY6D,ENST00000382333 - FGFBP1
ENST00000524660 - CRYAB,ENST00000527258 - ABI3BP,ENST00000367070 - C4BPA,ENST00000308192 - PLG,ENST00000565249 - DPEP1,ENST00000494004 - ADAMTS9,ENST00000444204 - ADIPOQ,ENST00000423113 - ITGB1,ENST00000394904 - SLC11A2,ENST00000518469 - LY6D
ENST00000618112 - BSG,ENST00000513319 - LOX,ENST00000379972 - IL15RA,ENST00000461414 - PLG,ENST00000377585 - SLC22A11,ENST00000309881 - CD36,ENST00000513424 - BTNL9,ENST00000569934 - ADAMTS7,ENST00000340107 - FGFR3,ENST00000340107 - FGFR3
ENST00000590665 - ATP5F1A,ENST00000469350 - PLOD2,ENST00000545450 - MSLN,ENST00000527556 - HPX,ENST00000371117 - PKHD1,ENST00000419819 - CD36,ENST00000447544 - CD36,ENST00000533280 - CRYAB,ENST00000410009 - CD207,ENST00000415148 - CD44
ENST00000440951 - ATP1A1,ENST00000366175 - PSG5,ENST00000429135 - IL15RA,ENST00000411641 - AHSG,ENST00000564281 - DPEP1,ENST00000475557 - ADAMTS9,ENST00000550358 - PTPRB,ENST00000425660 - ACTB,ENST00000382333 - FGFBP1,ENST00000299502 - SERPINB2
ENST00000637790 - ASAH1,ENST00000376723 - UGGT1,ENST00000333598 - MCEMP1,ENST00000273784 - AHSG,ENST00000393681 - FOLR1,ENST00000320741 - ADIPOQ,ENST00000515271 - BTNL9,ENST00000505754 - CORIN,ENST00000374228 - SLC46A2,ENST00000639002 - CD44
ENST00000343849 - CAV3,ENST00000462745 - MME,ENST00000358511 - COL6A6,ENST00000528348 - HPX,ENST00000308192 - PLG,ENST00000435819 - CD36,ENST00000438020 - CD36,ENST00000504691 - PAM,ENST00000415148 - CD44,ENST00000289429 - CD1A
ENST00000551182 - ATP5F1B,ENST00000616868 - SULF1,ENST00000392027 - ALPP,ENST00000373968 - MBL2,ENST00000638421 - CASR,ENST00000526472 - PKHD1L1,ENST00000309881 - CD36,ENST00000504456 - PAM,ENST00000299502 - SERPINB2,ENST00000215885 - PLA2G3
ENST00000531745 - C11orf24,ENST00000482079 - WNT5A,ENST00000427077 - IL1RL1,ENST00000222381 - PON1,ENST00000512686 - SLC4A4,ENST00000534623 - PKHD1L1,ENST00000526548 - PICALM,ENST00000565793 - ADAMTS7,ENST00000377028 - DCT,ENST00000308919 - CYP2W1
ENST00000586392 - GPI,ENST00000474644 - COL1A1,ENST00000401885 - GGT1,ENST00000460674 - CP,ENST00000491228 - LRP2,ENST00000390543 - IGHG4,ENST00000512570 - BTNL9,ENST00000452168 - ITGA7,ENST00000388918 - TYRP1,ENST00000394904 - SLC11A2
ENST00000621518 - NCAM1,ENST00000502468 - FBN2,ENST00000393681 - FOLR1,ENST00000287611 - KNG1,ENST00000287611 - KNG1,ENST00000538969 - CD36,ENST00000612016 - VWF,ENST00000636100 - MYO18A,ENST00000308919 - CYP2W1,ENST00000539839 - FZD10
