GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
DCBLD2,NPTX1,PSG5,NPTX1,PSG5,DCBLD2,DCBLD2,LAMC2,GREM1,PSG5,GREM1,PSG5,ITGA11
GALNT5,TNFRSF11B,GREM1,ITGA11,GREM1,GALNT5,GREM1,COL7A1,PSG5,GREM1,TNFRSF11B,PSG4,GREM1
COL11A1,ITGA11,LOXL4,DCBLD2,MXRA5,NOMO3,BDNF,CLCA2,COL5A1,COLEC10,GALNT5,PSG1,TNFRSF11B
LOX,COL12A1,TNFRSF11B,GALNT5,LOXL4,TNFRSF11B,COL12A1,NOMO3,ITGA11,NPTX1,DCBLD2,GREM1,COL12A1
GREM1,DCBLD2,L1CAM,TNFRSF11B,L1CAM,PSG4,NOMO3,DCBLD2,CDH2,BDNF,PSG4,TNFRSF11B,FBN2
PSG5,COL7A1,COL11A1,NOMO3,TNFRSF11B,COLEC10,COL5A2,ITGB6,LOX,DCBLD2,NOMO3,WNT5A,NOMO3
BDNF,GALNT5,WNT5A,DKK3,WNT5A,PCDHGB4,FBN2,WNT7A,THBS2,CDH2,THY1,COL5A1,DCBLD2
PSG4,NOMO3,COL12A1,COL12A1,COL12A1,BDNF,LRP11,IL1A,GPR176,LOX,COL11A1,COL12A1,COL7A1
COL5A1,FBN2,SULF1,COL11A1,MOXD1,PCDHGC5,WNT5A,SERPINA3,COL5A2,GPR176,COL12A1,L1CAM,NPTX1
COL12A1,PSG5,MXRA5,PSG5,THY1,COL12A1,GALNT5,AGRN,COL11A1,COL5A2,DKK3,SULF1,COL5A1
ITGA11,DKK3,THY1,THY1,LOX,DKK3,DKK3,PLXNB3,BDNF,COL11A1,BDNF,CDH2,DKK3
WNT5A,LPAR1,LOX,GREM1,THBS2,PDGFRA,GPR176,ULBP2,TNFSF4,CDH10,SFRP1,ITGA11,THY1
COL5A2,COL6A3,NOMO3,COL7A1,COL11A1,PCDHGB1,TRHDE,GPC1,LOXL4,SULF1,PCDHGB4,PSG6,COL5A2
DKK3,PXDN,COL5A2,SFRP1,FBN2,GREM1,GPR39,CERCAM,TNFRSF11B,ITGA11,ITGA11,COL7A1,BDNF
NT5E,FKBP10,COL7A1,COLEC10,SULF1,LPAR1,TNFRSF11B,TMEM132A,PLOD1,COL5A1,NID2,LOX,QSOX1
FAT1,COL1A1,GPR176,PCDHGB4,GPR176,SFRP1,FAT1,ATG9A,CNTNAP1,CNTNAP1,COLEC10,COL5A2,COL1A1
GPR176,CNTNAP1,COL5A1,CD248,SERPINE2,PCDHGA8,COL11A1,FOLR3,CDH11,PLOD1,GPR176,PSG8,LAMA1
PXDN,PCDH18,CNTNAP1,GPR176,COL7A1,PCDHGA9,COL6A3,ZPLD1,FKBP10,PLAT,FAT1,MXRA5,PXDN
