GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000443816 - FN1,ENST00000446046 - FN1,ENST00000356005 - FN1,ENST00000443816 - FN1,ENST00000443816 - FN1,ENST00000356005 - FN1,ENST00000446046 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000446046 - FN1,ENST00000446046 - FN1
ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000587184 - LAMA3,ENST00000446046 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000432072 - FN1,ENST00000443816 - FN1,ENST00000356005 - FN1,ENST00000356005 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000443816 - FN1
ENST00000432072 - FN1,ENST00000432072 - FN1,ENST00000338167 - APLP2,ENST00000432072 - FN1,ENST00000356005 - FN1,ENST00000446046 - FN1,ENST00000460008 - DCBLD2,ENST00000432072 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000432072 - FN1,ENST00000356005 - FN1,ENST00000432072 - FN1
ENST00000617924 - THBS2,ENST00000532636 - HSPA8,ENST00000369850 - FLNA,ENST00000617924 - THBS2,ENST00000497492 - ENO1,ENST00000432072 - FN1,ENST00000356005 - FN1,ENST00000532636 - HSPA8,ENST00000432072 - FN1,ENST00000432072 - FN1,ENST00000617924 - THBS2,ENST00000432072 - FN1,ENST00000532636 - HSPA8
ENST00000369850 - FLNA,ENST00000519510 - PLAT,ENST00000222572 - PON2,ENST00000532636 - HSPA8,ENST00000432072 - FN1,ENST00000416123 - COL12A1,ENST00000443816 - FN1,ENST00000369850 - FLNA,ENST00000617924 - THBS2,ENST00000488683 - CLIC4,ENST00000369850 - FLNA,ENST00000369850 - FLNA,ENST00000519510 - PLAT
ENST00000532636 - HSPA8,ENST00000317840 - COL3A1,ENST00000367030 - LAMB3,ENST00000317840 - COL3A1,ENST00000531873 - CD44,ENST00000369850 - FLNA,ENST00000415140 - LTBP1,ENST00000519510 - PLAT,ENST00000488683 - CLIC4,ENST00000617924 - THBS2,ENST00000532636 - HSPA8,ENST00000532636 - HSPA8,ENST00000270077 - PSG9
ENST00000317840 - COL3A1,ENST00000318424 - CD276,ENST00000544301 - VIM,ENST00000487661 - HEG1,ENST00000416123 - COL12A1,ENST00000405269 - SLC8A1,ENST00000523927 - ASPH,ENST00000406359 - TEK,ENST00000537463 - FBN1,ENST00000537463 - FBN1,ENST00000317840 - COL3A1,ENST00000519510 - PLAT,ENST00000503277 - RPL9
ENST00000318424 - CD276,ENST00000558492 - PPIB,ENST00000446046 - FN1,ENST00000399516 - LAMA3,ENST00000480283 - ATRX,ENST00000620660 - RYK,ENST00000522633 - IL6ST,ENST00000544301 - VIM,ENST00000519510 - PLAT,ENST00000519510 - PLAT,ENST00000433626 - PSG4,ENST00000488683 - CLIC4,ENST00000318424 - CD276
ENST00000356005 - FN1,ENST00000503277 - RPL9,ENST00000306349 - BMP1,ENST00000318424 - CD276,ENST00000369850 - FLNA,ENST00000629385 - ABCC4,ENST00000326857 - DCBLD2,ENST00000593513 - AXL,ENST00000553373 - FERMT2,ENST00000513960 - VCAN,ENST00000595404 - PSG9,ENST00000593513 - AXL,ENST00000402934 - LTBP1
ENST00000399516 - LAMA3,ENST00000369850 - FLNA,ENST00000318424 - CD276,ENST00000513319 - LOX,ENST00000488500 - EEF1A1,ENST00000509647 - FAT1,ENST00000527889 - CD44,ENST00000558492 - PPIB,ENST00000521694 - PLAT,ENST00000521694 - PLAT,ENST00000405312 - PSG4,ENST00000494395 - ITGB1,ENST00000558492 - PPIB
ENST00000488683 - CLIC4,ENST00000402934 - LTBP1,ENST00000433736 - ITGAV,ENST00000621109 - PSG9,ENST00000409532 - ITGA6,ENST00000359671 - FN1,ENST00000416123 - COL12A1,ENST00000402934 - LTBP1,ENST00000306349 - BMP1,ENST00000513685 - ITGA2,ENST00000244295 - PSG4,ENST00000487661 - HEG1,ENST00000244295 - PSG4
ENST00000537463 - FBN1,ENST00000582193 - RPL19,ENST00000246533 - CAPNS1,ENST00000508067 - LOX,ENST00000329092 - RPL35A,ENST00000537463 - FBN1,ENST00000614327 - HSP90B1,ENST00000317840 - COL3A1,ENST00000513960 - VCAN,ENST00000553373 - FERMT2,ENST00000601041 - PSG4,ENST00000318424 - CD276,ENST00000612334 - CERCAM
ENST00000558492 - PPIB,ENST00000572008 - RPS15A,ENST00000455727 - LDLR,ENST00000518783 - GRIA1,ENST00000513960 - VCAN,ENST00000574721 - ADCY9,ENST00000495273 - ROBO1,ENST00000370050 - TMEM30A,ENST00000433736 - ITGAV,ENST00000416123 - COL12A1,ENST00000602039 - PSG1,ENST00000264441 - PCYOX1,ENST00000405312 - PSG4
ENST00000503277 - RPL9,ENST00000617924 - THBS2,ENST00000361242 - ATG9A,ENST00000612334 - CERCAM,ENST00000617924 - THBS2,ENST00000395986 - BDNF,ENST00000590874 - CAPNS1,ENST00000318424 - CD276,ENST00000487661 - HEG1,ENST00000494950 - PLOD2,ENST00000544301 - VIM,ENST00000553373 - FERMT2,ENST00000582193 - RPL19
ENST00000490286 - DPP4,ENST00000588454 - CALR,ENST00000549920 - RPL18,ENST00000443913 - CTSK,ENST00000483966 - HNRNPU,ENST00000317840 - COL3A1,ENST00000491591 - DPP4,ENST00000488683 - CLIC4,ENST00000416123 - COL12A1,ENST00000487661 - HEG1,ENST00000599371 - PSG4,ENST00000572882 - ABCC1,ENST00000437761 - CD59
ENST00000488500 - EEF1A1,ENST00000438462 - RTN4,ENST00000345598 - APLP2,ENST00000593482 - PSG2,ENST00000427239 - COL11A1,ENST00000306349 - BMP1,ENST00000524534 - PTPRK,ENST00000553373 - FERMT2,ENST00000432738 - SERPINE2,ENST00000433736 - ITGAV,ENST00000244296 - PSG1,ENST00000402934 - LTBP1,ENST00000525981 - RPL27A
ENST00000558132 - ANXA2,ENST00000525981 - RPL27A,ENST00000351748 - TNFRSF25,ENST00000558492 - PPIB,ENST00000514032 - CANX,ENST00000444954 - CRELD2,ENST00000612235 - CADM1,ENST00000588454 - CALR,ENST00000357244 - RC3H2,ENST00000405269 - SLC8A1,ENST00000553373 - FERMT2,ENST00000481390 - PLAU,ENST00000595404 - PSG9
ENST00000370055 - L1CAM,ENST00000593513 - AXL,ENST00000447282 - PCBP2,ENST00000270077 - PSG9,ENST00000464654 - TM9SF3,ENST00000509814 - ITGA2,ENST00000488683 - CLIC4,ENST00000306349 - BMP1,ENST00000264441 - PCYOX1,ENST00000264441 - PCYOX1,ENST00000451895 - PSG4,ENST00000438462 - RTN4,ENST00000370050 - TMEM30A
ENST00000553373 - FERMT2,ENST00000392029 - QSOX1,ENST00000457586 - PRNP,ENST00000370058 - L1CAM,ENST00000441303 - DCN,ENST00000486533 - COL12A1,ENST00000351898 - SLC4A4,ENST00000523927 - ASPH,ENST00000406359 - TEK,ENST00000359671 - FN1,ENST00000490769 - PSG4,ENST00000537058 - CADM1,ENST00000317840 - COL3A1
ENST00000572008 - RPS15A,ENST00000395603 - ATRX,ENST00000322989 - RPS15A,ENST00000582193 - RPL19,ENST00000537463 - FBN1,ENST00000530786 - BDNF,ENST00000465851 - SLC39A10,ENST00000488500 - EEF1A1,ENST00000502949 - SEL1L3,ENST00000509814 - ITGA2,ENST00000436291 - PSG1,ENST00000541434 - CADM1,ENST00000395603 - ATRX
ENST00000612334 - CERCAM,ENST00000370050 - TMEM30A,ENST00000398752 - ATP5F1A,ENST00000342951 - PSG5,ENST00000494950 - PLOD2,ENST00000492878 - EPHB4,ENST00000547517 - RAB5C,ENST00000514032 - CANX,ENST00000369850 - FLNA,ENST00000502949 - SEL1L3,ENST00000558492 - PPIB,ENST00000317840 - COL3A1,ENST00000572008 - RPS15A
ENST00000582193 - RPL19,ENST00000514032 - CANX,ENST00000265333 - VDAC1,ENST00000552516 - TGFBR1,ENST00000562090 - GLG1,ENST00000392029 - QSOX1,ENST00000460954 - ALCAM,ENST00000537463 - FBN1,ENST00000359671 - FN1,ENST00000521195 - FZD6,ENST00000495316 - PSG4,ENST00000558492 - PPIB,ENST00000490286 - DPP4
ENST00000525981 - RPL27A,ENST00000488500 - EEF1A1,ENST00000431533 - RPL28,ENST00000230418 - PTK7,ENST00000593513 - AXL,ENST00000433762 - COL6A3,ENST00000440579 - KIAA0319L,ENST00000513685 - ITGA2,ENST00000569454 - CDH13,ENST00000357244 - RC3H2,ENST00000525061 - SULF1,ENST00000582193 - RPL19,ENST00000433626 - PSG4
ENST00000513319 - LOX,ENST00000354785 - FN1,ENST00000396865 - SLC38A9,ENST00000403380 - PSG1,ENST00000525162 - PICALM,ENST00000480283 - ATRX,ENST00000563432 - GLG1,ENST00000490286 - DPP4,ENST00000328306 - SLC9A7,ENST00000306349 - BMP1,ENST00000318424 - CD276,ENST00000326857 - DCBLD2,ENST00000393301 - CTSC
ENST00000616868 - SULF1,ENST00000481390 - PLAU,ENST00000620660 - RYK,ENST00000395603 - ATRX,ENST00000610997 - GPR107,ENST00000503810 - ITGA2,ENST00000519510 - PLAT,ENST00000416123 - COL12A1,ENST00000317840 - COL3A1,ENST00000328306 - SLC9A7,ENST00000614102 - FAT1,ENST00000537463 - FBN1,ENST00000486085 - RTN4
ENST00000588454 - CALR,ENST00000473257 - ACTB,ENST00000393346 - PICALM,ENST00000506260 - PAM,ENST00000523927 - ASPH,ENST00000528188 - DKK3,ENST00000483966 - HNRNPU,ENST00000555616 - ACTN1,ENST00000405269 - SLC8A1,ENST00000569454 - CDH13,ENST00000487661 - HEG1,ENST00000612334 - CERCAM,ENST00000481390 - PLAU
ENST00000401992 - PSG5,ENST00000537508 - SLC3A2,ENST00000296955 - DCBLD1,ENST00000433626 - PSG4,ENST00000513685 - ITGA2,ENST00000513685 - ITGA2,ENST00000381294 - IL6ST,ENST00000537508 - SLC3A2,ENST00000416334 - NT5E,ENST00000409532 - ITGA6,ENST00000488500 - EEF1A1,ENST00000490286 - DPP4,ENST00000360674 - ADAM15
ENST00000433736 - ITGAV,ENST00000464116 - XRCC6,ENST00000543768 - SCNN1A,ENST00000439274 - APP,ENST00000485177 - PXDN,ENST00000521195 - FZD6,ENST00000416334 - NT5E,ENST00000438462 - RTN4,ENST00000475220 - FKBP9,ENST00000369850 - FLNA,ENST00000405269 - SLC8A1,ENST00000433736 - ITGAV,ENST00000523927 - ASPH
ENST00000427239 - COL11A1,ENST00000478574 - S100A10,ENST00000425719 - NTM,ENST00000589923 - GRN,ENST00000553373 - FERMT2,ENST00000395603 - ATRX,ENST00000359671 - FN1,ENST00000453308 - PXDN,ENST00000495273 - ROBO1,ENST00000395986 - BDNF,ENST00000600817 - PSG5,ENST00000392029 - QSOX1,ENST00000544301 - VIM
ENST00000439274 - APP,ENST00000486085 - RTN4,ENST00000618613 - RPL17,ENST00000525981 - RPL27A,ENST00000560466 - ANXA2,ENST00000624032 - ATRX,ENST00000497371 - TMEM63B,ENST00000392029 - QSOX1,ENST00000470581 - SEMA3C,ENST00000495273 - ROBO1,ENST00000342951 - PSG5,ENST00000497849 - VIM,ENST00000522566 - FZD6
ENST00000407568 - PSG5,ENST00000502949 - SEL1L3,ENST00000367028 - HSD11B1,ENST00000488355 - THBS2,ENST00000508067 - LOX,ENST00000509960 - ITGA2,ENST00000486979 - ALCAM,ENST00000439918 - P4HB,ENST00000423829 - ICAM1,ENST00000326857 - DCBLD2,ENST00000597009 - PSG3,ENST00000518161 - TMEM30A,ENST00000601041 - PSG4
ENST00000443424 - FAP,ENST00000497849 - VIM,ENST00000263556 - P4HA1,ENST00000407568 - PSG5,ENST00000572008 - RPS15A,ENST00000553277 - LRP1,ENST00000567951 - GLG1,ENST00000573778 - P4HB,ENST00000513685 - ITGA2,ENST00000432738 - SERPINE2,ENST00000597912 - PSG4,ENST00000488500 - EEF1A1,ENST00000438462 - RTN4
ENST00000560165 - ANXA2,ENST00000494950 - PLOD2,ENST00000611028 - FOLR3,ENST00000494395 - ITGB1,ENST00000543540 - CADM1,ENST00000509490 - PDGFRA,ENST00000543091 - LRP6,ENST00000572882 - ABCC1,ENST00000447941 - PXDN,ENST00000579475 - NOTCH2,ENST00000597349 - PSG4,ENST00000406359 - TEK,ENST00000406359 - TEK
ENST00000462745 - MME,ENST00000437761 - CD59,ENST00000263339 - IL1A,ENST00000443424 - FAP,ENST00000264441 - PCYOX1,ENST00000628403 - SLC12A2,ENST00000433736 - ITGAV,ENST00000481390 - PLAU,ENST00000521195 - FZD6,ENST00000406359 - TEK,ENST00000612334 - CERCAM,ENST00000473257 - ACTB,ENST00000447282 - PCBP2
ENST00000395603 - ATRX,ENST00000513319 - LOX,ENST00000394890 - P4HA1,ENST00000478966 - SERPINE2,ENST00000506241 - IL6ST,ENST00000498479 - RC3H2,ENST00000436949 - SEMA3A,ENST00000494831 - LAMB2,ENST00000455077 - SLC4A7,ENST00000470581 - SEMA3C,ENST00000525981 - RPL27A,ENST00000514032 - CANX,ENST00000518867 - MGAT4B
ENST00000519510 - PLAT,ENST00000360642 - CLCN3,ENST00000398457 - ABCG1,ENST00000497849 - VIM,ENST00000464116 - XRCC6,ENST00000455077 - SLC4A7,ENST00000480949 - PCYOX1,ENST00000395603 - ATRX,ENST00000579475 - NOTCH2,ENST00000416334 - NT5E,ENST00000513319 - LOX,ENST00000521195 - FZD6,ENST00000525469 - CD44
