,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000433736,8.577947840412826,-5.100708641093487,16.53284163274226,3.208107406088619e-36,6.389459196410459e-31,69.67998329696835,ENST00000433736,ITGAV,ENST00000433736 - ITGAV,69.52548825080714,True,True,2,True,True,3
ENST00000360490,11.722896155077379,-4.199504163499332,13.7151936276359,1.1739409047350638e-28,1.1690455711623185e-23,54.07614840196233,ENST00000360490,MME,ENST00000360490 - MME,52.80326947410273,True,True,2,False,True,3
ENST00000424922,9.586050921303674,-5.002539934230966,13.108474666255846,5.3297626072077996e-27,3.415122392679903e-22,49.96862291016843,ENST00000424922,CALD1,ENST00000424922 - CALD1,49.428658713757905,True,True,2,False,False,2
ENST00000426059,9.79054142395413,-2.2090224425061336,13.068433935112438,6.85884617390499e-27,3.415122392679903e-22,50.09558028928962,ENST00000426059,FN1,ENST00000426059 - FN1,49.428658713757905,True,True,2,False,True,3
ENST00000505593,8.450421231020087,-4.648691694902948,12.841787727388594,2.8616268845707437e-26,1.1398775601848335e-21,48.17994226922355,ENST00000505593,LOX,ENST00000505593 - LOX,48.223366099583345,True,True,2,False,True,3
ENST00000481828,10.101763276320646,-3.460110183802951,12.60739981871694,1.2547896587027005e-25,4.1651906194197014e-21,47.18223654209196,ENST00000481828,missing,ENST00000481828 - missing,46.927524911335915,True,True,2,False,False,2
ENST00000465297,10.40985351096867,-4.14714323259594,12.01311389622448,5.329284216670909e-24,1.5163031718535404e-19,43.55286534649819,ENST00000465297,AOX1,ENST00000465297 - AOX1,43.33284151822657,True,True,2,False,False,2
ENST00000541428,10.2400654380077,-4.22315593921263,11.975257720198965,6.766113293792216e-24,1.6844746503392758e-19,43.29894485738512,ENST00000541428,ASPH,ENST00000541428 - ASPH,43.227663031910176,True,True,2,True,True,3
ENST00000502326,9.634315482338694,-4.9569914008480245,11.95604882115006,7.637292820404697e-24,1.690098957631913e-19,43.04810646438747,ENST00000502326,IL6ST,ENST00000502326 - IL6ST,43.22432968485437,True,True,2,True,True,3
ENST00000323926,9.670042329293683,4.1877885490300795,11.864881861183912,1.356882735055334e-23,2.536104567325186e-19,43.01369697616546,ENST00000323926,FN1,ENST00000323926 - FN1,42.81848749798956,True,True,2,False,True,3
ENST00000336916,9.543736020312021,5.825920366855353,11.859839788394714,1.400698424458846e-23,2.536104567325186e-19,42.96807648963484,ENST00000336916,FN1,ENST00000336916 - FN1,42.81848749798956,True,True,2,False,True,3
ENST00000639739,9.391554568370829,-2.7472355503384103,11.647549437461791,5.336040484757498e-23,8.8563153265601e-19,41.34427894470179,ENST00000639739,LOX,ENST00000639739 - LOX,41.56798596613427,True,True,2,False,True,3
ENST00000403681,9.176574097479502,-2.2809055925784008,11.63348845787914,5.830060130007469e-23,8.93192119886975e-19,41.28156832703351,ENST00000403681,HMGA2,ENST00000403681 - HMGA2,41.55948525528668,True,True,2,False,False,2
ENST00000342951,9.322199238962476,-4.930170026170199,11.567560321576165,8.829467082238408e-23,1.256092600643639e-18,40.66659875175114,ENST00000342951,PSG5,ENST00000342951 - PSG5,41.21852588193739,True,True,2,False,True,3
ENST00000476752,8.996206355782325,-3.241269116355014,11.377222364340277,2.9238533556639026e-22,3.882214516227712e-18,39.620998118127595,ENST00000476752,DKK1,ENST00000476752 - DKK1,40.09012593146931,True,True,2,False,False,2
ENST00000610907,8.361432354782366,-4.275927773375852,11.32833939972781,3.9755666282574215e-22,4.9487356442719854e-18,39.13358615785575,ENST00000610907,PABPC1,ENST00000610907 - PABPC1,39.84739955533845,True,True,2,False,False,2
ENST00000317840,7.886035013103897,-4.6659784892702385,11.31153214595364,4.418441030009853e-22,5.1764895657820145e-18,38.92099725144035,ENST00000317840,COL3A1,ENST00000317840 - COL3A1,39.80240453736057,True,True,2,False,True,3
ENST00000373970,8.8215942271053,0.0604314604480025,11.176918536499148,1.0290325512555357e-21,1.1386016505742223e-17,38.65675168438337,ENST00000373970,DKK1,ENST00000373970 - DKK1,39.014145693712585,True,True,2,False,False,2
ENST00000492661,9.43768027349375,-4.878242912680062,11.089264455084832,1.7835043169447192e-21,1.8591856270733294e-17,37.81408087664558,ENST00000492661,MME,ENST00000492661 - MME,38.52380802395817,True,True,2,False,True,3
ENST00000443024,9.20528184247252,-4.741948018531983,11.081971510469431,1.8669708957084337e-21,1.8591856270733294e-17,37.749024127086145,ENST00000443024,IARS1,ENST00000443024 - IARS1,38.52380802395817,True,True,2,False,False,2
ENST00000437994,9.719226916939522,-4.716171218681336,11.067173747529885,2.04850513873657e-21,1.942821783150513e-17,37.72363436784089,ENST00000437994,CD109,ENST00000437994 - CD109,38.479805137226705,True,True,2,False,True,3
ENST00000416957,8.060417582278273,-5.04067684764591,10.981857720036537,3.496761541409879e-21,3.165618223438364e-17,36.964525756461434,ENST00000416957,FNDC3B,ENST00000416957 - FNDC3B,37.99159821311716,True,True,2,True,False,2
ENST00000493888,9.366633425825274,-4.410171579994631,10.927560085596031,4.913096539067908e-21,4.254442544782604e-17,36.86920462401951,ENST00000493888,MME,ENST00000493888 - MME,37.69598283925821,True,True,2,False,True,3
ENST00000589116,8.929056243942796,-3.7036440124939145,10.878938337107458,6.660872301342653e-21,5.409256318822429e-17,36.56477969159913,ENST00000589116,CCBE1,ENST00000589116 - CCBE1,37.45583496166275,True,True,2,False,False,2
ENST00000315274,9.222405515855916,-2.5597089730346556,10.875872728027245,6.789884215707536e-21,5.409256318822429e-17,36.664418515555795,ENST00000315274,MMP1,ENST00000315274 - MMP1,37.45583496166275,True,True,2,False,False,2
ENST00000460393,11.458679625334048,-1.918175941221738,10.82179192963072,9.523271803682688e-21,7.295045969431794e-17,36.511555254863985,ENST00000460393,MME,ENST00000460393 - MME,37.15675109744535,True,True,2,False,True,3
ENST00000543485,10.797687329940228,-3.489756177224752,10.76527507507367,1.3558951070873246e-20,1.00017853665983e-16,36.050660351267105,ENST00000543485,MMP2,ENST00000543485 - MMP2,36.84118296718067,True,True,2,False,False,2
ENST00000527258,7.021904113868722,-5.092921474869512,10.73318554539136,1.656910984939824e-20,1.1785726186661607e-16,35.321367465367565,ENST00000527258,ABI3BP,ENST00000527258 - ABI3BP,36.67705742683662,True,True,2,False,True,3
ENST00000296027,9.650477074049917,-1.1984161137817122,10.652057400322994,2.7496275245542755e-20,1.888387295018541e-16,35.43041834990544,ENST00000296027,CXCL5,ENST00000296027 - CXCL5,36.20563830614537,True,True,2,False,False,2
ENST00000429383,6.795917627564698,-5.037299985115865,10.64272871842166,2.914424389675841e-20,1.9348474933139283e-16,34.75434572369748,ENST00000429383,TBC1D5,ENST00000429383 - TBC1D5,36.18133297935388,True,True,2,False,False,2
ENST00000513319,9.534774284877457,-4.331879868966841,10.625799478970851,3.2390637682823605e-20,2.0810044337862084e-16,35.095472331938055,ENST00000513319,LOX,ENST00000513319 - LOX,36.10851080989185,True,True,2,False,True,3
ENST00000527044,6.519441842293345,-5.051215900100207,10.614573472191335,3.4739887080992024e-20,2.162188859491518e-16,34.52906279243828,ENST00000527044,KNL1,ENST00000527044 - KNL1,36.07024041843648,True,True,2,False,False,2
ENST00000520337,8.153761542475287,-3.5785064107851694,10.604346979544092,3.7027610175855125e-20,2.2347396994801095e-16,34.84969777667411,ENST00000520337,CTHRC1,ENST00000520337 - CTHRC1,36.03723673217883,True,True,2,False,False,2
ENST00000389869,8.092200243110144,-4.761672694001707,10.524939522860736,6.073708696786105e-20,3.5578713714826515e-16,34.28214539890362,ENST00000389869,NIN,ENST00000389869 - NIN,35.57219905123065,True,True,2,False,False,2
ENST00000261201,7.579911322796661,-5.070898532346904,10.496198085023472,7.264157928831382e-20,4.133637937296088e-16,34.007809405816474,ENST00000261201,ABCC9,ENST00000261201 - ABCC9,35.42220361217004,True,True,2,False,False,2
ENST00000273342,10.043660174334951,-4.549502506909152,10.481974604928917,7.936705555537607e-20,4.390894162983897e-16,34.254424732672824,ENST00000273342,COL8A1,ENST00000273342 - COL8A1,35.36182859978487,True,True,2,False,False,2
ENST00000628517,8.967002422601059,-4.9010884629860705,10.464438320560125,8.851978385746158e-20,4.76490034371762e-16,34.01554449817933,ENST00000628517,BCLAF1,ENST00000628517 - BCLAF1,35.28008486524232,True,True,2,False,False,2
ENST00000640382,7.724927715424302,-4.928165587179727,10.434609537491122,1.0657053098583393e-19,5.585585887980157e-16,33.68360749396619,ENST00000640382,TCEA1,ENST00000640382 - TCEA1,35.121172157039545,True,True,2,False,False,2
ENST00000469350,8.31255481982277,-4.980273458252855,10.390999583335399,1.397661692382518e-19,7.137607400642476e-16,33.50206319892263,ENST00000469350,PLOD2,ENST00000469350 - PLOD2,34.87598386566034,True,True,2,False,True,3
ENST00000366175,7.924798633513749,-5.02484317094329,10.356685460197163,1.7298406241713262e-19,8.613135943842658e-16,33.24678933611127,ENST00000366175,PSG5,ENST00000366175 - PSG5,34.68807301465757,True,True,2,False,True,3
ENST00000376723,6.976345451640273,-2.0741390745680546,10.323442031270002,2.1265251835190173e-19,1.0330036943920698e-15,33.20174322556624,ENST00000376723,UGGT1,ENST00000376723 - UGGT1,34.50630562840778,True,True,2,False,True,3
ENST00000536657,7.014015505812459,-5.012685296019067,10.130790670873672,7.018901370682772e-19,3.328396453317631e-15,31.79223661839028,ENST00000536657,WASF2,ENST00000536657 - WASF2,33.33628575244889,True,True,2,False,False,2
ENST00000462745,9.24560343004286,-4.252783878506707,10.085395876506686,9.293946226034658e-19,4.3047397536149266e-15,31.83268703050715,ENST00000462745,MME,ENST00000462745 - MME,33.07905971098026,True,True,2,False,True,3
ENST00000616868,6.981634620091693,-5.051106957299994,10.073837851048934,9.982242394102943e-19,4.518462019690697e-15,31.449712941601174,ENST00000616868,SULF1,ENST00000616868 - SULF1,33.03060472009888,True,True,2,False,True,3
ENST00000479759,7.7562557030837445,-4.764281326220622,10.057258256913672,1.1059217793203059e-18,4.870151223268006e-15,31.470754646575966,ENST00000479759,CAP1,ENST00000479759 - CAP1,32.95565140629254,True,True,2,False,False,2
ENST00000482079,8.161816637857472,-3.860871573320078,10.054515106076272,1.1248253028645866e-18,4.870151223268006e-15,31.579465290607363,ENST00000482079,WNT5A,ENST00000482079 - WNT5A,32.95565140629254,True,True,2,False,True,3
ENST00000564864,9.188318146823825,-4.688564278570853,10.041152781751174,1.2216149517002694e-18,5.1766843291560825e-15,31.54063003938289,ENST00000564864,MMP2,ENST00000564864 - MMP2,32.89461163448144,True,True,2,False,False,2
ENST00000525970,6.987864437688797,-5.054571785156607,9.973065058967972,1.8597507824286136e-18,7.71664842360786e-15,30.86428737661569,ENST00000525970,CSDE1,ENST00000525970 - CSDE1,32.495396267160636,True,True,2,False,False,2
ENST00000474644,7.899107173357006,-3.467321456125502,9.96675676484753,1.9335362873443153e-18,7.859075269494242e-15,31.05368245569572,ENST00000474644,COL1A1,ENST00000474644 - COL1A1,32.47710744558247,True,True,2,False,True,3
ENST00000543445,9.13834912071405,-4.043767331609339,9.938064204874763,2.3077089914711243e-18,9.192343379906759e-15,30.956583996861323,ENST00000543445,LDHA,ENST00000543445 - LDHA,32.32040549867524,True,True,2,False,False,2
ENST00000475937,5.934054420230261,-4.973950838879322,9.903086887465049,2.862696560753517e-18,1.1179447514098725e-14,30.30828838328233,ENST00000475937,FOXP1,ENST00000475937 - FOXP1,32.1246993457484,True,True,2,False,False,2
ENST00000502468,8.524127679328323,-4.8296850213185065,9.816988950572593,4.862495760821481e-18,1.8623919821149444e-14,30.15627285478934,ENST00000502468,FBN2,ENST00000502468 - FBN2,31.614329628506802,True,True,2,False,True,3
ENST00000370966,7.849816881769765,-2.73157173501209,9.793089958528405,5.6318068332736745e-18,2.1163479995392162e-14,30.078820229749375,ENST00000370966,DEPDC1,ENST00000370966 - DEPDC1,31.486499340412944,True,True,2,False,False,2
