,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000375076,11.52244588554658,-3.5112463302772823,15.0358427613443,3.0892800975495886e-32,3.53206403091967e-27,60.62537372416584,ENST00000375076,AGER,ENST00000375076 - AGER,60.90791509946239,True,True,2,True,True,3
ENST00000519937,11.154854778739196,-0.701845418316547,15.013548842719333,3.5468544138253214e-32,3.53206403091967e-27,61.338478712055796,ENST00000519937,SFTPB,ENST00000519937 - SFTPB,60.90791509946239,True,True,2,False,False,2
ENST00000428376,10.319496853780745,-2.610220118658166,13.791193514040764,7.26743362265756e-29,4.824752282967386e-24,53.293206298810816,ENST00000428376,SFTPA1,ENST00000428376 - SFTPA1,53.688282838701745,True,True,2,False,False,2
ENST00000409383,10.959606043355071,-3.626293946022993,13.049675428039691,7.70146420660311e-27,3.834674550430788e-22,48.88764146251057,ENST00000409383,SFTPB,ENST00000409383 - SFTPB,49.31278747764152,True,True,2,False,False,2
ENST00000428225,11.66596259657896,-4.312034523195445,12.731322789828852,5.730335355155367e-26,2.2825759426897475e-21,47.118335679081824,ENST00000428225,SFTPB,ENST00000428225 - SFTPB,47.52898234822635,True,True,2,False,False,2
ENST00000278282,10.014291410620654,-4.027358784062227,11.83576134071123,1.6273242369714307e-23,5.4017943163442e-19,41.46944661674539,ENST00000278282,SCGB1A1,ENST00000278282 - SCGB1A1,42.0623855877052,True,True,2,False,False,2
ENST00000375069,9.2600275050022,-3.8871647075865434,11.440342437926281,1.9627502865955293e-22,5.5844731940012166e-18,38.91121026290854,ENST00000375069,AGER,ENST00000375069 - AGER,39.726541570977005,True,True,2,True,True,3
ENST00000296694,9.48854177686806,-4.777332822367403,11.23681064705094,7.054154778916844e-22,1.5695575205415525e-17,37.66191341063152,ENST00000296694,SCGB3A2,ENST00000296694 - SCGB3A2,38.6931528353112,True,True,2,False,False,2
ENST00000375055,9.997056264913832,-4.181411280196039,11.235945551403256,7.092584921559891e-22,1.5695575205415525e-17,37.88581516886162,ENST00000375055,AGER,ENST00000375055 - AGER,38.6931528353112,True,True,2,True,True,3
ENST00000183605,8.672066352262396,-2.0168543835307013,11.031910755267223,2.5515348492145057e-21,5.0817898977865623e-17,36.83068434024146,ENST00000183605,CLDN18,ENST00000183605 - CLDN18,37.51828303928231,True,True,2,False,False,2
ENST00000524255,9.477632795469848,-3.0015050821204143,10.803870584188996,1.0637606454246465e-20,1.926045024605865e-16,35.45435011449702,ENST00000524255,SFTPC,ENST00000524255 - SFTPC,36.185892797540426,True,True,2,False,False,2
ENST00000372325,9.031346555823381,-0.5456060644490563,10.74275225445855,1.5586355079958552e-20,2.5868933298791874e-16,35.484742300807945,ENST00000372325,SFTPA2,ENST00000372325 - SFTPA2,35.89090381868617,True,True,2,False,False,2
ENST00000393853,9.554851822148382,-3.472435585526109,10.641067558441954,2.940830345229839e-20,4.505487819523431e-16,34.43869462947508,ENST00000393853,missing,ENST00000393853 - missing,35.336065318683765,True,True,2,False,False,2
ENST00000318561,9.51085475333855,-1.814142916072584,10.32578366401047,2.0932439453081684e-19,2.9778787400803333e-15,32.88810329235825,ENST00000318561,SFTPC,ENST00000318561 - SFTPC,33.447565180054006,True,True,2,False,False,2
ENST00000494165,9.594359643647058,-4.706178252559775,10.191363116295761,4.818270937791606e-19,6.397571663974687e-15,31.691974147450367,ENST00000494165,SFTPB,ENST00000494165 - SFTPB,32.68285790404984,True,True,2,False,False,2
ENST00000566116,7.166854083340221,-2.195217391994737,9.962036501838407,1.9884313408718982e-18,2.475174477725578e-14,30.271556989866724,ENST00000566116,ADAMTS7P3,ENST00000566116 - ADAMTS7P3,31.329880412329977,True,True,2,False,False,2
ENST00000398636,9.774595115803328,-4.683024894441817,9.932147713002722,2.3907693207696397e-18,2.8009409561200357e-14,30.23801991137583,ENST00000398636,SFTPA1,ENST00000398636 - SFTPA1,31.206235885432413,True,True,2,False,False,2
ENST00000521315,9.306748839232327,-2.7416262635890765,9.878377070412913,3.329511599498339e-18,3.684030595698256e-14,30.10079697313926,ENST00000521315,SFTPC,ENST00000521315 - SFTPC,30.932183878536822,True,True,2,False,False,2
ENST00000253719,7.057326462804734,-0.4483396233156179,9.775326763600658,6.27449213535996e-18,6.577186845426852e-14,29.53730613556027,ENST00000253719,NAPSA,ENST00000253719 - NAPSA,30.35258417908703,True,True,2,False,False,2
ENST00000292641,7.669762934815576,-1.7010418182956781,9.758406447373446,6.961508964440483e-18,6.932479472058765e-14,29.30773825063192,ENST00000292641,SCGB3A1,ENST00000292641 - SCGB3A1,30.299973764529884,True,True,2,False,False,2
ENST00000354982,7.967471585767601,-1.8905998187800266,9.407537088971221,5.946133360352342e-17,5.639369508799689e-13,27.34002391880594,ENST00000354982,FCN3,ENST00000354982 - FCN3,28.20383393888142,True,True,2,False,True,3
ENST00000419470,9.396345595023393,-4.785398124906319,9.365923163686903,7.658607859499133e-17,6.933337695204565e-13,26.9305837730685,ENST00000419470,SFTPA1,ENST00000419470 - SFTPA1,27.997264881767585,True,True,2,False,False,2
ENST00000473692,9.327608322418772,-4.661301804812324,9.334810405218597,9.252192123447327e-17,8.011835201993522e-13,26.77336653906265,ENST00000473692,SFTPB,ENST00000473692 - SFTPB,27.852686360228027,True,True,2,False,False,2
ENST00000240335,8.04296029790386,-4.385335366654586,9.031247570181252,5.797914678015002e-16,4.8114478115064e-12,24.876060873960352,ENST00000240335,TBX4,ENST00000240335 - TBX4,26.060023076789204,True,True,2,False,False,2
ENST00000361306,7.923303500474576,-3.1895871440068126,8.632969621561443,6.265147904797916e-15,4.991217790427927e-11,22.800545769640504,ENST00000361306,EGFL6,ENST00000361306 - EGFL6,23.72075609676756,True,True,2,False,False,2
ENST00000571679,6.360581799240338,-3.5848542247847264,8.594346904888896,7.877163589534389e-15,6.034089090281562e-11,22.244082290917913,ENST00000571679,TMEM100,ENST00000571679 - TMEM100,23.53101111759308,True,True,2,False,False,2
ENST00000286890,6.850218012231968,-4.8636101011476445,8.518392480516066,1.2344795124091158e-14,9.106160984017554e-11,21.762149693473912,ENST00000286890,GGTLC1,ENST00000286890 - GGTLC1,23.119484807283218,True,True,2,False,False,2
ENST00000568767,6.861873011264666,-4.714298379638789,8.42407731372195,2.152447479734762e-14,1.5056128884633487e-10,21.31676171958418,ENST00000568767,RP11-513N24.1,ENST00000568767 - RP11-513N24.1,22.61665087977786,True,True,2,False,False,2
