,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000308868,8.888963323153343,-1.355952692895638,10.391743486259708,1.6402989052124178e-19,3.266917717555364e-14,32.343398177102316,ENST00000308868,LEP,ENST00000308868 - LEP,31.052344355548342,True,True,2,False,False,2
ENST00000423850,8.972868156349579,-2.9989542724274285,10.018520590944375,1.6296110297590703e-18,1.0818770345099834e-13,29.67390365923765,ENST00000423850,CIDEC,ENST00000423850 - CIDEC,29.85490868143531,True,True,2,False,False,2
ENST00000336832,9.914585556946598,-2.3287844156383835,9.428532851641231,5.931348149522048e-17,1.968871475912847e-12,26.924540556718412,ENST00000336832,CIDEC,ENST00000336832 - CIDEC,26.953560592189266,True,True,2,False,False,2
ENST00000560330,7.808766353746233,-1.3994382304706987,9.320627249113008,1.1382710466508767e-16,3.2386413039609786e-12,26.02713358292923,ENST00000560330,PLIN1,ENST00000560330 - PLIN1,26.455867224705703,True,True,2,False,False,2
ENST00000618572,9.073659398858407,-3.3959107579930947,9.282269469646042,1.434419757804363e-16,3.571095568535797e-12,25.603753688297644,ENST00000618572,CIDEC,ENST00000618572 - CIDEC,26.35814868527283,True,True,2,False,False,2
ENST00000320741,8.935451324514249,0.3622464048639774,8.460344172265247,1.9030415187981395e-14,2.368882294580939e-10,21.98214751874483,ENST00000320741,ADIPOQ,ENST00000320741 - ADIPOQ,22.163432691696393,True,True,2,False,True,3
ENST00000521734,7.593475781247204,-3.1120224015536118,8.082220121329472,1.7137803495173149e-13,1.5514853504180252e-09,18.906088241841946,ENST00000521734,FABP4,ENST00000521734 - FABP4,20.28405307429028,True,True,2,False,False,2
ENST00000475923,6.094140022625922,-0.27807206591212835,8.045218376387103,2.1207788018760498e-13,1.6664100123251899e-09,19.112497995440606,ENST00000475923,PLIN2,ENST00000475923 - PLIN2,20.212594217643385,True,True,2,False,False,2
ENST00000383817,8.527152565487466,-1.3463943386190729,7.776216720755812,9.868789229533818e-13,5.615792216255235e-09,17.960922283245154,ENST00000383817,CIDEC,ENST00000383817 - CIDEC,18.997683169437416,True,True,2,False,False,2
ENST00000281030,7.44187281939564,-1.3149063451821508,7.587091842002478,2.8721118044230456e-12,1.3951878527798057e-08,16.80838541148018,ENST00000281030,THRSP,ENST00000281030 - THRSP,18.087651676254183,True,True,2,False,False,2
ENST00000333813,7.428427828607861,-0.1744780046391228,7.358102720883955,1.0312226851481072e-11,4.2487363563826735e-08,15.843639021584632,ENST00000333813,TRARG1,ENST00000333813 - TRARG1,16.974059133136706,True,True,2,False,False,2
ENST00000373031,6.486217832785465,-2.5180625289428114,7.2654874322753225,1.7208102768216727e-11,6.466545275348401e-08,14.72344851164309,ENST00000373031,TNMD,ENST00000373031 - TNMD,16.554038738580726,True,True,2,True,False,2
ENST00000430628,7.834454411940354,-0.8262519535601867,7.223916781958493,2.1633751369061398e-11,7.88791388661838e-08,15.108577680540948,ENST00000430628,PLIN1,ENST00000430628 - PLIN1,16.355349043722477,True,True,2,False,False,2
ENST00000255427,6.169725674681331,-3.892397398612794,7.0168839037827215,6.70174568382709e-11,1.9344346099494295e-07,13.203727592671399,ENST00000255427,CHIT1,ENST00000255427 - CHIT1,15.458280558413357,True,True,2,False,False,2
ENST00000394618,7.40903383153335,-2.718919528799976,6.96120495492313,9.059184706596418e-11,2.4382183530729493e-07,13.421231230318611,ENST00000394618,LGALS12,ENST00000394618 - LGALS12,15.226828061533602,True,True,2,False,False,2
ENST00000522659,7.640615415727023,2.0415197861683767,6.922086216024354,1.1188050219310323e-10,2.7602349866133235e-07,13.881166077946302,ENST00000522659,FABP4,ENST00000522659 - FABP4,15.10277983477618,True,True,2,False,False,2
ENST00000256104,7.824969051299598,1.95497244014073,6.911754606270003,1.1828288724135243e-10,2.7867148829897875e-07,13.834069982628725,ENST00000256104,FABP4,ENST00000256104 - FABP4,15.093232210171209,True,True,2,False,False,2
ENST00000518669,7.926616926188303,-1.282148042417415,6.9107391661373745,1.1893132615714126e-10,2.7867148829897875e-07,13.501957075153982,ENST00000518669,FABP4,ENST00000518669 - FABP4,15.093232210171209,True,True,2,False,False,2
ENST00000300055,8.132217232426452,0.997559063537245,6.712632700465163,3.4291742222640757e-10,6.82974913151447e-07,12.787943088974897,ENST00000300055,PLIN1,ENST00000300055 - PLIN1,14.196807708428754,True,True,2,False,False,2
ENST00000512413,5.1769728629809615,-0.9291018671815996,6.694963527170941,3.765995743694569e-10,7.353512826359535e-07,12.091934281016052,ENST00000512413,LVRN,ENST00000512413 - LVRN,14.122917516349276,True,True,2,True,False,2
ENST00000625222,6.432091163756336,-3.839348324998244,6.689692174848903,3.872653208860199e-10,7.488357757241267e-07,11.792852172366903,ENST00000625222,LINC01230,ENST00000625222 - LINC01230,14.104746135514976,True,True,2,False,False,2
ENST00000394788,7.896286174991063,-2.3417339573486995,6.6407650270794365,5.015920789838493e-10,9.25000814841642e-07,12.044276126540423,ENST00000394788,CD36,ENST00000394788 - CD36,13.89347121852449,True,True,2,False,True,3
ENST00000599211,7.306459583675052,-1.403858892680937,6.588019615089064,6.621903600221428e-10,1.14683308907974e-06,11.850187657469274,ENST00000599211,LIPE,ENST00000599211 - LIPE,13.678506249952907,True,True,2,False,False,2
ENST00000340246,6.469167291443494,-3.314525387175106,6.509982300947571,9.966384062780075e-10,1.6137925595509402e-06,11.031733761780128,ENST00000340246,LGALS12,ENST00000340246 - LGALS12,13.336923522057605,True,True,2,False,False,2
ENST00000445272,4.89282826116165,-2.465570817508702,6.459250121048927,1.2982769674556951e-09,2.004438996126209e-06,10.63913344606702,ENST00000445272,HSD11B1-AS1,ENST00000445272 - HSD11B1-AS1,13.120146338788564,True,True,2,False,False,2
ENST00000301286,5.579649101877054,5.062283707185823,6.377989631399163,1.9783175097517256e-09,2.83900879508146e-06,11.213648117426423,ENST00000301286,PLIN4,ENST00000301286 - PLIN4,12.772055582527742,True,True,2,False,False,2
ENST00000379433,4.165910893826112,0.6465966092100005,6.335551161177709,2.462262154230619e-09,3.4293629664999682e-06,10.543982890144918,ENST00000379433,NEDD9,ENST00000379433 - NEDD9,12.58313603808776,True,True,2,False,False,2
ENST00000521296,7.191677303425646,-2.286471827991992,6.321605534834958,2.6453883605311792e-09,3.6588292931496723e-06,10.467260055527465,ENST00000521296,CIDEA,ENST00000521296 - CIDEA,12.518367326978455,True,True,2,False,False,2
ENST00000367483,7.288322597500316,-3.1421739129676003,6.293934708829153,3.0492737104690895e-09,4.021931442511832e-06,10.22350847143906,ENST00000367483,PRG4,ENST00000367483 - PRG4,12.423748312380217,True,True,2,False,False,2
ENST00000597620,4.800469215650351,2.205139681285384,6.2739697056059605,3.3777467534048024e-09,4.340208450894328e-06,10.522769548806146,ENST00000597620,LIPE,ENST00000597620 - LIPE,12.347588180845388,True,True,2,False,False,2
ENST00000357872,7.032681508202972,-3.716012164035041,6.270961575785415,3.430162919007863e-09,4.351412916733249e-06,10.029988300258257,ENST00000357872,LVRN,ENST00000357872 - LVRN,12.3450099571581,True,True,2,True,False,2
ENST00000380464,5.673542836005066,-1.5732831419566402,6.264068477968909,3.5533076436334622e-09,4.4231129384493884e-06,10.086296898112183,ENST00000380464,PLIN2,ENST00000380464 - PLIN2,12.328666825049709,True,True,2,False,False,2
ENST00000441109,6.963685037492574,-1.8228646130964876,6.23951564686036,4.02827868753515e-09,4.717593746887459e-06,10.123994616033707,ENST00000441109,CD36,ENST00000441109 - CD36,12.26421168774695,True,True,2,False,True,3
ENST00000396404,5.717060009623147,-3.4556989865994483,6.237298554227035,4.07411970147838e-09,4.717593746887459e-06,9.629260388796567,ENST00000396404,CYP19A1,ENST00000396404 - CYP19A1,12.26421168774695,True,True,2,True,False,2
ENST00000538969,7.2272839550218695,-1.953258485457323,6.131299177271093,6.979929337608856e-09,7.3166558234431856e-06,9.646978313763924,ENST00000538969,CD36,ENST00000538969 - CD36,11.825357189101844,True,True,2,False,True,3
ENST00000320477,6.775954071078655,-1.6835031166890897,6.116877747335008,7.507388796863217e-09,7.707302046989998e-06,9.568730641736723,ENST00000320477,CIDEA,ENST00000320477 - CIDEA,11.77334236068297,True,True,2,False,False,2
ENST00000303645,6.973411687514511,-3.1198157916018507,6.099239118389063,8.205926831898835e-09,8.25425062324224e-06,9.31369738515385,ENST00000303645,MRAP,ENST00000303645 - MRAP,11.704782263241908,True,True,2,False,False,2
ENST00000545676,5.614007248378634,-2.780916394613405,6.046808863900837,1.0680875371539701e-08,1.032653992353435e-05,8.906766058089204,ENST00000545676,PFKFB1,ENST00000545676 - PFKFB1,11.48079328510171,True,True,2,False,False,2
ENST00000370674,6.498076436532235,-2.2499104339305114,5.996240481601808,1.375583024841467e-08,1.2683767070628499e-05,8.907554784631099,ENST00000370674,FHL1,ENST00000370674 - FHL1,11.275187565487975,True,True,2,False,False,2
ENST00000511589,4.885249811544408,-3.1709931050375575,5.845924391875644,2.8970349823475597e-08,2.335730084168223e-05,7.850147819297538,ENST00000511589,BTNL9,ENST00000511589 - BTNL9,10.664600952841083,True,True,2,True,True,3
ENST00000419819,5.93824880150608,-3.5488299767364766,5.840077946412719,2.9815213718873306e-08,2.3495882638996438e-05,7.9675060080437055,ENST00000419819,CD36,ENST00000419819 - CD36,10.65868535901589,True,True,2,False,True,3
ENST00000586233,5.678031993232446,-2.9640550359490683,5.828619138506809,3.1541704636393e-08,2.4732421833117515e-05,7.955649988151005,ENST00000586233,CD300LG,ENST00000586233 - CD300LG,10.607395550246597,True,True,2,True,False,2
ENST00000425817,5.663640289092713,0.16385900170533058,5.803595597718227,3.565941949204838e-08,2.7004349591457444e-05,8.262769604608833,ENST00000425817,SLC19A3,ENST00000425817 - SLC19A3,10.519512608954603,True,True,2,False,False,2
ENST00000244289,4.426130819042259,3.441400716587967,5.794385499862557,3.730384909089394e-08,2.784499859253413e-05,8.373905846507478,ENST00000244289,LIPE,ENST00000244289 - LIPE,10.488857191469092,True,True,2,False,False,2
ENST00000490689,6.61619525763524,-2.208383081351497,5.775483981400502,4.091456952183785e-08,2.9849051843906072e-05,7.972172331055824,ENST00000490689,SHOX2,ENST00000490689 - SHOX2,10.419357482653398,True,True,2,False,False,2
ENST00000393955,7.046957889451118,-2.7426227624751878,5.691034534030529,6.168701740813172e-08,4.123612149499367e-05,7.595222012278887,ENST00000393955,PC,ENST00000393955 - PC,10.096195950401329,True,True,2,False,False,2
ENST00000488841,4.450127364433531,-3.7730300772949135,5.678472901140815,6.555161929112898e-08,4.338293270307411e-05,6.988355273792483,ENST00000488841,TPRG1,ENST00000488841 - TPRG1,10.045444449892749,True,True,2,False,False,2
ENST00000488048,5.859231395480462,-2.191432312024674,5.6606041910459215,7.145980444033076e-08,4.672552989177703e-05,7.39128292234969,ENST00000488048,CD36,ENST00000488048 - CD36,9.971219864038968,True,True,2,False,True,3
ENST00000301149,5.8045793823267715,3.048103843748664,5.653816332818051,7.383805402772295e-08,4.7592329671474006e-05,7.774214985169398,ENST00000301149,GPD1,ENST00000301149 - GPD1,9.95283895106715,True,True,2,False,False,2
ENST00000375006,5.826266346050756,-3.0225364173110036,5.621281970694165,8.635476939442348e-08,5.4084698117011776e-05,7.109485815542465,ENST00000375006,PFKFB1,ENST00000375006 - PFKFB1,9.824959256537392,True,True,2,False,False,2
ENST00000258403,5.310473192281456,0.4612883147069688,5.610715830746438,9.084927072656682e-08,5.6544018292273145e-05,7.417786160350699,ENST00000258403,SLC19A3,ENST00000258403 - SLC19A3,9.780491138321928,True,True,2,False,False,2
ENST00000410013,6.1928705797630785,-1.5108112259750974,5.606026942829599,9.291627961716909e-08,5.729338621124799e-05,7.285191066621713,ENST00000410013,C14orf180,ENST00000410013 - C14orf180,9.7673253647929,True,True,2,True,False,2
ENST00000322495,5.614095990509166,-2.265178479662536,5.5859562370613265,1.0229575034147425e-07,6.275723218427815e-05,7.035761474726193,ENST00000322495,,ENST00000322495 - nan,9.676236732660886,True,True,2,False,False,2
ENST00000287820,6.094162585052599,-2.199855268333573,5.58572803507398,1.0240754174854341e-07,6.275723218427815e-05,7.099846881340593,ENST00000287820,PPARG,ENST00000287820 - PPARG,9.676236732660886,True,True,2,False,False,2
ENST00000414593,2.0618939783677175,2.844140588324763,5.574124828235655,1.0825182517994955e-07,6.593297557733894e-05,7.201022425740013,ENST00000414593,ELMOD3,ENST00000414593 - ELMOD3,9.626871853484698,True,True,2,False,False,2
ENST00000624420,5.690469437093946,-3.655087613707169,5.566827804387678,1.1209278165641592e-07,6.744734426399315e-05,6.78566978747671,ENST00000624420,AQP7,ENST00000624420 - AQP7,9.604163349488283,True,True,2,False,False,2
ENST00000303460,7.085734904966113,-2.439891156673424,5.557692998909906,1.1708915412313356e-07,6.961247304503886e-05,7.069935203228856,ENST00000303460,HOXC10,ENST00000303460 - HOXC10,9.572566796262944,True,True,2,False,False,2
ENST00000573382,5.3060476288876375,-3.613605722707566,5.535187849456227,1.3034518225520072e-07,7.524732918562119e-05,6.6012130964041935,ENST00000573382,MYMX,ENST00000573382 - MYMX,9.49473014751505,True,True,2,False,False,2
ENST00000587491,2.7616926736728282,1.7854878482933767,5.525841092714114,1.362717015686856e-07,7.776701923962418e-05,6.954197443292036,ENST00000587491,SEC14L1,ENST00000587491 - SEC14L1,9.461793133886719,True,True,2,False,False,2
ENST00000432207,7.02572255819473,0.00459839766832178,5.515189860362782,1.4334648106875032e-07,8.087746529331084e-05,7.082747707199742,ENST00000432207,CD36,ENST00000432207 - CD36,9.422575322846614,True,True,2,False,True,3
ENST00000367755,4.762336137283432,0.8254591750103514,5.5130013198067855,1.4484395812187163e-07,8.1261948629016e-05,6.984323026325347,ENST00000367755,FMO3,ENST00000367755 - FMO3,9.417832687517269,True,True,2,True,False,2
ENST00000377203,5.2561152919242815,-3.529998199613514,5.509090861809973,1.4755775466733764e-07,8.232069402261895e-05,6.495103519094036,ENST00000377203,CD300LG,ENST00000377203 - CD300LG,9.404888035684188,True,True,2,True,False,2
ENST00000380465,5.063986900626846,-2.9452683596180176,5.506882497420101,1.491121956035046e-07,8.295552946806592e-05,6.540837638414367,ENST00000380465,PLIN2,ENST00000380465 - PLIN2,9.397205883295557,True,True,2,False,False,2
ENST00000238558,4.8666330413093295,-3.0250062611537563,5.495686906889335,1.5724194647589867e-07,8.547307410414621e-05,6.447177819251488,ENST00000238558,GSC,ENST00000238558 - GSC,9.367309154378669,True,True,2,False,False,2
ENST00000624075,5.644724119879709,-3.4976851638514903,5.492606932765088,1.5955336874194973e-07,8.611817408904921e-05,6.492931651135612,ENST00000624075,AQP7,ENST00000624075 - AQP7,9.35979008763146,True,True,2,False,False,2
ENST00000339241,6.890844787679248,-1.646245240004698,5.490844515768072,1.6089089354201555e-07,8.660539379240289e-05,6.839123814075867,ENST00000339241,SPRY1,ENST00000339241 - SPRY1,9.354148460358513,True,True,2,False,False,2
ENST00000599918,5.4629793943433995,-2.747160150397222,5.48609256361257,1.6455200414755459e-07,8.786371168378513e-05,6.541362017725996,ENST00000599918,LIPE,ENST00000599918 - LIPE,9.33972367487548,True,True,2,False,False,2
ENST00000369425,3.5748695406318496,0.021931414586205226,5.478707354990237,1.7040386562201643e-07,8.954790580600137e-05,6.649117675916062,ENST00000369425,GPAM,ENST00000369425 - GPAM,9.320736815481967,True,True,2,False,False,2
ENST00000441034,5.319829244299845,-3.17778518987655,5.475872925068707,1.7270333111243305e-07,9.027987308225417e-05,6.417242653308604,ENST00000441034,CD36,ENST00000441034 - CD36,9.31259601183943,True,True,2,False,True,3
ENST00000551939,4.657795665695625,-2.9614431730202577,5.468159669315248,1.7911524598708417e-07,9.265887553834703e-05,6.320447181783192,ENST00000551939,GPD1,ENST00000551939 - GPD1,9.286585813400722,True,True,2,False,False,2
ENST00000252453,5.4726009087213265,-3.445903495033056,5.464790402364416,1.8198844353200106e-07,9.341729470230548e-05,6.364214339237707,ENST00000252453,ANGPTL8,ENST00000252453 - ANGPTL8,9.278434061752074,True,True,2,False,False,2
ENST00000348367,3.298911432947791,4.739540505172415,5.404251627856846,2.41976945112629e-07,0.00011474661964357587,6.656440677838682,ENST00000348367,GPAM,ENST00000348367 - GPAM,9.072784167901311,True,True,2,False,False,2
ENST00000317310,5.9416003787321525,1.1696984476271581,5.401497750667768,2.451218407275919e-07,0.00011564361829883607,6.601961039778191,ENST00000317310,CD300LG,ENST00000317310 - CD300LG,9.064997351969447,True,True,2,True,False,2
ENST00000472715,4.763522238215076,-2.1563988582709404,5.384875827094088,2.649678268472524e-07,0.00012215875509689786,6.122955817292956,ENST00000472715,PLIN2,ENST00000472715 - PLIN2,9.010189087864681,True,True,2,False,False,2
ENST00000480599,5.164973374492144,-4.035338851217748,5.376003753928516,2.7619347848211295e-07,0.00012558984094832994,5.9214013952485915,ENST00000480599,CD36,ENST00000480599 - CD36,8.982489191370824,True,True,2,False,True,3
ENST00000496957,6.1973293964237754,-4.275086810482533,5.372587648305427,2.8063833427566814e-07,0.00012732030634247772,6.068857971893172,ENST00000496957,ELMOD3,ENST00000496957 - ELMOD3,8.968804549470354,True,True,2,False,False,2
ENST00000331952,6.033178127875628,-3.0936640598161462,5.366346518664488,2.8893976354165404e-07,0.00013019678041976712,6.089369674074984,ENST00000331952,C14orf180,ENST00000331952 - C14orf180,8.946463556454324,True,True,2,True,False,2
ENST00000436786,4.811287673223391,-2.2956855688898052,5.363675682202441,2.9256499897540317e-07,0.00013123648780616023,6.023861821716995,ENST00000436786,LINC01239,ENST00000436786 - LINC01239,8.938509611840564,True,True,2,False,False,2
ENST00000377425,5.784432698664862,-2.564159136881168,5.3532224236457715,3.071848795414987e-07,0.00013662449394809834,6.073325953639026,ENST00000377425,AQP7,ENST00000377425 - AQP7,8.898274315422476,True,True,2,False,False,2
ENST00000491209,5.150207236419528,0.6791334054562734,5.353127818358,3.073203924803835e-07,0.00013662449394809834,6.323936551944474,ENST00000491209,BTNL9,ENST00000491209 - BTNL9,8.898274315422476,True,True,2,True,True,3
ENST00000369208,6.490344879612318,-3.704959360664016,5.346768903836944,3.1656376632220877e-07,0.00013948836080382527,6.0199129711543495,ENST00000369208,SIM1,ENST00000369208 - SIM1,8.877529395281782,True,True,2,False,False,2
ENST00000396402,5.1206740910731945,-2.1009618559782655,5.3094555654816125,3.765179960105806e-07,0.00015820587171612509,5.874594904718187,ENST00000396402,CYP19A1,ENST00000396402 - CYP19A1,8.751613387541207,True,True,2,True,False,2
ENST00000537089,5.56970214345431,0.20856600758030885,5.305881548021703,3.828099020155943e-07,0.00015983798101643155,6.124460080264475,ENST00000537089,AQP7,ENST00000537089 - AQP7,8.741349874422387,True,True,2,False,False,2
ENST00000526907,2.4919044199210356,0.6520384193316658,5.2870208245784,4.17748128026883e-07,0.00017154891477649933,5.814683158554131,ENST00000526907,PICALM,ENST00000526907 - PICALM,8.670642114669336,True,True,2,False,True,3
ENST00000520337,5.128387643152844,-3.6334853282265307,5.278469827582572,4.345937838883924e-07,0.00017706268637937697,5.559610084188796,ENST00000520337,CTHRC1,ENST00000520337 - CTHRC1,8.63900672775495,True,True,2,False,False,2
ENST00000297988,6.34945113453141,-3.0864953115602636,5.27808215639504,4.3537298073824165e-07,0.00017706268637937697,5.7774869057035545,ENST00000297988,AQP7,ENST00000297988 - AQP7,8.63900672775495,True,True,2,False,False,2
ENST00000539936,5.01666747423509,-3.8275292553126317,5.263393422277748,4.6592020307918226e-07,0.00018784506713860003,5.4709946140374335,ENST00000539936,,ENST00000539936 - nan,8.579893045865342,True,True,2,False,False,2
ENST00000581852,5.090910494377184,-2.676657883614082,5.260534634697828,4.7210347148935067e-07,0.00018995345455080406,5.597584033725709,ENST00000581852,CCDC178,ENST00000581852 - CCDC178,8.568731491863721,True,True,2,False,False,2
ENST00000624890,5.289547867652043,-3.2593734935299583,5.251456838713071,4.922722243914262e-07,0.00019608777968628557,5.518718701457464,ENST00000624890,AQP7,ENST00000624890 - AQP7,8.536948143448845,True,True,2,False,False,2
ENST00000464213,5.6672616124691935,3.0038487914336605,5.228626622022163,5.467755205247067e-07,0.0002120972207366022,5.911613476556341,ENST00000464213,CD36,ENST00000464213 - CD36,8.458465800031577,True,True,2,False,True,3
ENST00000537449,6.466186287753034,-2.4582611681435624,5.205919648714051,6.067934756427878e-07,0.00023063478887380053,5.554001849714211,ENST00000537449,GHR,ENST00000537449 - GHR,8.374675099088996,True,True,2,True,True,3
ENST00000367485,5.17668859727122,1.0052877744998574,5.2041160478044235,6.118264512924236e-07,0.0002312239601482103,5.73082417110931,ENST00000367485,PRG4,ENST00000367485 - PRG4,8.372123792676629,True,True,2,False,False,2
ENST00000406757,5.082706861207556,-3.687939484078226,5.20291335391144,6.152051397456163e-07,0.00023205438715933065,5.246175422472081,ENST00000406757,GPC3,ENST00000406757 - GPC3,8.368538786360869,True,True,2,False,True,3
ENST00000591243,3.389373116298517,-2.3507887656466475,5.174123116351934,7.017254644471037e-07,0.00025785950895216214,5.077229757384387,ENST00000591243,C19orf12,ENST00000591243 - C19orf12,8.263095660302941,True,True,2,False,False,2
ENST00000263317,5.981838595158269,-3.1228903299525648,5.172244248678245,7.077659009562398e-07,0.000259600190478546,5.307196093039052,ENST00000263317,NOX4,ENST00000263317 - NOX4,8.256367839395988,True,True,2,False,False,2
ENST00000449199,4.717284423598553,-3.0367302213003606,5.161797002957282,7.422869197914547e-07,0.00027076614774209685,5.12136517320436,ENST00000449199,missing,ENST00000449199 - missing,8.214255033078247,True,True,2,False,False,2
ENST00000379507,5.242853307340992,1.5335938659699775,5.153362006381542,7.71348730952455e-07,0.00027736962256774206,5.546832491804453,ENST00000379507,AQP7,ENST00000379507 - AQP7,8.19015956376653,True,True,2,False,False,2
ENST00000623743,5.271033444773682,-4.025158948881414,5.15231992925968,7.75014995952132e-07,0.00027812006609694115,5.074257926885352,ENST00000623743,AQP7,ENST00000623743 - AQP7,8.18745764507729,True,True,2,False,False,2
ENST00000412373,4.810174333325283,-3.126763388981336,5.127475796477937,8.676153986894934e-07,0.0003031569973603362,4.98787760999684,ENST00000412373,TPRG1,ENST00000412373 - TPRG1,8.101259743541272,True,True,2,False,False,2
ENST00000381922,4.806203020620749,-0.03482179970882445,5.1215979130693885,8.910496160607002e-07,0.00030905292497301163,5.300820470783558,ENST00000381922,ANGPT4,ENST00000381922 - ANGPT4,8.081998017503158,True,True,2,False,False,2
ENST00000444204,7.337127383479748,-4.341938075522472,5.099687823191405,9.839460620755706e-07,0.00033671580996450705,5.108144225698422,ENST00000444204,ADIPOQ,ENST00000444204 - ADIPOQ,7.996271277258085,True,True,2,False,True,3
