,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
CD99,6.823769826077533,0.4556490083181748,15.166081439433226,2.954569436006483e-48,5.168723771349741e-44,97.8036614803677,99.67111828642781,True,True,2,True,False,2
ITGA11,7.581576512979672,1.4942904210593306,13.409524134625546,1.0943821356642832e-38,5.669778930302886e-35,76.35982151406806,78.85532812717662,True,True,2,True,True,3
TRPA1,8.059558703001551,0.8319265457440393,13.395359412635987,1.2963939477084454e-38,5.669778930302886e-35,76.1959428167488,78.85532812717662,True,True,2,False,False,2
GREM1,8.347451729456083,2.332336246967713,13.24123436057816,8.116572796092014e-38,2.839826489896674e-34,74.41338545037692,77.24415020659762,True,True,2,False,True,3
CHRM2,6.981123693466339,0.5973184454281583,12.892194822462715,4.86581858512406e-36,1.2985224100960836e-32,70.43029494950139,73.42149596538867,True,True,2,False,False,2
CEMIP,8.259102539867865,1.4509538553999426,12.88653926016606,5.1958710818981275e-36,1.2985224100960836e-32,70.3675136838973,73.42149596538867,True,True,2,False,False,2
FGF5,5.930035213757715,0.5072639520539669,12.616489410017527,1.1621213549890455e-34,2.541268873022295e-31,67.2886587311733,70.4474743702137,True,True,2,False,False,2
STC2,8.28260151305799,1.4162207818752786,12.088825054472162,4.3355850933296255e-32,7.584672562270847e-29,61.58576242027156,64.74883825407257,True,True,2,False,False,2
TNFRSF11B,8.649323231701151,1.6605544089037634,12.048910078861784,6.730217265787692e-32,1.0703492804335443e-28,61.15874990798634,64.40439757831453,True,True,2,False,True,3
LOXL2,7.678072351555652,2.092575120418777,11.990764985257849,1.2744730107158472e-31,1.8579692374552525e-28,60.53665786750729,63.852898520384265,True,True,2,False,False,2
PTP4A1,6.135562777077687,0.8395582140707142,11.90446169968445,3.2729281461260258e-31,4.089757499166335e-28,59.610558590226056,63.06389692669374,True,True,2,False,False,2
COL12A1,9.741140376235688,1.9135127626670485,11.343241102538892,1.318293339807593e-28,1.441388980412127e-25,53.78491059230856,57.19902010643104,True,True,2,False,True,3
VAMP7,5.218781368197126,0.41717473461578963,11.197052022070231,6.049566160789381e-28,6.22535943628526e-25,52.19800055897327,55.73599614339859,True,True,2,True,False,2
LRRC17,6.295414026423049,1.4433873124814929,11.119204697449726,1.3527393663351083e-27,1.3023207007942088e-24,51.52611653923427,54.99789440442698,True,True,2,False,False,2
MAGED4B,5.196469831099419,0.42336514641379724,11.114877374620097,1.4144331379381485e-27,1.3023207007942088e-24,51.37386562380402,54.99789440442698,True,True,2,False,False,2
MAGED4,5.167173493079314,0.43476307328605235,10.913455036623951,1.1097294383054791e-26,9.706803396858026e-24,49.37782689412461,52.98921521108116,True,True,2,False,False,2
FBN2,7.1090234871504325,1.2504821822984586,10.67388549445711,1.2347950269890583e-25,9.818865546430266e-23,47.14138597216075,50.67515154797361,True,True,2,False,True,3
NOMO3,4.893623828011276,2.737167833088491,10.495296061968535,7.227856950003966e-25,5.2685053951403905e-22,45.42691669433458,48.99512532977481,True,True,2,True,True,3
DCBLD2,6.119168336061788,2.6429681773066034,10.137883305490584,2.3020734859565023e-23,1.5489412908970403e-20,42.06723510257344,45.614130200457524,True,True,2,True,True,3
COL7A1,5.803557989342333,1.692184980065762,10.112239876886617,2.9394924507980785e-23,1.9045733679356145e-20,41.83118455376463,45.40744383022323,True,True,2,False,True,3
NPTX1,6.037382147606048,0.9369054875465392,9.896691894967724,2.2466175425992358e-22,1.4036545460796799e-19,39.85494935990758,43.410037541359266,True,True,2,False,True,3
UCHL1,7.497427937874706,2.1404212596296457,9.881801074713254,2.5819635851669254e-22,1.557547274445179e-19,39.72441558301672,43.30600444289424,True,True,2,False,False,2
COL5A1,7.404977865980516,2.1697221253806145,9.80859078296815,5.103644097222484e-22,2.976104994560338e-19,39.063510388151755,42.65850137010814,True,True,2,False,True,3
DKK3,8.87562641776962,2.6708913941043897,9.785289557461239,6.333951343146352e-22,3.5743917676452353e-19,38.852246822527654,42.4753217401399,True,True,2,False,True,3
