,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
CD99,7.230845641494613,0.29170643221369535,18.478977228475415,1.8087732714240685e-68,3.2154562446105666e-64,143.52341141268175,146.1974766927659,True,True,2,True,False,2
CEMIP,10.592504758596652,1.290875348044032,16.458256321922796,8.005324464478354e-56,7.115532650251584e-52,114.98733563787714,117.77214474394972,True,True,2,False,False,2
GREM1,9.757255488149298,2.170725146239067,15.716421619491253,2.0017743842910603e-51,8.896385807385545e-48,105.10103734673437,108.3384393585104,True,True,2,False,True,3
LOXL2,9.85312783417604,1.9312946247163756,15.5758838898333,1.3146770478046374e-50,4.674202775764608e-47,103.26893904338006,106.67944075176948,True,True,2,False,False,2
OXTR,8.84878727117735,0.8363898645974593,15.263231378268278,8.29431558617844e-49,2.1064006882213445e-45,99.2637172506952,102.87134852880344,True,True,2,False,False,2
PSG5,5.82015437853708,0.2882969650328067,14.50058748951798,1.583095296717127e-44,3.126965009971152e-41,89.52735377331445,93.26592592399064,True,True,2,False,True,3
HAPLN1,7.899736233215448,0.52112620248378,13.44725857407782,6.988699115289254e-39,1.1294373106590642e-35,76.96634489150138,80.46875870125717,True,True,2,False,False,2
COL5A1,9.683460450326713,2.0109504529472777,13.060461109619835,6.85565012875703e-37,9.374837872224132e-34,72.45638275082997,76.04986388372004,True,True,2,False,True,3
VAMP7,5.258348834090928,0.252663430102889,12.80650183224412,1.3159298117444473e-35,1.559552284225403e-32,69.42810702013847,73.23832419303103,True,True,2,True,False,2
PAPPA,8.979780748960877,1.756078176324913,12.478067837038841,5.616363675185716e-34,5.34449656515362e-31,65.92793233746629,69.70407053077183,True,True,2,False,False,2
ADAMTS12,8.344675883499034,0.9027495457435846,12.476572366852878,5.712180611909703e-34,5.34449656515362e-31,65.92160719493376,69.70407053077183,True,True,2,False,False,2
FOXE1,6.068390163299806,0.4432524643199534,12.46565680271725,6.462568060314641e-34,5.744253620410669e-31,65.76878795361958,69.63193789807303,True,True,2,False,False,2
ITGA11,6.988349378286193,1.3272052780606587,12.376750668876365,1.7604185629018874e-33,1.4902362282241358e-30,64.83043148862457,68.67861813999822,True,True,2,True,True,3
KRT34,5.819444112306246,0.3415003099350255,12.37138239450767,1.8698881739567946e-33,1.510954639474088e-30,64.6981434815641,68.66481112718384,True,True,2,False,False,2
FLNC,9.430447633567482,1.5709071834484682,12.279763675400432,5.2187653675994236e-33,3.86558299749229e-30,63.75178795289545,67.72544027892637,True,True,2,False,False,2
ANKRD1,9.560463230917147,0.8123865792441719,11.95805258567296,1.8274225890673052e-31,1.2031885691055363e-28,60.292498828199776,64.28740743007593,True,True,2,False,False,2
CDH2,8.434680263902557,1.1007118578560302,11.78993630323786,1.1369214060709519e-30,6.969328219214935e-28,58.5136599063851,62.53086376545408,True,True,2,True,True,3
CPA4,6.994856829584687,0.6090680828149674,11.783714751875952,1.2160079962886623e-30,7.205658050007851e-28,58.463205731386594,62.497516046143204,True,True,2,False,False,2
LOX,9.601863319698031,1.9970531407616643,11.724909252801035,2.292837289400443e-30,1.3148312417313444e-27,57.81435027115671,61.89608918672908,True,True,2,False,True,3
STC2,8.115411742394679,1.2516168709191593,11.666579478292999,4.2902260965590824e-30,2.383354666204088e-27,57.21948348841727,61.301288491986625,True,True,2,False,False,2
THBS2,10.042558824947498,1.4368718452193678,11.652729972475111,4.976525888898601e-30,2.6808394159681948e-27,57.06107729946796,61.18366755044451,True,True,2,False,True,3
GPR176,7.503595010540881,1.1827320253652955,11.63945457411418,5.736441843199813e-30,2.9993154896047964e-27,56.939801839293274,61.07141341833762,True,True,2,False,True,3
COL5A2,9.715704107578283,2.024609861033157,11.596686551744995,9.058988406738322e-30,4.60118962590249e-27,56.474094805059195,60.643482626452474,True,True,2,False,True,3
LRRC17,6.648089037144272,1.280109858985093,11.5585482809332,1.3599876724117983e-29,6.71569468124015e-27,56.10535064478083,60.26535023405696,True,True,2,False,False,2
RAB3B,6.592633039446905,1.457181845546389,11.495220212521824,2.663740269139058e-29,1.2461397569601324e-26,55.44846947142193,59.647161839275405,True,True,2,False,False,2
