,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
CD99,7.654814477451891,0.4574204398777207,17.022326519776552,2.9167103177208897e-59,5.1024930298209244e-55,122.52473035782275,125.01245086500374,True,True,2,True,False,2
CEMIP,9.764933495289034,1.4541610018236144,15.228219547111348,1.3073133522932388e-48,1.1435069892508959e-44,98.63609866097305,101.17964424511955,True,True,2,False,False,2
FGF5,6.8257425581397975,0.5091734356244025,14.898034320885458,9.686592607317678e-47,5.6485750357471814e-43,94.44402171331161,97.27975569145735,True,True,2,False,False,2
GREM1,9.09199240761085,2.3339235805632503,14.408902832342536,5.028705872749728e-44,2.1993045134470937e-40,88.35081981898274,91.31526253962858,True,True,2,False,True,3
TNFRSF11B,9.916759809695634,1.663254281511596,13.774244005659854,1.3322532705191926e-40,4.661287742892551e-37,80.67451462203286,83.6563566911404,True,True,2,False,True,3
ADAMTS19,6.480885519147307,0.5656318508089067,13.602859296306638,1.0693428699789866e-39,2.6724405953446275e-36,78.6428469373792,81.91007121223738,True,True,2,False,False,2
TRPA1,8.075742652367174,0.8319641370312646,13.429945894636685,8.570346037448878e-39,1.8741204197391335e-35,76.62603376816728,79.96233881490797,True,True,2,False,False,2
STC2,9.019025397061508,1.4177908492954785,13.18072265451129,1.6603755722995562e-37,3.2274011402009375e-34,73.74455406785628,77.11621594898473,True,True,2,False,False,2
MMP1,10.135110115036746,1.4544236089703453,13.0568558486414,7.129434188012339e-37,1.2472232168508785e-33,72.318042387626,75.76438841503663,True,True,2,False,False,2
GALNT5,9.409193784319276,1.8760648403146896,12.824765936759475,1.0625359057089926e-35,1.6898184667702832e-32,69.69137096787527,73.15810186875626,True,True,2,True,True,3
CHRM2,6.783622345871278,0.5969014245568185,12.524478970909763,3.310962082270283e-34,4.826830888936361e-31,66.34689736063777,69.80594776115386,True,True,2,False,False,2
DCBLD2,7.36483086332842,2.645621729740968,12.240016076278904,8.110967580573851e-33,1.0914866681119919e-29,63.236469064495516,66.68742701417533,True,True,2,True,True,3
PSG4,5.931698298641913,0.6019633282319765,11.998534390313827,1.1704130567675668e-31,1.4625147153637012e-28,60.601356596388,64.09222524197288,True,True,2,False,True,3
NOMO3,5.559698550761519,2.738588243572287,11.910092047200326,3.078125071207652e-31,3.3655449997316665e-28,59.694488907706734,63.25879269256363,True,True,2,True,True,3
SVEP1,9.56858268657836,1.4483169570095198,11.708870577322877,2.7189679667471736e-30,2.797977977075003e-27,57.579492466198204,61.14090050557939,True,True,2,False,False,2
RAB3B,7.104073549474721,1.624019430135555,11.611351668498779,7.730927010776188e-30,7.51360206258437e-27,56.56066432658445,60.15308252455428,True,True,2,False,False,2
PDE5A,8.550742303361645,2.9523094318229566,11.603973324605082,8.364560840029192e-30,7.701559333445826e-27,56.48375263088853,60.12837469164503,True,True,2,False,False,2
PTP4A1,5.919587638758061,0.839101885794255,11.420226070721839,5.871140160088146e-29,4.8909393314562867e-26,54.5757889943346,58.27982804048342,True,True,2,False,False,2
VAMP7,5.222128926548107,0.41718501799667645,11.207646155684749,5.420100130168873e-28,4.309965076235194e-25,52.32433154160767,56.103697523729984,True,True,2,True,False,2
LRRC17,6.2305842694759646,1.4432525923808786,11.014670105042132,3.956865113040002e-27,3.0096260125009476e-24,50.49855761388699,54.16022640915433,True,True,2,False,False,2
THY1,8.788736983988493,1.7577231982251844,10.882725909569665,1.515346511390319e-26,1.1045613279275933e-23,49.1957199743123,52.86000887101487,True,True,2,True,True,3
COL11A1,6.0585298055609,0.7160335180834093,10.841588119863124,2.2968844396621285e-26,1.607267855497971e-23,48.77588320243815,52.484921385538094,True,True,2,False,True,3
GDF6,5.452637140937969,0.6912866652752202,10.709984988679807,8.613081748405572e-26,5.580638966911374e-23,47.457770790381645,51.24015385882645,True,True,2,False,False,2
COL12A1,9.154011883232686,1.9122667573906298,10.686952231940449,1.0839797237017257e-25,6.772550459442139e-23,47.28276125563752,51.04657939327624,True,True,2,False,True,3
FLNC,8.368094762686134,1.7335584729130469,10.53738365501908,4.776733942190717e-25,2.6956188253124004e-22,45.84368684160673,49.66524424808466,True,True,2,False,False,2
WNT16,6.259169262118848,0.786871023602216,10.471405698708365,9.137888154338755e-25,4.995569230375068e-22,45.20917702178723,49.04832068022639,True,True,2,False,False,2
MAGED4B,4.949225206286801,0.4228425835745029,10.418816563363391,1.5287246151520248e-24,7.921289482618834e-22,44.60485214312992,48.58731803983337,True,True,2,False,False,2
DKK3,9.330821327708641,2.671863162131154,10.262237786347233,6.984279453873337e-24,3.490942421887433e-21,43.23301150126461,47.104115218188724,True,True,2,False,True,3
MAGED4,4.924502111784209,0.4342502696230983,10.239125489104554,8.725675538915075e-24,4.240193552160564e-21,42.91926124966677,46.90967803557851,True,True,2,False,False,2
BDNF,6.061866333492673,0.9565281666822986,10.178978339531538,1.554276798255866e-23,7.34878873207787e-21,42.457095039253566,46.359751451587705,True,True,2,False,True,3
PAMR1,6.771299556630499,0.9967443791609495,10.170464454365458,1.6862364800530433e-23,7.762900258433668e-21,42.38188516423463,46.30493094386145,True,True,2,False,False,2
