,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
SLC38A11,8.863339091910909,-0.4329997871738699,13.770763234670369,6.307216160677333e-40,1.1173233428639896e-35,78.52133356222788,80.4795423022307,True,True,2,False,False,2
MMP3,10.341889417119317,-0.7560706762142391,12.931138613187475,1.0304301500854462e-35,9.127035054381839e-32,69.34640496786497,71.4714820815478,True,True,2,False,False,2
ACKR4,7.526513877775897,0.24293779454343925,12.578936637144167,5.287820808449687e-34,3.1224581873895402e-30,65.2867718026115,67.93893221764138,True,True,2,False,False,2
KRT34,8.973915587976705,-1.3593998417450244,12.294353440715204,1.2014850882755302e-32,5.321077084700254e-29,62.256566479352,65.10329195443582,True,True,2,False,False,2
OXTR,7.171893919323523,2.4390072220495136,12.0820824755922,1.1923202299012045e-31,4.173344047469745e-28,60.314868116256775,63.04366495954765,True,True,2,False,False,2
RSPO1,8.428467321702234,-1.4556017852388359,12.066231570740795,1.4134950203115142e-31,4.173344047469745e-28,59.781270674738735,63.04366495954765,True,True,2,False,False,2
SYPL2,8.377039360999742,-0.18823325749345543,11.504989672122804,5.239749631427017e-29,1.3260309245818516e-25,54.2860571281339,57.28243711165365,True,True,2,False,False,2
MKX,8.250409799947185,-0.38610299443592944,11.116001710761823,2.7822445010231937e-27,6.1609326669532345e-24,50.4295776432308,53.44381405879962,True,True,2,False,False,2
PGAM4,7.874728279353107,-1.6190923116591507,11.092497280080902,3.52492385144733e-27,6.938225114265494e-24,49.956304652872596,53.32499623727127,True,True,2,False,False,2
LOXL4,7.920067974774776,1.7124799415340262,11.06249093777267,4.7651974795268965e-27,8.441547334981897e-24,50.09129251964926,53.12887660652411,True,True,2,False,True,3
PSG5,8.094361544122323,0.34206014293849063,10.895631897333706,2.518097443064559e-26,4.0552814730807876e-23,48.375040873988496,51.559437039874666,True,True,2,False,True,3
KRTAP1-5,8.308234831005176,-1.5565584744507148,10.871362139252298,3.2026570176391247e-26,4.727922422289758e-23,47.937280436778785,51.405971267039014,True,True,2,False,False,2
TNFRSF11B,8.311612639026343,1.609567153034776,10.734215897444153,1.236556628931008e-25,1.6850462062702156e-22,46.970611668284846,50.135079060321836,True,True,2,False,True,3
ADAM33,7.626702364203686,0.8058441765551917,10.521416738350855,9.79076680766164e-25,1.2388816714123284e-21,44.85548496347101,48.14007785808786,True,True,2,True,False,2
CEMIP,8.297232323757246,2.877419724568597,10.325437267406746,6.3920065437286745e-24,7.548959728143565e-21,43.236305029280544,46.332877183459004,True,True,2,False,False,2
