,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
TRPA1,10.209753617967667,0.3828238611474856,14.426985425652228,2.394179309449605e-43,4.241288646689975e-39,86.47252492669021,88.35595147759398,True,True,2,False,False,2
CHRM2,9.496312261193179,-0.8144487428455713,12.51390885233043,1.0845530936501874e-33,9.606429027006535e-30,64.7163679574347,66.8151202251769,True,True,2,False,False,2
RIPOR3,6.620203273801458,1.8079316648365413,11.904444344394262,7.950572478060446e-31,4.694813048294693e-27,58.33218170346263,60.62333921829137,True,True,2,False,False,2
WNT16,7.883291194359905,-1.0177485560192792,11.519579460600186,4.5052043330151415e-29,1.9952423689840807e-25,54.22827575124096,56.873861793675836,True,True,2,False,False,2
ITGA8,7.616925321837973,0.9521934703797426,11.33093146695845,3.139931037360968e-28,1.112477566536991e-24,52.59726538422721,55.155452661912726,True,True,2,True,True,3
RSPO1,8.016450838572364,-1.456576036801257,11.25058678833366,7.124563098651611e-28,2.1035272548768883e-24,51.53194550181982,54.51842665097466,True,True,2,False,False,2
ADAMTS8,7.493481308767621,-0.7688849736845165,11.081415534898257,3.9403673416337214e-27,9.971943922434483e-24,49.92738490767407,52.96226668971396,True,True,2,False,False,2
TNFSF4,6.406877969483249,1.416931781607867,10.746916958518504,1.0917613374210238e-25,2.4175690115516797e-22,46.89095260518668,49.774109551270676,True,True,2,True,True,3
TNFRSF11B,8.253751855950277,1.6095658612719597,10.659707177986215,2.56140444664869e-25,4.688335052674078e-22,46.25487046244271,49.111794525867865,True,True,2,False,True,3
NPTX1,8.049483501587932,1.0677947392997704,10.656352241369293,2.6465340404595415e-25,4.688335052674078e-22,46.16485933819333,49.111794525867865,True,True,2,False,True,3
FKBP1C,7.478542821112928,-1.1289117565127398,10.112499029863733,4.7527612254099485e-23,7.654105918921567e-20,40.88929207831009,44.01645963459824,True,True,2,False,False,2
COLEC10,7.426031460004561,-1.4166385338296368,10.091574913598015,5.77790172711539e-23,8.529627424654095e-20,40.64699335549183,43.908156177566404,True,True,2,False,True,3
CCDC68,6.732302469561113,1.27431378066856,10.024421883479494,1.07903799801303e-22,1.4703967796000633e-19,40.29190843560921,43.363584484422276,True,True,2,False,False,2
SLC16A6,5.81086425490626,2.1623756145958386,9.937812228649308,2.4028146114318693e-22,3.0404186315368262e-19,39.51906855102186,42.6371215532072,True,True,2,False,False,2
FOXF1,8.187978780643189,-0.3915726149388522,9.804880151696139,8.120100880368809e-22,9.589839139715563e-19,38.33696334904657,41.48841265188449,True,True,2,False,False,2
PDE5A,6.173282041534191,4.088695649826071,9.661118166003133,2.9847445499154456e-21,3.3046718563595075e-18,37.244434844146994,40.251194492550376,True,True,2,False,False,2
PGAM4,7.139553306555566,-1.6209541020163416,9.57525788226213,6.4457398257631916e-21,6.716840059611467e-18,36.073420596524905,39.54191385917468,True,True,2,False,False,2
DLL4,6.170761492114804,0.23907368573833632,8.82659688018801,4.160526309722371e-18,4.0946513098184336e-15,30.05320038646829,33.12909483145863,True,True,2,True,False,2
PAMR1,7.857919518529819,1.0420952658415679,8.69847104322059,1.2043388790899926e-17,1.1228875391094326e-14,29.19565845248844,32.12028777444354,True,True,2,False,False,2
