,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ZNF805,3.998808534823953,2.1025524124001937,8.170578913126676,8.358336263835069e-16,3.764803611637911e-13,25.041846930342274,28.607910510614754,True,True,2,False,False,2
PDCD1LG2,6.272107530778349,0.7087745152023417,8.136958062969521,1.086515655062335e-15,4.774573794453193e-13,24.848010894377822,28.370301496679744,True,True,2,True,True,3
MYOCD,6.74644696360602,-0.6548259278236144,8.113845804022846,1.3005061026820234e-15,5.578861536195718e-13,24.61866346270853,28.21462147911684,True,True,2,False,False,2
MGARP,6.519963671499673,-0.14545498396442424,8.104503475139246,1.3983565982796915e-15,5.859114146791907e-13,24.57135799700649,28.165607786250366,True,True,2,True,False,2
LOXL4,5.9648973533198495,1.6189637725944699,8.056111160940272,2.0338271452180856e-15,8.328059926225966e-13,24.27305410178599,27.813975681883417,True,True,2,False,True,3
HAPLN1,7.411450097334112,-0.38430619551582135,7.909223704807307,6.266311462071796e-15,2.4543507306988596e-12,23.174796896091635,26.733158857807037,True,True,2,False,False,2
CPA4,6.302437557673458,1.9513574258378459,7.894777635315319,6.992870676615634e-15,2.6806500208634866e-12,23.108637073278327,26.644961805716775,True,True,2,False,False,2
PAMR1,6.935108805155586,0.9497251878001539,7.849277846635724,9.867870904932769e-15,3.7039464602952855e-12,22.76974625886195,26.32162225381299,True,True,2,False,False,2
ANGPTL4,5.738724653030046,2.6782575669655673,7.807038863366983,1.3564496036443278e-14,4.9062530692833485e-12,22.47746916847356,26.040510587793747,True,True,2,False,True,3
PTCHD4,5.3336297862720965,0.9336130448049884,7.806538258515042,1.3615621549878862e-14,4.9062530692833485e-12,22.396117031988517,26.040510587793747,True,True,2,False,False,2
CCDC68,5.333781853569352,1.1806529331039062,7.759231712897368,1.9409812147516335e-14,6.725126643496188e-12,22.07292618594441,25.725170358871317,True,True,2,False,False,2
KIRREL3,4.7743555049780735,1.9651794491772718,7.742735708789733,2.1954607444388513e-14,7.463323817463166e-12,21.965404647677182,25.621020249002907,True,True,2,True,False,2
SUCNR1,6.51343081675474,-0.9101789747599777,7.687211239248537,3.318125689645127e-14,1.1070864916728935e-11,21.496850436888224,25.22670424066762,True,True,2,False,True,3
FOXF1,6.563698487402836,-0.4842166792209512,7.678624774420707,3.536150906901444e-14,1.1583787434480603e-11,21.474875936960764,25.18141463037753,True,True,2,False,False,2
TMEM178B,6.259092885171057,1.4376673525961676,7.567202012497311,8.030533382497261e-14,2.5836807134366634e-11,20.759418713979606,24.37922100756018,True,True,2,False,False,2
IL1B,7.1063129450148175,1.1588399806226568,7.561912641867343,8.347219281849943e-14,2.6384535052822876e-11,20.733866281399017,24.35824307087398,True,True,2,False,False,2
