,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1
MYL12A,1.1341920154268745,11.352864422590105,4.787588793825674,2.6510153670216128e-05,0.005158697170241916,2.451037180541909,5.267071217755945,True,True,2
SEZ6L,2.137814190677398,1.2835800301432456,4.779613662996222,2.7170227269166474e-05,0.005158697170241916,1.7717227538582554,5.267071217755945,True,True,2
INTU,0.8235650997336776,4.804844346508213,4.715431335062279,3.3108401569651964e-05,0.005661843227684279,2.3070140231185308,5.174005781180836,True,True,2
GPA33,2.1610675480450516,1.4236397146632016,4.708552085585984,3.381636589746339e-05,0.005729857447341755,1.6034372249626978,5.162064626864827,True,True,2
RUNDC3A,2.0658080010457036,-0.2542813317925827,4.675864735817583,3.7389861513484416e-05,0.006221201372004897,1.651953905317531,5.0797922442568755,True,True,2
MMP24,1.806099452737381,-0.8219542289539715,4.671988156561752,3.783763886371288e-05,0.00623949421583851,1.725601283531427,5.076856155040032,True,True,2
COPS7B,0.8956492365317583,5.487758800163845,4.648394203383374,4.0679294734409324e-05,0.006366999105506829,2.103671553818196,5.056627018436213,True,True,2
FOXS1,1.5242916297118427,2.5489839435486883,4.533850268430596,5.775621891842305e-05,0.008268989203134536,1.4212653618452205,4.79524300194685,True,True,2
ACSM3,1.1938628625513354,3.154195271807025,4.522506481049758,5.979034659397279e-05,0.008368667725456531,1.5867265217978694,4.7832605797358925,True,True,2
DAPK3,0.7991245001938285,6.498137779628722,4.514530926256945,6.126255025897308e-05,0.00845604116018051,1.6872722610191557,4.7728741628550315,True,True,2
THBS4,1.278971925111465,8.332300394130296,4.504719323545742,6.31226804345569e-05,0.008595781267215023,1.6375317491283141,4.756483746405682,True,True,2
ADAMTSL5,0.9974735639445536,6.492784569720572,4.414917196783822,8.294418315987718e-05,0.010012392933201122,1.4059478299254513,4.6039316599580795,True,True,2
DLK2,2.489276880962205,1.5614999460554957,4.373944426844778,9.391027260563949e-05,0.010900734989307192,0.8696953727592618,4.518925061808685,True,True,2
MAFK,0.8130386802236229,7.093887749224799,4.36394315375203,9.679615691584992e-05,0.011035475131311033,1.244976150109923,4.506640183443576,True,True,2
TMEM253,2.0456940173438087,-0.5380656037559214,4.347596911083308,0.00010170134711169133,0.011133599518333844,0.9230031093946183,4.497787759121023,True,True,2
ANKRD1,0.8896698747470566,12.242409474815316,4.343569174805006,0.00010294696591900065,0.011133599518333844,1.1676182413502207,4.497787759121023,True,True,2
ZNF546,0.8135948191445079,3.9329383788258747,4.3074117015497615,0.000114820494824289,0.011781220660609963,1.1640555145406735,4.441248484683058,True,True,2
ARMS2,2.321770629537733,0.16842673981402587,4.301097969588655,0.00011702726754580126,0.011941307206096152,0.7690825988458432,4.427751695762732,True,True,2
LEFTY2,1.716276018973292,0.6349925868638643,4.209347612423803,0.0001541964159930272,0.01382453207269524,0.4682955367174033,4.2813105786062,True,True,2
TNNT3,0.930214854705901,5.733119023631244,4.150593194264885,0.00018382985456502415,0.015574099008997389,0.690024372677005,4.162146064521405,True,True,2
CLEC11A,1.3641953620693268,2.117104642577494,4.145453205673844,0.0001866725322730133,0.015691937596116833,0.4255176085302832,4.15460822743876,True,True,2
DOK7,1.0172455014978645,5.294279720413695,4.12360254012476,0.0001992440404356398,0.016139641152657154,0.6417461562573079,4.126476849804034,True,True,2
APLP1,1.0519686441162772,4.7957322792720705,4.117135565101454,0.00020312078307654425,0.016287293424765193,0.6495993641067219,4.117370019665161,True,True,2
ANKRD24,1.9608179482685437,0.14539207781885075,4.116159236339331,0.0002037124252055206,0.016287293424765193,0.31002147160274074,4.117370019665161,True,True,2
EGLN3,0.8696230702850647,7.498303868628606,4.038009327307271,0.0002569462733312799,0.01868323118958822,0.32215324357475517,3.980128885252024,True,True,2
PAFAH2,1.0273828705365284,5.506051703453111,4.0308246221058655,0.0002624719180134769,0.01893591349137072,0.37526102168721653,3.9666949752551863,True,True,2
SLC16A9,1.662853813178189,3.4221194947380216,3.9722562186316193,0.00031204872488554557,0.021266523615908268,0.20718980305283363,3.8506211038468154,True,True,2
ELN,1.2049146270152429,6.018332858804283,3.9657346888181686,0.00031810323857643533,0.021337717550696647,0.17516856893206345,3.8472789952159956,True,True,2
FAM181B,1.7394179823740288,-1.4843090210502323,3.9387652383070737,0.00034437804339597193,0.022161387050453677,0.06690356146721932,3.8094038265323866,True,True,2
POMC,1.7235694352769868,1.213192726690715,3.920809043936935,0.00036302987626821945,0.02296163967396488,-0.19857887634440452,3.7739302957093637,True,True,2
CENPA,3.744817913348875,1.401186152376268,3.904462891161351,0.00038086069564582313,0.02376390604014428,-0.0875662035610194,3.7395874023702054,True,True,2
ST8SIA2,1.0839773107587107,4.299012807114015,3.8632989696894082,0.00042961611464976436,0.025546916434067278,-0.008534290014806878,3.6672386571277915,True,True,2
PTGDR2,1.4030799664675906,2.9742154328585766,3.860681265217903,0.00043291356715884945,0.025546916434067278,-0.10189741910983052,3.6672386571277915,True,True,2
AEBP1,0.9954186415058226,6.373725284112541,3.8526079331754275,0.00044323878851252387,0.02582390279191736,-0.15677819026954776,3.6564547511551933,True,True,2
ZNF775,1.3678333707735815,0.7665493839329259,3.8483696937887744,0.0004487544615919567,0.025981335896996388,-0.36406713507329247,3.650376848853944,True,True,2
IGFBP2,0.9421570044951428,5.382614147725849,3.8468671449675984,0.00045072583508219276,0.02601392327541568,-0.118476491829413,3.6491233737023725,True,True,2
ACTBL2,1.4289691883642122,-0.3731557041403396,3.8387702061977143,0.0004614946833564842,0.02606527616792326,-0.3136568258573371,3.647151265463383,True,True,2
EME1,1.802557050711686,0.027454527162881305,3.8369083477585506,0.00046400600959813873,0.0261057646041255,-0.3239922843487948,3.6455991229823583,True,True,2
SEZ6L2,1.7049500186703024,-0.12405196745898954,3.819211957780622,0.0004885466960118808,0.02693026558746168,-0.36159237194694427,3.6145045100660913,True,True,2
SERPINE2,1.000769037812014,5.495155924821823,3.8071987560592806,0.0005059184655284275,0.02748178864660155,-0.23011141317500883,3.594231724714108,True,True,2
STKLD1,1.4541159639226793,-1.0464895166698984,3.7892238768684297,0.0005330342078981219,0.02827217452899956,-0.348091367365746,3.565877190213623,True,True,2
HRK,1.7765273943567215,-0.1524780016760714,3.7795136349824108,0.0005482628945141755,0.028642468881367927,-0.4432834569819839,3.5528647366466624,True,True,2
SLC16A6,1.6016806782263255,-0.6986674857002292,3.7087468948097255,0.0006726912242312813,0.03235399536543629,-0.558414408293177,3.431017761320108,True,True,2
PDE4C,1.2289161205297883,3.7195938190674336,3.663703886557468,0.0007656716621618152,0.03491651834189276,-0.5134662961969703,3.3547952568219075,True,True,2
HSPB1,1.0994858027061927,10.52614788297418,3.6494305574266677,0.0007976417537923393,0.03575642123978329,-0.7552160536332604,3.3310254108721478,True,True,2
C16orf89,1.1076036455949492,3.447455984221688,3.642744611845013,0.0008130566813384304,0.036183961078649324,-0.5713469185734796,3.3191393224580326,True,True,2
SMOC2,1.12403667186015,6.324131158351245,3.6223325528242145,0.0008619168062144109,0.03754420163673102,-0.7676002123028676,3.282236329826544,True,True,2
ADAM20,1.1726140591019711,-0.47200505393007325,3.6056741561455414,0.0009038784643911891,0.0386428966639835,-0.8297774404037881,3.2533923070235833,True,True,2
ACE2,0.9757083787975205,5.053104695478337,3.586975175145713,0.0009533255929083308,0.039494274492693514,-0.7783762829700436,3.2315995671333253,True,True,2
SARDH,1.3410856097159052,0.35829716563267766,3.574741954683187,0.0009870738290658958,0.039978654712758833,-0.9386548820427869,3.2194095994815553,True,True,2
DBF4B,1.4854277069237591,3.328261974016328,3.566166713712384,0.0010114133284474488,0.04007175613696383,-0.7736964978442735,3.217083528567124,True,True,2
BMAL1,1.1021528383029864,4.198983157621061,3.5281990620379884,0.0011262937519975612,0.042713592003373636,-0.8594913233183474,3.1532380955023402,True,True,2
CPT1C,1.2413912560344271,1.7243445341751478,3.5270949094441884,0.0011298156102121978,0.04275935349387106,-1.0084747480726417,3.1521673123532716,True,True,2
COLQ,1.5720058312117278,5.804387695454759,3.5142390669242665,0.001171608259458355,0.0432948918156341,-0.9950582629616225,3.1397206228582375,True,True,2
DOC2A,1.6682989815169293,0.07940886138643058,3.5127756897299363,0.0011764586227975182,0.0432948918156341,-1.043125155778287,3.1397206228582375,True,True,2
C5orf46,1.1923112430497635,4.456659182160465,3.512677534002146,0.0011767846494909477,0.0432948918156341,-0.9104657302921959,3.1397206228582375,True,True,2
C1QTNF9,1.7016996064569287,1.076637338023917,3.4950062770570356,0.0012369163748473823,0.04479335005305157,-1.1106132770727575,3.105695586894771,True,True,2
THY1,2.0354570154603286,3.2565615861477344,3.492891939924277,0.0012443056562081235,0.044922022374816684,-0.9722260415139905,3.102827128424168,True,True,2
LGALS4,2.305488357363486,0.8234998610013216,3.492598622298379,0.0012453340979969756,0.044922022374816684,-1.0780201970632568,3.102827128424168,True,True,2
TPM3,1.1007432261454246,6.835608647086469,3.4901859723287147,0.0012538244490135151,0.04514012426672634,-1.1363492006047835,3.0979837546783635,True,True,2
HSPA2,1.2564936835418772,4.939635488736243,3.482835154012111,0.00128003667747191,0.04581588642679981,-1.0200968167037088,3.083124382791859,True,True,2
DEFB124,1.1814423077673046,-1.848942415493742,3.4758541030009176,0.0013054167826955705,0.04635818756063757,-1.009407783397175,3.0713573561704632,True,True,2
LCN12,1.40485174425663,2.2488303960978273,3.4507216346561225,0.0014008459253254317,0.04791152480525073,-1.126454452896903,3.038399202142905,True,True,2
