,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1
TNFRSF12A,2.1959321648927395,6.034241501731448,6.991044885566879,2.7391580665364093e-08,0.00012647377582715235,8.87320834067951,8.97547557700171,True,True,2
MFAP5,1.332450917438635,6.288537589245386,6.162509088567946,3.614948828620158e-07,0.0004758981254078007,6.529505212141502,7.6503067488914045,True,True,2
ALKAL2,2.9884393216335576,0.4553721525116192,6.128816172557597,4.017370770086281e-07,0.0004758981254078007,5.167790962188413,7.6503067488914045,True,True,2
NPPA,4.231597733895684,8.39943987446033,6.101202601362761,4.380458136300077e-07,0.0004758981254078007,6.349497849748278,7.6503067488914045,True,True,2
IFT43,1.0217231826042639,5.19013150172549,6.011358181715421,5.805375726203124e-07,0.0005360974214362275,6.049126678250657,7.531194656998295,True,True,2
FGF1,0.5920794321935459,6.516651964714954,5.934171802231002,7.395246872819787e-07,0.0006503943547338507,5.859232161615961,7.337931679451843,True,True,2
UBAC2,0.6030717528643477,5.8190280998184205,5.870836213393058,9.020483946623697e-07,0.0007109546572913336,5.669086726292739,7.248901903343244,True,True,2
ARVCF,1.1559873198546917,5.514615020680854,5.850203242996166,9.62362143715596e-07,0.0007109546572913336,5.5938181457706015,7.248901903343244,True,True,2
SYNPO2L,0.9067148296006877,9.403905785595844,5.68932909316459,1.5940095446059835e-06,0.0010903615659010337,5.125351253484204,6.821245925909482,True,True,2
NPPB,4.256444685743153,7.345309116119267,5.597550818352861,2.1255401830701902e-06,0.0013085533880374447,4.840238946578545,6.638833035880713,True,True,2
PLCE1,1.0906211769475185,5.8466722509125875,5.570630851231325,2.312677289072319e-06,0.0013778334468347309,4.78247610863713,6.587242979562932,True,True,2
WDR54,1.4221038312139016,1.9619041219672688,5.4259350907886486,3.638700876991607e-06,0.0017582475942520286,3.369856430844841,6.343437651039827,True,True,2
IGFBP3,0.8854801996431947,7.338148737735085,5.3733115783950405,4.289981675515708e-06,0.0019218175336933238,4.190098421539945,6.254483908584142,True,True,2
NOL3,0.6723870579165103,6.511831610017544,5.302062919508276,5.3603428343287465e-06,0.0023023295769120378,3.9846585958738476,6.0738338091161745,True,True,2
CREB5,0.9230000230873872,5.925080733782836,5.271387802587941,5.899414939510806e-06,0.0024212509892850014,3.902687003108759,6.023470934658742,True,True,2
GAB3,0.9790199856010346,6.92165215367253,5.182281172378565,7.790615313361869e-06,0.002767016811970776,3.628512585647515,5.889985502311897,True,True,2
FSTL3,1.3469872017089006,6.761346910799241,5.161704398758759,8.30671699226554e-06,0.0028410510394472643,3.5728558729670565,5.863581210960914,True,True,2
GABPB2,0.7527769004967926,5.501982660714864,5.090103363492383,1.0381748442621179e-05,0.003092588903012428,3.376398317754468,5.778746706168265,True,True,2
CYP2J2,0.909762544982585,8.110073230031613,5.044358765132001,1.1968974070047213e-05,0.0033123116229924407,3.2121490574129163,5.710108957817456,True,True,2
LTBP2,1.1485070606930385,6.975747416930138,4.861632156400731,2.1091407311429514e-05,0.004529502344590601,2.687428515860569,5.397143203228263,True,True,2
RPS6KL1,0.8064703977146213,5.190038754357922,4.85009776136268,2.1857058732844252e-05,0.004587250201555687,2.6871627763103625,5.384474519060973,True,True,2
