,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1
ALDH18A1,1.2033956797270209,5.604428045185896,14.700434330904777,1.2958960589088138e-17,2.312526517122778e-13,30.037666329798828,29.09526555171999,True,True,2
PTGFRN,1.9065738459554273,6.087847923302273,13.635058755129327,1.5714355935614997e-16,5.608453633420993e-13,27.55704567107813,28.209331172051453,True,True,2
TMEM59L,3.5521370907608514,0.6738879643178024,12.882556306233237,9.90944570706317e-16,2.5262008377506034e-12,24.805623181646578,26.70430458694605,True,True,2
IGFL1,5.279731162278079,-3.1982153151768493,12.762553002133048,1.3375561386254577e-15,2.9835861617214114e-12,23.659403880971926,26.53789512895499,True,True,2
IGFL2,5.838617889871948,-1.568004607195414,12.646332915775478,1.791409560337575e-15,3.1967703604224027e-12,23.923825984886506,26.468880078139073,True,True,2
COL17A1,4.799751071891974,3.153769344322984,12.331199053665287,3.989079969798695e-15,6.4713756419143375e-12,24.176569201172555,25.763632411481954,True,True,2
CXCL14,3.600852563120041,4.2046038508685095,12.144721346663355,6.443636632802403e-15,8.284179804787382e-12,23.873150752097978,25.51667346756227,True,True,2
CRLF1,3.7963110017225294,2.9769188853576125,12.086210743753446,7.496619804517815e-15,8.284179804787382e-12,23.604878460226992,25.51667346756227,True,True,2
TNFRSF21,1.3853609302709433,6.159467373359845,11.974799089540978,1.0012662569739054e-14,9.926442419832968e-12,23.407267711185966,25.33581896794187,True,True,2
SERPINF1,2.13233548220908,7.354472705397515,11.916604899719754,1.1653846192603424e-14,1.0398144265350405e-11,23.248556189600126,25.28939376172682,True,True,2
KRT16,6.484255159389641,-2.1066754547727746,11.468474330026858,3.805011896422951e-14,2.317061764763475e-11,21.170917703834608,24.488136120626148,True,True,2
FHL2,2.327434171630509,4.848476369067556,11.443543969476943,4.066980046575572e-14,2.317061764763475e-11,22.07021704967518,24.488136120626148,True,True,2
SPON1,1.5598228979295472,7.2631584786253285,11.3655816319816,5.010976058715141e-14,2.7097232656900514e-11,21.78657637476206,24.331589509238615,True,True,2
COL5A2,2.1924357397222005,7.597683370788254,11.343919706771809,5.3109221017368725e-14,2.7874530854557203e-11,21.73234907235006,24.303307716619685,True,True,2
COL3A1,3.501035848700793,10.110301378878278,11.237499905592555,7.072727204705172e-14,3.236226076101636e-11,21.48009951460434,24.15402816335357,True,True,2
C1S,1.372530737557092,8.982740054393142,11.09544385137581,1.0390989798172847e-13,4.5226149499608406e-11,21.074268470546393,23.819345667621207,True,True,2
BACE2,1.4002936637990606,5.466223152966264,10.971863268923682,1.4551952522992576e-13,5.645208538539185e-11,20.757958079828683,23.597628883847076,True,True,2
COMP,5.426600626937745,3.314721749986764,10.914618611507768,1.7020213635772708e-13,6.111385901927385e-11,20.57417957189876,23.518282450279244,True,True,2
THBS2,2.725545847214634,6.274524673680521,10.732914798742826,2.806542391419374e-13,9.252506224258747e-11,20.095834551085566,23.10354156494553,True,True,2
IL13RA2,4.23267269548732,1.8243246285560644,10.687228068293287,3.184771520871607e-13,9.836354690205585e-11,19.8193245822248,23.042350838819413,True,True,2
STEAP1,2.70070354467832,3.509531640695111,10.679672787034635,3.2521430469158284e-13,9.836354690205585e-11,20.02695280771318,23.042350838819413,True,True,2
COL15A1,2.4909691572114676,6.104622291458195,10.495725450661752,5.42638773585065e-13,1.4240277815625714e-10,19.438871227209447,22.672361607616704,True,True,2
COL1A1,3.36276419505145,8.987139068777484,10.413288428394601,6.835568115660143e-13,1.7678364206370328e-10,19.197656089051154,22.456094492269575,True,True,2
BMAL2,1.9282234046276723,4.02186412099194,10.282382439159845,9.880458512251929e-13,2.448844196543551e-10,18.934484595305964,22.13023477320877,True,True,2
COL14A1,2.70623335114733,7.289629693804265,10.200017560939118,1.2472245908007548e-12,2.8931940152526874e-10,18.578107522706965,21.963489842505986,True,True,2
CAPN5,1.4936932495031758,4.128685277299474,10.185577961924569,1.2993315852949408e-12,2.9726374537933614e-10,18.655940569442315,21.936401339612356,True,True,2
CFH,1.779143844934155,8.129094111461901,10.149773977973206,1.438287830075025e-12,3.2214455002253223e-10,18.43391012597971,21.856020758002032,True,True,2
ALDH1A3,2.0058105297930355,5.925770079695929,10.125439886127827,1.5412638415892912e-12,3.274268244423917e-10,18.391579782039727,21.83975652263609,True,True,2
EPHB2,1.938633261465312,3.2355636462764323,10.120496807068985,1.5630807425273144e-12,3.28155010004705e-10,18.489282825828155,21.837535027702828,True,True,2
RARRES1,2.0316338014252278,5.722658816065367,10.113740657434908,1.5934083825133837e-12,3.306322393715271e-10,18.3692489208485,21.830014417535956,True,True,2
NGFR,2.8131840826344794,2.3127217646645577,10.104074377432394,1.6378421743521636e-12,3.358740064795604e-10,18.38492067831224,21.814285007003786,True,True,2
LGI2,2.650092747375915,2.713303065191108,10.072889547566426,1.7899628581629846e-12,3.5100974949360947e-10,18.332653824454646,21.77020711651337,True,True,2
FBLIM1,1.624855371376066,5.767138006935894,10.042558589865815,1.9516964365458284e-12,3.7198565471126336e-10,18.153788231410125,21.71216582500309,True,True,2
COL6A3,2.108163209942223,9.438123836649032,10.02095706769812,2.075867562926598e-12,3.8587350687942857e-10,18.089478612528076,21.675511502554777,True,True,2
LYPD1,2.172502684588395,-0.6042405555197562,9.925816771566218,2.725784979433202e-12,4.81600326316688e-10,17.400992624375508,21.453906544366294,True,True,2
FRMD5,2.3267662455812577,-0.5791554586806233,9.920122754713306,2.7706858495511683e-12,4.847342057376528e-10,17.397874199116675,21.447420404620967,True,True,2
CTHRC1,3.355867223761564,4.161779108342771,9.848252245451825,3.4064793390228943e-12,5.497096780443238e-10,17.72231241207671,21.321630835169394,True,True,2
NCS1,1.9385124603351067,4.547275819671758,9.838669923955987,3.501785232943401e-12,5.530031635564159e-10,17.657105252700916,21.31565739370573,True,True,2
NPAS2,1.7016812491691282,4.020894560918514,9.820956683508246,3.685151550025144e-12,5.740107829414145e-10,17.631857484966282,21.27837293417321,True,True,2
IGF1,2.66765771934043,5.652435658139641,9.817375795511836,3.7233897659552984e-12,5.740107829414145e-10,17.54532673059341,21.27837293417321,True,True,2
BAAT,3.344079632756639,1.0123903284926787,9.81445503755407,3.754877025571036e-12,5.740107829414145e-10,17.38817510678837,21.27837293417321,True,True,2
MMP7,3.7995457909397246,5.906107152746371,9.81002400703915,3.8031628884309665e-12,5.751478113902593e-10,17.54591633060331,21.276394044878895,True,True,2
PYCR1,1.9831298154864534,3.6313863579315147,9.718107679243504,4.960243992965719e-12,7.205209733569065e-10,17.354478223741992,21.051046591465166,True,True,2
TSHZ2,1.7667764913381303,3.9729148142763737,9.717684535331253,4.966325565867161e-12,7.205209733569065e-10,17.33986586757134,21.051046591465166,True,True,2
VCAN,2.164477815109189,7.695953666065089,9.70210411075793,5.19560434180225e-12,7.358377736465171e-10,17.14461676160245,21.030011437736047,True,True,2
SPRR1A,4.8973103866787815,-3.6567415493413975,9.692714857371763,5.338935648546856e-12,7.39037090028838e-10,16.442139015322322,21.02567300675558,True,True,2
MYO3B,2.423355638750663,-0.7615998477551318,9.687211094210044,5.424812832828518e-12,7.39037090028838e-10,16.774591533504864,21.02567300675558,True,True,2
GJB2,3.8078794580967803,1.4093346219611906,9.654487964528396,5.965169852122868e-12,7.787757505291204e-10,17.00546540588943,20.973297979883526,True,True,2
LTBP1,1.6567729757906795,7.426219552585558,9.585397267446051,7.292666171533679e-12,9.229618995107695e-10,16.800480253250957,20.80343316124761,True,True,2
COL5A1,2.0194238108323797,7.52456815844996,9.580479744056861,7.397881298512816e-12,9.23183159244484e-10,16.788663041055038,20.803193462060676,True,True,2
PLXNA4,2.962991149189514,4.040737524788179,9.540559191195662,8.311111458654686e-12,1.0228398895151234e-09,16.842669787471408,20.70068287296391,True,True,2
MMP2,1.8521947902255818,8.647625578066005,9.514640421183888,8.964524443076778e-12,1.0882444808619394e-09,16.610416189789166,20.638700007080846,True,True,2
HS6ST2,2.6765626508843416,2.422383935301755,9.49797320597463,9.4120195588448e-12,1.1348478988350369e-09,16.708858087074734,20.596767204830137,True,True,2
SPRR1B,5.61261694314999,-3.163643304751877,9.475043351566603,1.0064968783941199e-11,1.1878109448346801e-09,16.00203157439164,20.551153766014195,True,True,2
