GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000443816 - FN1,ENST00000446046 - FN1,ENST00000356005 - FN1,ENST00000443816 - FN1,ENST00000443816 - FN1,ENST00000511880 - PPEF2,ENST00000471562 - FILIP1L,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000446046 - FN1,ENST00000446046 - FN1
ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000528957 - RPL8,ENST00000446046 - FN1,ENST00000538098 - WDR74,ENST00000613167 - PLLP,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000356005 - FN1,ENST00000356005 - FN1,ENST00000446046 - FN1,ENST00000443816 - FN1,ENST00000443816 - FN1
ENST00000432072 - FN1,ENST00000432072 - FN1,ENST00000531188 - RPS3,ENST00000432072 - FN1,ENST00000446046 - FN1,ENST00000445125 - nan,ENST00000432072 - FN1,ENST00000432072 - FN1,ENST00000446046 - FN1,ENST00000613167 - PLLP,ENST00000432072 - FN1,ENST00000356005 - FN1,ENST00000432072 - FN1
ENST00000617924 - THBS2,ENST00000532636 - HSPA8,ENST00000587184 - LAMA3,ENST00000617924 - THBS2,ENST00000482512 - GOLGB1,ENST00000538098 - WDR74,ENST00000460008 - DCBLD2,ENST00000532636 - HSPA8,ENST00000432072 - FN1,ENST00000443816 - FN1,ENST00000445125 - nan,ENST00000432072 - FN1,ENST00000604619 - MTCO1P22
ENST00000369850 - FLNA,ENST00000445125 - nan,ENST00000338167 - APLP2,ENST00000532636 - HSPA8,ENST00000356005 - FN1,ENST00000356005 - FN1,ENST00000445125 - nan,ENST00000523582 - TRPA1,ENST00000617924 - THBS2,ENST00000538098 - WDR74,ENST00000617924 - THBS2,ENST00000369850 - FLNA,ENST00000445125 - nan
ENST00000445125 - nan,ENST00000569696 - RPL4,ENST00000407193 - RPS14,ENST00000220244 - CEMIP,ENST00000557538 - HIF1A,ENST00000443816 - FN1,ENST00000356005 - FN1,ENST00000369850 - FLNA,ENST00000613167 - PLLP,ENST00000432072 - FN1,ENST00000369850 - FLNA,ENST00000532636 - HSPA8,ENST00000532636 - HSPA8
ENST00000532636 - HSPA8,ENST00000315741 - RPL5,ENST00000369850 - FLNA,ENST00000445125 - nan,ENST00000623936 - nan,ENST00000523412 - FAM83A,ENST00000443816 - FN1,ENST00000482512 - GOLGB1,ENST00000488683 - CLIC4,ENST00000511880 - PPEF2,ENST00000532636 - HSPA8,ENST00000471562 - FILIP1L,ENST00000512512 - IGFBP7
ENST00000482512 - GOLGB1,ENST00000604952 - MTRNR2L6,ENST00000222572 - PON2,ENST00000604952 - MTRNR2L6,ENST00000497492 - ENO1,ENST00000446046 - FN1,ENST00000612232 - SLC38A2,ENST00000519510 - PLAT,ENST00000537463 - FBN1,ENST00000372915 - MACF1,ENST00000569696 - RPL4,ENST00000519510 - PLAT,ENST00000604952 - MTRNR2L6
ENST00000569696 - RPL4,ENST00000512512 - IGFBP7,ENST00000367030 - LAMB3,ENST00000413095 - OS9,ENST00000432072 - FN1,ENST00000432072 - FN1,ENST00000262209 - TRPA1,ENST00000512512 - IGFBP7,ENST00000615393 - missing,ENST00000523412 - FAM83A,ENST00000317840 - COL3A1,ENST00000544884 - BLTP2,ENST00000519510 - PLAT
ENST00000554167 - FRMD6,ENST00000482512 - GOLGB1,ENST00000536633 - FAM83A,ENST00000619499 - missing,ENST00000512512 - IGFBP7,ENST00000416123 - COL12A1,ENST00000512512 - IGFBP7,ENST00000544884 - BLTP2,ENST00000409435 - SCN9A,ENST00000488683 - CLIC4,ENST00000433626 - PSG4,ENST00000482512 - GOLGB1,ENST00000569696 - RPL4
ENST00000512512 - IGFBP7,ENST00000619499 - missing,ENST00000545234 - PTHLH,ENST00000394649 - MYO1D,ENST00000531873 - CD44,ENST00000378491 - NRSN1,ENST00000545208 - TJP1,ENST00000621863 - AP2M1,ENST00000417172 - CALD1,ENST00000617924 - THBS2,ENST00000315741 - RPL5,ENST00000621863 - AP2M1,ENST00000315741 - RPL5
ENST00000315741 - RPL5,ENST00000413095 - OS9,ENST00000215071 - PSMD8,ENST00000317840 - COL3A1,ENST00000416123 - COL12A1,ENST00000372915 - MACF1,ENST00000448526 - CDKN1A,ENST00000413095 - OS9,ENST00000511880 - PPEF2,ENST00000537463 - FBN1,ENST00000554167 - FRMD6,ENST00000488683 - CLIC4,ENST00000413095 - OS9
ENST00000317840 - COL3A1,ENST00000519510 - PLAT,ENST00000334232 - EDARADD,ENST00000315741 - RPL5,ENST00000625282 - SPTAN1,ENST00000369850 - FLNA,ENST00000482512 - GOLGB1,ENST00000569696 - RPL4,ENST00000519510 - PLAT,ENST00000482512 - GOLGB1,ENST00000621863 - AP2M1,ENST00000445125 - nan,ENST00000315274 - MMP1
ENST00000220959 - UBR5,ENST00000620755 - NOMO1,ENST00000432309 - MDH1,ENST00000569696 - RPL4,ENST00000480283 - ATRX,ENST00000482512 - GOLGB1,ENST00000415140 - LTBP1,ENST00000619499 - missing,ENST00000409809 - missing,ENST00000409435 - SCN9A,ENST00000220244 - CEMIP,ENST00000413095 - OS9,ENST00000604604 - MORC4
ENST00000544884 - BLTP2,ENST00000220959 - UBR5,ENST00000544301 - VIM,ENST00000487661 - HEG1,ENST00000621863 - AP2M1,ENST00000366789 - STUM,ENST00000372915 - MACF1,ENST00000220959 - UBR5,ENST00000557538 - HIF1A,ENST00000445125 - nan,ENST00000595404 - PSG9,ENST00000315741 - RPL5,ENST00000306090 - GNAS
ENST00000604952 - MTRNR2L6,ENST00000615393 - missing,ENST00000479035 - RPL23,ENST00000554167 - FRMD6,ENST00000540756 - TTC3,ENST00000409435 - SCN9A,ENST00000523927 - ASPH,ENST00000471562 - FILIP1L,ENST00000544884 - BLTP2,ENST00000519510 - PLAT,ENST00000512512 - IGFBP7,ENST00000220959 - UBR5,ENST00000389993 - PSME4
ENST00000621863 - AP2M1,ENST00000621863 - AP2M1,ENST00000446046 - FN1,ENST00000611931 - NBPF19,ENST00000369850 - FLNA,ENST00000439203 - DST,ENST00000522633 - IL6ST,ENST00000445125 - nan,ENST00000553373 - FERMT2,ENST00000544884 - BLTP2,ENST00000604952 - MTRNR2L6,ENST00000414679 - PLCB4,ENST00000611931 - NBPF19
ENST00000389993 - PSME4,ENST00000391877 - DEGS1,ENST00000306349 - BMP1,ENST00000393807 - GASK1B,ENST00000409435 - SCN9A,ENST00000525975 - HIPK3,ENST00000306090 - GNAS,ENST00000389993 - PSME4,ENST00000445125 - nan,ENST00000513960 - VCAN,ENST00000405312 - PSG4,ENST00000569696 - RPL4,ENST00000604646 - MTRNR2L11
ENST00000413095 - OS9,ENST00000544884 - BLTP2,ENST00000607373 - BNIP2,ENST00000615393 - missing,ENST00000560441 - UACA,ENST00000395898 - VPS13C,ENST00000326857 - DCBLD2,ENST00000315741 - RPL5,ENST00000482512 - GOLGB1,ENST00000557538 - HIF1A,ENST00000244295 - PSG4,ENST00000634879 - EIF4G3,ENST00000391877 - DEGS1
ENST00000591645 - TPM4,ENST00000406957 - XPO1,ENST00000294521 - KIAA1522,ENST00000391877 - DEGS1,ENST00000445125 - nan,ENST00000524698 - TXNRD1,ENST00000464451 - SEC61A1,ENST00000533129 - CAPN1,ENST00000525975 - HIPK3,ENST00000521694 - PLAT,ENST00000544884 - BLTP2,ENST00000604952 - MTRNR2L6,ENST00000414306 - SBDS
ENST00000318424 - CD276,ENST00000610363 - NOMO1,ENST00000539140 - DRAM2,ENST00000561243 - ACAN,ENST00000414679 - PLCB4,ENST00000564138 - PLCG2,ENST00000497865 - RND3,ENST00000406359 - TEK,ENST00000521694 - PLAT,ENST00000525975 - HIPK3,ENST00000413095 - OS9,ENST00000306090 - GNAS,ENST00000482512 - GOLGB1
ENST00000611931 - NBPF19,ENST00000554167 - FRMD6,ENST00000337003 - ATP5MK,ENST00000399516 - LAMA3,ENST00000493804 - MCFD2,ENST00000405269 - SLC8A1,ENST00000401753 - ROCK2,ENST00000391877 - DEGS1,ENST00000306349 - BMP1,ENST00000395898 - VPS13C,ENST00000601041 - PSG4,ENST00000389993 - PSME4,ENST00000621863 - AP2M1
ENST00000391877 - DEGS1,ENST00000604604 - MORC4,ENST00000450533 - TTC3,ENST00000604604 - MORC4,ENST00000525975 - HIPK3,ENST00000524432 - MACF1,ENST00000634879 - EIF4G3,ENST00000604952 - MTRNR2L6,ENST00000538098 - WDR74,ENST00000615393 - missing,ENST00000306090 - GNAS,ENST00000409151 - SPATS2L,ENST00000399974 - MTRNR2L4
ENST00000406957 - XPO1,ENST00000523582 - TRPA1,ENST00000562103 - ZNF598,ENST00000318424 - CD276,ENST00000488500 - EEF1A1,ENST00000534980 - DDX6,ENST00000525975 - HIPK3,ENST00000544301 - VIM,ENST00000538118 - BCAT1,ENST00000417172 - CALD1,ENST00000602039 - PSG1,ENST00000593513 - AXL,ENST00000540040 - MTRNR2L1
ENST00000619499 - missing,ENST00000306090 - GNAS,ENST00000573283 - ACTG1,ENST00000570760 - nan,ENST00000485478 - LRRC17,ENST00000550856 - RPLP0,ENST00000527889 - CD44,ENST00000634879 - EIF4G3,ENST00000471562 - FILIP1L,ENST00000475616 - missing,ENST00000591645 - TPM4,ENST00000391877 - DEGS1,ENST00000566753 - BLOC1S6
ENST00000466397 - RPL29,ENST00000344528 - SH3BP4,ENST00000356769 - NACA,ENST00000414306 - SBDS,ENST00000409532 - ITGA6,ENST00000620660 - RYK,ENST00000621863 - AP2M1,ENST00000593513 - AXL,ENST00000352040 - ADAMTS12,ENST00000545208 - TJP1,ENST00000615393 - missing,ENST00000523582 - TRPA1,ENST00000523582 - TRPA1
ENST00000634879 - EIF4G3,ENST00000534555 - RPS3,ENST00000318424 - CD276,ENST00000320481 - ARHGAP21,ENST00000395898 - VPS13C,ENST00000296794 - ARHGEF28,ENST00000591645 - TPM4,ENST00000406957 - XPO1,ENST00000513960 - VCAN,ENST00000513685 - ITGA2,ENST00000534555 - RPS3,ENST00000494395 - ITGB1,ENST00000508075 - NEDD4
ENST00000356005 - FN1,ENST00000317840 - COL3A1,ENST00000295066 - DPY30,ENST00000508075 - NEDD4,ENST00000329092 - RPL35A,ENST00000616279 - ROCK2,ENST00000540338 - missing,ENST00000521075 - ASAP1,ENST00000545641 - RIC1,ENST00000524698 - TXNRD1,ENST00000544301 - VIM,ENST00000616279 - ROCK2,ENST00000220959 - UBR5
ENST00000399516 - LAMA3,ENST00000389993 - PSME4,ENST00000410084 - CAB39,ENST00000594442 - ZFP36,ENST00000558308 - UACA,ENST00000587974 - EPG5,ENST00000416123 - COL12A1,ENST00000611931 - NBPF19,ENST00000545208 - TJP1,ENST00000553373 - FERMT2,ENST00000389993 - PSME4,ENST00000409435 - SCN9A,ENST00000536684 - MTRNR2L8
