GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
ZNF593,EIF3CL,EIF3CL,EIF3CL,PYURF,AMIGO3,H3C15,ZNF593,ZBTB9,ZC3H11A,PYURF,PSG8,PYURF
ZBTB9,PYURF,PYURF,PYURF,ZC3H11A,RGPD5,H3C14,UBE2NL,ZC3H11A,ZBTB9,EIF3CL,PSG6,EIF3CL
CYB5D1,ZBTB9,ZC3H11A,ZBTB9,EIF3CL,EIF3CL,AMIGO3,ZBTB9,ZNF593,CYP51A1,ZC3H11A,FAM156B,ZBTB9
RBM34,ZC3H11A,FAM156B,ZC3H11A,FAM156B,NPIPA9,RGPD5,H4C15,ARL2BP,ARL2BP,FAM156B,EIF3CL,ZC3H11A
ZC3H11A,FAM156B,ZBTB9,FAM156B,ARL2BP,NPIPA7,RGPD6,KRTAP2-2,RBM34,RBM34,ZBTB9,PYURF,FAM156B
CSNK2A3,ARL2BP,ARL2BP,NUDT4B,ZBTB9,NPIPA8,PYURF,BCL2L2-PABPN1,CYP51A1,ZNF593,ARL2BP,ZC3H11A,U2AF1
ARL2BP,NUDT4B,U2AF1,CYB5D1,CYB5D1,RGPD6,MIF,PGAM4,MGAT2,MGAT2,CYB5D1,ZBTB9,CYB5D1
GJD3,U2AF1,PGAM4,ARL2BP,RGPD5,ZNF593,ZNF593,ATP5MGL,H4C3,CYB5D1,PGAM4,PSG1,ARL2BP
H2AC17,MAGED4,RGPD5,FKBP1C,RGPD6,BCL2L2-PABPN1,EIF3CL,ARL2BP,TNFSF4,ZBED6,U2AF1,RGPD5,NUDT4B
ZBED6,FKBP1C,RGPD6,U2AF1,PGAM4,CYB5D1,NPIPA8,AMIGO3,CYB5D1,POMK,H2BC12L,ARL2BP,PGAM4
AMIGO3,CYB5D1,CYB5D1,PGAM4,U2AF1,ZC3H11A,BCL2L2-PABPN1,CCDC103,CSNK2A3,GJD3,FKBP1C,PSG3,MAGED4
NACA2,MAGED4B,FKBP1C,H2BC12L,PSG9,PYURF,ZC3H11A,CSF2,AMIGO3,ZNF460,RGPD5,RGPD6,RGPD5
CYP51A1,RGPD5,PSG6,RGPD5,PSG1,ZBTB9,SNURF,SERF1A,H1-4,CSNK2A3,RGPD6,PGAM4,RGPD6
DDX47,PGAM4,MAGED4,MAGED4,PSG6,ARL2BP,SLX1B,NACA2,ZBED6,H1-4,NUDT4B,CYB5D1,FKBP1C
WNT16,RGPD6,PSG5,WNT16,PSG8,NPIPA3,BOLA2B,POTEM,H4C5,H4C3,PSG8,PSG2,MAGED4B
CCDC103,TNFSF4,ERCC5,RGPD6,ERCC5,GJA9,ATG10,HNRNPCL1,GJD3,H4C5,MAGED4,U2AF1,ERCC5
CCDC81,ERCC5,NUDT4B,MAGED4B,PSG5,ATG10,FAM156B,KRTAP19-1,H4C6,AMIGO3,WNT16,PSG9,NOMO3
ZNF460,NOMO3,KRTAP3-1,ERCC5,H2BC12L,FAM156B,H4C11,H3-5,DDX47,MRGPRX3,PSG9,KRT33B,H2BC12L
H4C13,WNT16,NOMO3,TNFSF4,FKBP1C,RBM34,ARL2BP,ZC3H11A,POMK,DDX47,PSG6,MAGED4,TOP3B
ZSCAN32,H3-5,SERF1A,NOMO3,SMIM11,CST4,ZBTB9,GET4,PSG2,TNFSF4,MAGED4B,PSG7,ZSCAN32
POMK,HMGA2,MAGED4B,KRTAP2-3,SERF1A,H2BC12L,FUT5,ANP32D,C22orf23,PSG5,NOMO3,PSG5,SMIM11
HMGA2,ZC3H11B,PSG9,HMGA2,PSG11,SNURF,H4C3,MRPL53,ULBP2,H4C2,KRTAP2-3,MAGED4B,HMGA2
TNFSF4,ZSCAN32,POLR2J2,ZSCAN32,KRTAP1-5,PSG9,RBM34,H2AC17,ZNF460,H4C6,ERCC5,FKBP1C,CTAG1B
EDARADD,EIF3C,EIF3C,PSG1,PSG3,SULT1A3,NPIPA9,RBM34,RABGEF1,ULBP2,ZSCAN32,NUDT4B,EIF3C
H4C6,ZBED6,H2BC12L,PCDHGB4,NOMO3,ZACN,C1QTNF5,SMIM11,H4C2,KISS1,TBC1D19,KRT34,SERF1A
PSG2,E2F7,KRTAP1-5,ZC3H11B,PSG2,PCDHGA8,ZACN,CGB1,PSG5,RABGEF1,PCDHGB4,SERF1A,H3-5
COX20,TNFSF18,GJD3,KRTAP2-1,NUDT4B,CST1,UTS2B,FAM156B,CCDC81,PTCHD4,SMIM11,PSG11,ZC3H11B
ZBTB20,ZC3H11C,EIF5AL1,EIF3C,ZSCAN32,MIF,MGAT2,POLR2J2,H2AC17,IL1B,MMP1,KRT33A,GNG5B
ULBP3,GNG5B,PABPC3,GJD3,PTCHD4,PGAM4,SULT1A3,SLX1B,DAZ3,H2AC17,HMGA2,PSG4,TNFSF4
IGF2BP3,TRPA1,TNFSF18,PABPC3,ZC3H11B,CCDC103,CYP51A1,PPIAL4G,ZSCAN32,HMGA2,TNFSF4,SHOX,BOLA2B
ZNF805,BOLA2B,LRRC37A,PSG5,MAGED4,KRTAP2-4,MFRP,PABPC3,ZNF805,ZNF805,GNG5B,ERCC5,ZC3H11C
C21orf140,EIF5AL1,KRT34,PSG9,ACKR4,GPR89A,WDR74,KRT76,KISS1,DAZ3,KRTAP1-5,PABPC3,TRPA1
RABGEF1,H2BC12L,SHOX,TOP3B,CCZ1,RSPH10B,MAGED4,POTEE,KRT34,GPR21,OPN3,ZC3H11B,TNFSF18
LRRC17,PABPC3,PSG3,BOLA2B,MAGED4B,ZSCAN32,CTAG2,EIF5AL1,OXTR,E2F7,PSG4,H3-5,WDR73
H1-4,PSG5,PSG1,EIF5AL1,HMGA2,FKBP1C,POLR2J2,U2AF1,GET4,COLEC10,SERF1A,NOMO3,PABPC3
PTCHD4,SMIM11,ZC3H11B,PSG8,KRTAP2-3,BOLA2B,BOLA2,H2AC20,TOP3B,ZSCAN32,GJD3,SMIM11,CCZ1
TSTD3,TOP3B,H3-5,SMIM11,PABPC3,KRTAP2-1,LRRD1,PRICKLE4,H4C13,BDNF,BOLA2B,ZC3H11C,EIF5AL1
PSG5,PSG1,ZSCAN32,ZBED6,GJD3,LTO1,ZBED6,HSF2BP,CCDC103,C22orf23,E2F7,ZSCAN32,PSG8
PSG4,KRTAP2-3,HMGA2,GNG5B,ZC3H11C,CYP51A1,SLX1A,CYB5D1,ULBP1,IGF2BP3,H3-5,TOP3B,EIF2S3B
PABPC3,CCZ1,PSG8,KRTAP2-4,ACAN,C1QTNF5,CCDC103,MAP1LC3B2,HMGA2,TOP3B,EIF3C,EIF5AL1,E2F7
E2F7,EIF2S3B,OXTR,ZC3H11C,DKK1,SULT1A4,SERF1A,SLC31A2,IGF2BP3,CCDC103,CST1,KRTAP1-5,LRRC37A
SMURF2,LRRC37A,SMIM11,E2F7,H3-5,LRRD1,SPDYA,C22orf23,BDNF,LRRC17,TRPA1,OXTR,GJD3
RAB6D,IGF2BP3,DKK1,H3-5,UBL4B,KRTAP2-2,MAGED4B,ODAPH,FOXE1,KLHL11,PABPC3,EIF2S3B,POLR2J2
KISS1,CSNK2A3,ZBED6,TRPA1,EIF5AL1,ZBED6,ANKUB1,TBC1D3B,ABCB6,PSG2,ZC3H11B,EIF3C,GTF2H2C
BDNF,SERF1A,ACKR4,C21orf140,LRRC37A,MFRP,LTO1,SULT1A4,FSCN2,OXTR,KRTAP2-1,DKK1,BDNF
RFPL4AL1,PSG8,BOLA2B,MFSD2B,C21orf140,GPR89B,CYB5D1,TOP3B,PGAM4,IL1A,EIF5AL1,GJD3,MMP1
KLHL11,TMEM212,ZC3H11C,TNFSF18,KRT33B,ZNF559-ZNF177,H2AC20,H4C14,FOXD1,ABCB6,GDF6,C21orf140,IGF2BP3
UBE2NL,WDR73,TOP3B,IGF2BP3,POLR2J2,NUDT6,JSRP1,SULT1A3,SLC31A2,MMP1,IGF2BP3,WDR73,C21orf140
RAPH1,C21orf140,WDR73,PTCHD4,RAPH1,NOMO3,H1-5,MMP10,KLHL11,KRT34,BDNF,ALX4,MATR3
GET4,PCDHGB4,ARL17A,POLR2J2,WDR73,COX20,H3C12,CGB2,IL1B,ZBTB20,C21orf140,NPIPB13,PSG6
OXTR,KRTAP2-1,KRTAP2-3,LRRC37A,CEMIP,NPIPA2,RGPD8,ULBP2,H1-1,ULBP1,COLEC10,BOLA2B,IGF2BP1
