GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
IGF2BP1,SPOCD1,GNG5B,WDR73,KRT34,SMIM11,H2AC11,RGPD5,POLR2J2,H4C13,ZC3H11C,H2BC12L,GTF2H2
MATR3,POLR2J2,MMP1,SPOCD1,MGARP,PET117,H1-4,CCZ1B,IGF2BP1,FOXD1,TOP3B,SMN2,PSG4
NOXO1,IGF2BP1,SMN2,COLEC10,EIF3C,DDX47,WNT16,ZSCAN32,PTCHD4,GET4,PTCHD4,ACKR4,SMN2
FOXD1,COLEC10,SPOCD1,BDNF,GNG5B,RGPD3,DDX47,SERF1B,IL6,INSYN2B,LRRC37A,POLR2J2,CSNK2A3
OPN3,PWP2,SERF1B,IGF2BP1,SERF1B,MGAT2,GTF2H2,CYP51A1,IL1A,IGF2BP1,POLR2J2,GNG5B,RAPH1
ARSK,MATR3,EIF2S3B,ATP5MGL,MMP1,U2AF1,NUDT6,POTEF,NPIPA8,BLID,IL12A,MSTN,LRRC17
GALNT5,FGF5,CEMIP,SERF1A,TOP3B,PSG8,ZNF593OS,BPIFA1,TMEM217,SLC31A2,GALNT5,INHBE,ZBED6
TOP3B,GALNT5,MMP3,EIF2S3B,KRTAP2-1,LIMS3,ZNF460,HSD17B1,TBC1D3E,MATR3,WDR73,CEMIP,ATP5MGL
SLC31A2,BDNF,KRT33B,CSNK2A3,KISS1,NUDT4B,COX20,DDX47,CASTOR2,SMURF2,KRTAP2-4,LHX9,FBN2
ULBP2,PSG9,MATR3,GALNT5,ARL17A,HTD2,GET4,IL1B,PDCD1LG2,CEMIP,EIF2S3B,SERF1B,ARL17A
KRTAP4-11,HLA-G,MMP10,FGF5,OXTR,PCDHGB1,GTF2H2C,FAM24B,MEMO1,TBC1D3E,SMURF2,CBS,CTAG2
TRIM58,GJD3,PWP2,SMURF2,MATR3,RGPD4,U2AF1,GJD3,PAPPA2,H2AC20,FGF5,MPP4,F2RL2
NOG,ATP5MGL,RAD54B,MMP1,FBN2,PCDHGB3,H3C13,H4C12,INHBE,FOXE1,ARSK,PCDHGB4,FGF5
GLUD2,MFSD2B,C21orf140,ARL17A,GDF6,PCDHGA7,PGAM4,PPIAL4A,CEMIP,BDKRB1,MATR3,MATR3,GSTT2
RAD54B,GTF2H2C,PCDHGB4,PWP2,BOLA2B,TBC1D19,GJD3,EDARADD,NOXO1,PGAM4,TMEM212,ADAMTS6,CBS
H1-1,MMP1,RAPH1,KRTAP2-2,KRTAP2-4,PCDHGA1,LIMS3,H4C11,HAPLN1,CPA4,IGF2BP1,KRTAP3-1,H3C15
COLEC10,SLC16A6,CCNK,RAPH1,LRRC15,SLC7A6OS,GJA9,UQCRHL,SPOCD1,ESM1,LRRC17,TNFRSF11B,MFSD2B
H4C3,PSG6,PSG2,MATR3,BDNF,ZNG1C,GDF9,C11orf91,LRRC17,PDCD1LG2,TNFRSF11B,ATP5MGL,TMEM212
TRPA1,FBN2,CSNK2A3,TMEM212,TMEM212,CCZ1,NOMO3,ERCC5,ZPLD1,RAPH1,RAPH1,BDNF,CDKN2A
PDCD1LG2,CBS,ODAD2,PSG6,FGF5,EIF3C,H3C4,ULBP3,MATR3,SPOCD1,DNAH5,TMEM212,TNFRSF11B
FADD,TSLP,TNFRSF11B,INSC,ODAD2,MAGED4,ERCC5,FAM156A,CMKLR2,TNFRSF10D,CSNK2A3,ODAD2,PCDHGB4
CPA4,CTHRC1,FGF5,IL11,TNFRSF11B,ERCC5,MEMO1,SLX1A,FADD,PAPPA2,CST4,PWP2,FOXL1
CHRNA1,PCDHGA7,PDCD1LG2,OPN3,RAB6D,PCDHGA10,RGPD3,OPN3,ADAMTS6,SERPINB7,ATP5MGL,CSNK2A3,GALNT5
FGF5,TNFRSF11B,TMEM212,PCDHGA7,TM4SF20,PCDHGB4,NPIPA7,RABGEF1,PCDHGB4,H2AC21,MPP4,FGF5,IL12A
ZNF699,F2RL2,GALNT5,KRTAP1-5,RGPD3,IL12A,TNFSF4,NUTM2A,ANKRD1,ADAMTS6,KRTAP2-2,RAB6D,PMAIP1
IL12A,KRTAP2-4,ATP5MGL,PMAIP1,ASB5,SRR,KCNRG,PWP2,CPA4,MGARP,CEMIP,NPIPA7,IL11
NLRP10,PMAIP1,BDNF,TNFRSF11B,IGF2BP1,LRRC37A,H1-1,GRIN3B,E2F7,CASTOR2,ADAMTS19,RGPD3,HHLA1
GPR21,NCKAP5,SLC38A11,FOXL1,ALPK2,SLX1B,RGPD4,LBHD1,FOXO3B,CXCL8,H3C15,SPOCD1,CEMIP
MMP1,HHLA1,KRTAP2-1,PDCD1LG2,PCDHGA8,KRTAP2-3,HMGA2,FADD,TNFRSF10D,FOXO3B,RAB6D,PRSS12,PWP2
MRGPRX3,FOXL1,SERPINB2,GET4,GALNT5,E2F7,ZNF559-ZNF177,PTHLH,UCK2,H2BC4,BDKRB1,ACAN,SERF1B
SERPINA9,PCDHGA10,IL1B,RAMACL,PRSS12,WNT16,POMK,TRIM74,ADAM12,CCDC81,TNFSF18,HHLA1,COLEC10
MGARP,RAB6D,FBN2,CCDC81,ZBED6,POLR2J2,H2AC13,RAB6C,NLRP10,PRH2,H3C14,PDCD1LG2,RAMACL
SCN9A,RAPH1,SLC22A4,CPA4,CSNK2A3,NPIPB13,NUDT4B,AMTN,TRIM58,POLR2J2,F2RL2,MKX,ALKAL1
LRRC15,BDKRB1,ALPK2,OXTR,RGMB,PKD2L2,BDNF,COX20,ACTBL2,IL6,CCDC68,RAPH1,RAB6D
BLID,PDCD1LG2,SERPINB7,HLA-G,MKX,ZNG1E,IL11,NOXO1,NPPB,GALNT5,PSG1,RAMACL,SMIM34
SERPINB7,CEMIP,MKX,RGMB,ATP5MGL,MEMO1,FBXL13,ANKUB1,H2AC20,FGF5,ARL17A,MMP1,OPN3
MYBL1,ARL17A,EREG,LRRC17,ZNF177,RGPD8,SULT1A4,GLUD2,PRICKLE4,CSF2,SPOCD1,HMGA2,FZD2
TMEM217,OXTR,PSG11,CEMIP,FZD2,SERF1A,GPR39,CSNK1A1L,NUDT4B,DKK1,FOXL1,ALPK2,H3C14
H2AC21,RAMACL,RASA4B,TSLP,MAB21L1,BOLA2,OPN3,CTAGE9,TM6SF1,ADAMTS12,RAMACL,SERPINB7,BDKRB1
ANKRD1,KRTAP1-5,MAB21L1,H3C15,PDCD1LG2,MAGED4B,SMIM11,CGB3,RGPD5,PAPPA,GATD3,MYPN,USP44
PMAIP1,CHRM2,MGARP,FOXO3B,FMO4,FAM166A,SERF1B,NOMO3,DKK1,FADD,MFSD2B,FZD2,SPOCD1
DNAH5,IL11,HHLA1,RAB6D,F2RL2,RABGEF1,EIF3C,ZPLD1,PRSS35,CDKN2A,TNFRSF10D,RAD54B,TSLP
C22orf23,GLUD2,ADAMTS6,HHLA1,SPIN2A,SPDYE17,RABGEF1,KRT3,DIAPH3,SCN9A,HHLA1,GATD3,KRTAP1-5
SETSIP,RPEL1,CKAP2L,H3C14,KRTAP2-2,PCDHGA11,PKD2L2,IL1A,SCN9A,CMKLR2,CYP2S1,LRRC15,GATD3
ZNF578,HSD17B2,GATD3,NCKAP5,SLC38A11,SPDYA,RSPH10B,H2BC15,RAPH1,PCDHGB4,PSG5,GALNT5,CHRM2
H4C5,RAB6C,FZD2,FOSL1,CPA4,MED31,ZSCAN32,H3C15,GPR21,SERPINB2,NCKAP5,AHRR,HLA-G
RGMB,FOSL1,KRTAP2-4,BDKRB1,MMP3,H3C15,H2BC4,C1orf74,CSF2,FOXL1,TSLP,WNT5A,KRTAP2-3
PWP2,PSG3,PTCHD4,FZD2,EIF2S3B,ZNF593OS,IGF2BP3,FOLR3,INSYN2B,PCDHGB5,MGARP,MAB21L1,SCN9A
RELL1,FOXO3B,KIF20A,CHRM2,H3C15,UTS2B,ZNG1C,OR2A4,TSTD3,H1-5,PWP2,IL11,ALPK2
BDKRB1,KRTAP2-2,CBS,SLX1B,GATD3,CSNK2A3,SPDYE17,H3C14,CCL20,ANKRD1,FZD2,LIMS3,ZNF177
H2BC3,KRTAP4-12,ASB5,MYBL1,SIM1,FAM209A,EML5,PTTG2,ITGBL1,DIAPH3,PMAIP1,NPIPB8,WNT16
TAF1L,HTN1,MYBL1,GATD3,CFHR1,TRPA1,H2AC21,C2orf66,CDKN2A,HAPLN1,SMIM34,SIM1,RAD54B
INHBA,HTN3,RGMB,FBN2,WNT5A,ZNF460,NOXO1,CRYBB2,ADAMTS12,ZPLD1,PSG7,STAC,NCKAP5
H2AC20,PSG11,ASPM,CCDC68,NCKAP5,IGF2BP3,TRPA1,KRT75,EPGN,TMPPE,FOSL1,TM4SF20,FOSL1
NAALADL2,CHAC1,TYMS,PSG2,SYNC,ZNF177,CTAG1B,ADIRF,MAP3K7CL,TSTD3,CPA4,DIAPH3,PDCD1LG2
CDKN2A,ALPK2,F2RL2,ALPK2,CHRM2,KRTAP1-5,RGPD1,C16orf74,H2BC4,PSG1,ZBED6,KRTAP2-3,RPEL1
PRR11,CCDC68,CPA4,CST4,RAB6C,FUT5,FADD,C1orf53,TNFRSF11B,ACTBL2,PDCD1LG2,EML5,AHRR
VEPH1,INSC,SIM1,GLUD2,SPOCD1,H3C14,RAMACL,MRGPRX3,KRTAP4-11,ADAM12,OXTR,RAB6C,CTHRC1
ADAMTS6,NPIPB8,MYPN,RPEL1,CORIN,ZC3H11B,MATR3,FOXD1,FGF5,PSG9,RAB6C,RPEL1,RGMB
USP44,AHRR,RAB6D,SERPINB7,HHLA1,EFCAB10,FOXD1,RNASE7,OR51B5,NLRP10,CDK15,ITGA4,DKK1
ALPK2,GATD3,DIAPH3,CTHRC1,RAMACL,ARL17A,FAM209A,HEPHL1,ULBP3,FSCN2,RPEL1,F2RL2,ZNF469
ACTBL2,PSG2,CDK15,ADAMTS19,SLC2A14,SPDYE2,MMP1,OTUB2,RGPD6,ALPK2,IL11,SLX1B,GOLGA8G
ALKAL1,SLX1B,CENPE,AHRR,SLC38A4,RGPD1,TMEM262,KRTAP7-1,C5orf46,RGPD5,EREG,ZNF593,NPIPA7
H1-5,LRRC17,FOSL1,PSG3,VEPH1,PSG4,PSG4,RGPD4,MGARP,P4HA3,RGPD3,SLC38A11,CPA4
HSF2BP,ULBP3,AHRR,DNAH5,AHRR,SPIN2A,H2AC7,IFNA1,PTPRQ,CDKL4,CHRM2,HTN3,RGPD3
STPG4,RGMB,WNT5A,RAB6C,GOLGA8G,SPATA21,RSPH10B2,FAM83A,PAPPA,OR1J2,ALPK2,SYNC,ZNF593
CENPE,ZNF716,ESM1,HTN3,SHOX2,ZC3H11C,BLID,H3C4,ALPK2,H2BC10,KRTAP4-12,GOLGA8G,RAB6C
FOXL1,NPIPA7,FAP,UTS2B,KRTAP1-3,SPDYE2B,SRRM5,IL36G,GALNT5,H1-1,FBN2,PTPRQ,TMSB15B
ZPLD1,PHLDA2,UBL4B,SCN9A,CBS,NPIPB7,GSTT2,HMGA2,FBN2,RTL1,HLA-G,OR2A4,PTCHD4
DIAPH3,LIF,KIF14,RGPD3,SERPINB2,MMP1,FAM166A,CCL20,OPN3,TNFRSF11B,UTS2B,SCN9A,MPP4
CDKL4,RGPD3,RAMACL,GOLGA8G,TNFRSF10D,PCDHGA4,PSG11,H2AC21,LRRC8E,LRRC8E,RGMB,MGARP,PTX3
TGFB2,SMIM34,H3C15,F2RL2,PAPPA,ANGPTL6,PCDHGB4,CXCL3,FOXL1,WNT16,AHRR,ADM2,PSG1
H1-6,DNAH5,ZNF593,LIF,WNT2,PTCHD4,RAD54B,S100A2,INHBA,TNFRSF10C,SLX1B,LOXL2,SLX1B
RFPL4A,SLC2A14,E2F7,ZNF593,RXFP1,COLEC10,TOP3B,GJB5,SERPINB7,GDF2,GOLGA8G,CPA4,CYTL1
PRPS1L1,HGF,PBK,PHLDA2,H3C14,CNTD1,PSG5,CTAGE6,PWP2,HAS2,PHLDA2,MMP3,PRSS12
MRGPRX4,IL12A,ITGA4,GDF5,ALX3,PCDHGB2,H1-3,ANXA8L1,OSCAR,DNAH11,SCN9A,ZNF716,WNT5A
FBN2,ZNF593,SMIM34,HTN1,FAP,ANKUB1,H2BC11,H2BC17,FAP,PSG11,TMSB15B,EVA1A,VN1R2
TNFSF18,DKK1,RGPD3,CBS,FOSL1,SPATA1,MEIOC,KRT6B,SYNC,CCL20,CHAC1,IGF2BP1,LIF
IKBIP,H3C15,PRSS12,SLC16A6,PTX3,ARL17B,EME1,IDI2,PDXP,INHBA,KRTAP1-1,FAM184B,DNAH5
GATD3,SPDYE2B,CEP55,HSD17B2,EML5,PCDHGA5,RGPD2,RAET1G,SERPINB2,NPY4R,PSG3,RAB3B,INHBA
DNAI3,VN1R2,MARCHF4,RAB3B,LEP,NPIPB8,BDKRB1,F8A3,PRSS12,C5orf46,ULBP1,FAP,PHLDA2
ADAMTS12,SERPINE3,KRTAP2-2,PCDHGB1,SERPINB7,RAMACL,LRRC17,GATD3,OLR1,NOG,ITGBL1,RNASE10,CHAC1
CTHRC1,H3C14,H3C14,ADAMTS12,EGFL6,OPN3,PWP2,LGALS7B,H2AC21,FAP,PSG11,VN1R2,HTN1
TNFRSF10D,UTS2B,CLSPN,PTX3,LOXL4,NUTM2B,RGS21,BIK,H2BC10,SUCNR1,SYNC,MARCHF4,PAPPA
H3C11,ABCC4,SYNC,PSG11,TRPC6,FOXO3B,GALNT5,S100A3,OR51B4,H4C4,TFPI2,TBX4,SLC2A14
H4C2,CYTL1,RPEL1,PAPPA,RPEL1,GET4,SLC5A2,CLCA2,EVA1A,TFPI2,LIF,KRT38,ZNF716
TNFRSF11B,GOLGA8G,NCAPG,MARCHF4,ABCB4,C21orf140,HTD2,ZBED2,RTL1,KCTD16,DKK1,STC2,ADAMTS12
CDK15,KDELR3,RRM2,SMIM34,MARCHF4,H4C8,NPIPA3,H4C4,GPR39,H2BC3,ZNF593,KIF20A,CDK15
ULBP1,RFX8,MFSD2B,MYPN,RTKN2,TOP3B,H2BC12L,SLAMF9,GDNF,RGPD6,RAB3B,LOC124900467,NPIPB8
H2AC12,CPA4,SEMA3D,MPP4,MYPN,PCDHGB6,KISS1,MSGN1,GNG14,PRSS12,PRSS12,H3C15,PNPLA3
H3-5,RAB3B,DEPDC1,TRHDE,ELSPBP1,GPR39,GATD3,AKR1C4,TGFB2,IFNA1,MARCHF4,H3C14,STC2
CAVIN4,PTCHD4,KIF4A,ZNF716,ITGA4,NPIPB9,GPR21,IGF2BP3,H4C4,FBN2,RSPO1,ULBP1,LAMA1
KRTAP1-5,INSYN2B,LOXL4,RNASE10,ITGBL1,RGPD2,GNGT1,FREY1,MRGPRX3,SYT15B,STC2,TBX5,RSPO1
F2RL2,INHBA,MELK,SCN5A,CCL7,BDNF,IGF2BP1,C12orf54,SYT15B,CDCA2,PTX3,KRT31,HTN3
WNT5A,KRTAP9-6,IL6,LCE2A,RNASE10,TNFSF18,FBN2,TMEM40,NPY4R,IL11,TRHDE,TBPL2,RNASE10
CTAG2,SPDYE2,PCLAF,POTEM,STC2,CPSF4L,PSG8,RGPD6,H3C11,EVA1A,HTN1,CHRM2,FAM184B
PSG6,TMSB15B,GTSE1,CYTL1,KRTAP1-1,GALNT5,PCDHGA8,MMP1,TBC1D3K,PTPRQ,VEPH1,KRTAP4-12,KRTAP2-4
MYPN,PLAU,HTN3,PLAU,MFSD2B,C9,FGF5,PGK2,KCTD16,OLR1,ALKAL1,KRTAP2-4,LOXL2
NRG1,PTX3,IGF2BP3,HNRNPCL4,HTN3,MINAR2,CEP295NL,ACTBL2,GDF6,EFCAB3,MMP3,HTN1,ULBP3
PAPPA,GDF5,LOXL2,VN1R2,IGF2BP3,TNFSF4,SPATA21,GPR87,LOXL2,PSG7,SLC38A4,LOX,ITGBL1
DCAF8L1,ADAMTS12,KISS1,SLC2A14,SYPL2,PCDHGA9,COLEC10,MISP,CAVIN4,OR1Q1,SPDYE17,HOXA13,PSG7
OR5B17,LAMA1,CCL7,OR51M1,RAB3B,SLC5A2,TRABD2A,CTAGE15,F2RL2,TMEM156,ULBP3,SPDYE2B,POTEM
RAB3B,TRHDE,IQGAP3,NPIPB8,VN1R2,HMGA2,B3GNT4,PNLIPRP3,ALX3,NUDT4B,ZNF716,KRTAP1-3,TFPI2
EVA1A,RNASE10,SPDYE2B,TFPI2,SMIM34,SERPINE3,MGARP,SLC25A52,ZC3H11C,PSG6,VN1R2,TMEM262,RAB3B
OR10A4,TMEM156,HJURP,ULBP3,PSG7,LRRC17,CCDC73,TMEM156,MMP1,PRSS35,GDF5,PPP1R2B,SPDYE17
SEMA3A,SEMA3A,ADAMTS12,SPDYE2B,FAM184B,SLC31A2,C9,CXCL1,LOC102724334,SYNC,RNASE10,SATL1,EVA1A
OLR1,LPAR3,STC2,DKK1,TBX5,PPP1R42,DNAH5,GJB3,NPY4R2,GDF5,HSD17B2,HOXA11,PLAU
GMCL2,ANO4,RAB6C,CALCB,NPIPB8,H1-1,SERPINE3,ALX3,RAB6C,BTBD18,TBX5,IQCM,GDF5
H2AC4,PNPLA3,PTX3,ANO4,RSPO1,RSPH10B2,PSG6,SERPINB7,H1-5,RAB3B,NPIPB8,NLRP10,TBX5
SIX1,MARCHF4,RAB3B,FIBCD1,NPIPA8,ADAMTS19,FSCN3,SERPINB5,CDKL4,MGAM,NID2,,PSG9
DKK1,PAPPA,PTGS2,TBPL2,COL11A1,PCDHGA3,SPOCD1,HES2,C15orf48,NPIPA8,HTN3,,PSG3
S100G,LIMS3,CSF2,NLRP10,LOX,AUNIP,SCN9A,CALML3,LIF,LIF,COL11A1,,TMEM262
IDI2,POTEM,LIMS3,PSG7,CLCA2,EME1,SULT6B1,CFHR1,DSC3,PDXP,PSG2,,MARCHF4
COL11A1,FER1L6,BUB1,LIMS3,LCE2A,PCDHGC4,DEPDC1,KRT6A,H2BC3,VEPH1,SERPINB7,,HSD17B2
SLC38A4,APCDD1L,EVA1A,KRTAP4-12,HOXA13,DNAH5,FOXL1,LRRC8E,IDI2,C9orf131,KRTAP1-3,,PSG5
ZNF804A,EREG,SLX1B,COL11A1,KRT38,TMEM262,KRTAP4-11,DSG3,EFCAB3,CA9,LPAR3,,LRRC15
OR5B12,TBX5,KNL1,RSPO1,TBPL2,EML5,ASPM,H2AC7,GDF5,NPY4R2,SERPINB2,,LOC124900467
ITGBL1,WFDC8,FAM111B,SERPINB2,CPZ,PSG2,TAS2R30,KRT17,H2AC4,NPPB,TBPL2,,NOTO
PPP1R2B,MELK,MPP4,NPTX1,HTN1,H2BC4,CLVS1,PRPS1L1,RAB3B,KRTAP4-11,OSTN,,KRTAP2-2
OR51M1,CRX,KRT33A,ZNF804A,PSG4,TREH,KRTAP2-4,GBP6,ST6GALNAC5,H3C7,NLRP10,,CRX
MARCHF4,ADAMTS19,DLGAP5,GSTT2,LIMS3,PSG11,LYPD1,RAB40AL,GIP,OR51B5,SPDYE2B,,CHRNA1
