GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000524478 - MMP3,ENST00000489688 - DDX39B,ENST00000368708 - S100A2,ENST00000621109 - PSG9,ENST00000473956 - CPA4,ENST00000523833 - LOXL2,ENST00000581418 - GPS1,ENST00000522271 - TRPA1,ENST00000633941 - GPI,ENST00000467693 - TOPORSLP,ENST00000571312 - KRT34,ENST00000592338 - CNN1,ENST00000489688 - DDX39B
ENST00000316793 - OXTR,ENST00000592338 - CNN1,ENST00000246533 - CAPNS1,ENST00000495431 - CEACAMP10,ENST00000433153 - HLA-C,ENST00000519720 - TRPA1,ENST00000453373 - CHRM2,ENST00000529303 - PAMR1,ENST00000530845 - CCDC81,ENST00000493279 - TOPORSLP,ENST00000601041 - PSG4,ENST00000621109 - PSG9,ENST00000410026 - NABP1
ENST00000249887 - ACKR4,ENST00000531859 - CHID1,ENST00000634800 - LGALS7,ENST00000249887 - ACKR4,ENST00000470133 - PLOD1,ENST00000522271 - TRPA1,ENST00000612235 - CADM1,ENST00000621109 - PSG9,ENST00000367443 - RO60,ENST00000521647 - PLAT,ENST00000402845 - CACNA1C,ENST00000529303 - PAMR1,ENST00000481723 - ABHD16A
ENST00000592683 - TUBB6,ENST00000296641 - F2RL2,ENST00000215071 - PSMD8,ENST00000221222 - HOMER3,ENST00000470542 - CPA4,ENST00000413272 - NUGGC,ENST00000393413 - MDM2,ENST00000520596 - TRPA1,ENST00000532215 - CCDC81,ENST00000413272 - NUGGC,ENST00000479203 - HLA-B,ENST00000221222 - HOMER3,ENST00000479622 - ABHD16A
ENST00000409662 - SLC38A11,ENST00000457622 - ACTG1P9,ENST00000587184 - LAMA3,ENST00000461585 - ABHD16A,ENST00000592338 - CNN1,ENST00000509612 - PDE5A,ENST00000621109 - PSG9,ENST00000531859 - CHID1,ENST00000545364 - PKD1P5,ENST00000621697 - MRGPRX3,ENST00000316793 - OXTR,ENST00000531859 - CHID1,ENST00000522271 - TRPA1
ENST00000409058 - SLC38A11,ENST00000262209 - TRPA1,ENST00000528957 - RPL8,ENST00000514665 - USP53,ENST00000625615 - PTPRK,ENST00000553666 - NDUFB1,ENST00000492888 - KIAA0319L,ENST00000454092 - MTND4LP30,ENST00000422275 - DDR1,ENST00000534731 - NOX4,ENST00000592338 - CNN1,ENST00000379554 - INSC,ENST00000456523 - FGF5
ENST00000531859 - CHID1,ENST00000491397 - AMY2B,ENST00000621065 - HMOX2,ENST00000350009 - ADAM33,ENST00000527513 - BSDC1,ENST00000436191 - MICA,ENST00000510735 - NUDT6,ENST00000592338 - CNN1,ENST00000421499 - DDR1,ENST00000316793 - OXTR,ENST00000381578 - SHOX,ENST00000454092 - MTND4LP30,ENST00000394439 - PDE5A
ENST00000303735 - SLC38A11,ENST00000456523 - FGF5,ENST00000336916 - FN1,ENST00000317449 - LRRN4CL,ENST00000441303 - DCN,ENST00000424489 - FAM204CP,ENST00000460186 - FBXL2,ENST00000262209 - TRPA1,ENST00000316793 - OXTR,ENST00000492534 - RAB29,ENST00000366175 - PSG5,ENST00000517352 - TNFRSF11B,ENST00000601041 - PSG4
ENST00000592338 - CNN1,ENST00000409672 - SCN9A,ENST00000545234 - PTHLH,ENST00000220244 - CEMIP,ENST00000477325 - RPSA,ENST00000397992 - ZFHX3,ENST00000495431 - CEACAMP10,ENST00000456523 - FGF5,ENST00000534731 - NOX4,ENST00000504018 - NREP,ENST00000249887 - ACKR4,ENST00000631335 - SCRN1,ENST00000261180 - TRHDE
ENST00000520036 - ACTBP6,ENST00000262426 - FOXF1,ENST00000334232 - EDARADD,ENST00000303735 - SLC38A11,ENST00000517486 - ANXA6,ENST00000617642 - PIK3R2,ENST00000397022 - HFE,ENST00000517352 - TNFRSF11B,ENST00000474615 - OXTR,ENST00000322434 - ZNF354B,ENST00000503632 - GAPDHP38,ENST00000456523 - FGF5,ENST00000464841 - PRRC2A
ENST00000465898 - SLC38A11,ENST00000520596 - TRPA1,ENST00000536633 - FAM83A,ENST00000409058 - SLC38A11,ENST00000520212 - MAPK9,ENST00000520596 - TRPA1,ENST00000431403 - EYA4,ENST00000327268 - SLC16A6,ENST00000504018 - NREP,ENST00000367443 - RO60,ENST00000517352 - TNFRSF11B,ENST00000522271 - TRPA1,ENST00000520036 - ACTBP6
ENST00000620940 - RPS9,ENST00000394439 - PDE5A,ENST00000457586 - PRNP,ENST00000366175 - PSG5,ENST00000548725 - MYL6,ENST00000492534 - RAB29,ENST00000417397 - nan,ENST00000519720 - TRPA1,ENST00000553949 - SHMT2,ENST00000632219 - SCG5,ENST00000531859 - CHID1,ENST00000261180 - TRHDE,ENST00000529303 - PAMR1
ENST00000517352 - TNFRSF11B,ENST00000486085 - RTN4,ENST00000611028 - FOLR3,ENST00000592338 - CNN1,ENST00000529303 - PAMR1,ENST00000571655 - SNTB2,ENST00000546582 - TMTC1,ENST00000582874 - STARD3,ENST00000367718 - TNFSF4,ENST00000581641 - TWSG1,ENST00000638093 - GAPDHP72,ENST00000431380 - SPON2,ENST00000429840 - HLA-C
ENST00000369872 - SYPL2,ENST00000372879 - TOMM7,ENST00000397119 - DYNC1I2,ENST00000525866 - LAYN,ENST00000593998 - ANGPTL4,ENST00000482352 - MRPL20,ENST00000584634 - NFE2L1,ENST00000567056 - WFDC1,ENST00000526723 - CSRP1,ENST00000633941 - GPI,ENST00000251646 - KRT33B,ENST00000453373 - CHRM2,ENST00000350009 - ADAM33
ENST00000381578 - SHOX,ENST00000261180 - TRHDE,ENST00000256644 - LAMTOR5,ENST00000369872 - SYPL2,ENST00000421042 - ABCF1,ENST00000468570 - SGIP1,ENST00000621605 - SYNRG,ENST00000548940 - ANO4,ENST00000449615 - OXTR,ENST00000622074 - missing,ENST00000570596 - KRT33B,ENST00000592683 - TUBB6,ENST00000592338 - CNN1
ENST00000260702 - LOXL4,ENST00000297350 - TNFRSF11B,ENST00000539239 - PTHLH,ENST00000383165 - FOXL2NB,ENST00000412443 - ABCF1,ENST00000560352 - NEO1,ENST00000632463 - SYNRG,ENST00000523582 - TRPA1,ENST00000517352 - TNFRSF11B,ENST00000632802 - missing,ENST00000525697 - SBF2,ENST00000306773 - NPTX1,ENST00000317449 - LRRN4CL
ENST00000470576 - SLC38A11,ENST00000423218 - ITGA11,ENST00000222572 - PON2,ENST00000597058 - PSG1,ENST00000412881 - HGF,ENST00000247306 - CTAG2,ENST00000524478 - MMP3,ENST00000462493 - RIPOR3,ENST00000467693 - TOPORSLP,ENST00000541363 - HMGA2,ENST00000619987 - MESD,ENST00000458280 - STX16,ENST00000457161 - ATAT1
ENST00000584370 - CLUL1,ENST00000339431 - LRRC17,ENST00000521764 - NACA2,ENST00000619987 - MESD,ENST00000589663 - BECN1,ENST00000377617 - missing,ENST00000475903 - TSC1,ENST00000394439 - PDE5A,ENST00000479053 - RECK,ENST00000339431 - LRRC17,ENST00000620940 - RPS9,ENST00000410026 - NABP1,ENST00000262209 - TRPA1
ENST00000483641 - SLC38A11,ENST00000608763 - GAS6,ENST00000619842 - MBOAT7,ENST00000620247 - TBC1D3K,ENST00000630141 - GTF2H2,ENST00000438938 - KRT8P51,ENST00000580723 - GPS1,ENST00000296641 - F2RL2,ENST00000409504 - PDE11A,ENST00000482352 - MRPL20,ENST00000220244 - CEMIP,ENST00000262209 - TRPA1,ENST00000297350 - TNFRSF11B
ENST00000492134 - SLC38A11,ENST00000431380 - SPON2,ENST00000431533 - RPL28,ENST00000260702 - LOXL4,ENST00000517900 - GTF2H2,ENST00000503412 - PDE5A,ENST00000483475 - ABHD16A,ENST00000370207 - F3,ENST00000593998 - ANGPTL4,ENST00000409672 - SCN9A,ENST00000521013 - RDH10,ENST00000402845 - CACNA1C,ENST00000520596 - TRPA1
ENST00000514665 - USP53,ENST00000522271 - TRPA1,ENST00000395868 - PTHLH,ENST00000414273 - MTCO1P12,ENST00000355279 - FAS,ENST00000520033 - ANGPT1,ENST00000421350 - MICA,ENST00000261180 - TRHDE,ENST00000418055 - P4HA2,ENST00000264805 - PDE5A,ENST00000526126 - DENND2B,ENST00000394439 - PDE5A,ENST00000524126 - SPIDR
ENST00000597058 - PSG1,ENST00000517352 - TNFRSF11B,ENST00000421499 - DDR1,ENST00000613319 - RXFP1,ENST00000562046 - CNOT1,ENST00000508914 - PDE5A,ENST00000420744 - MICA,ENST00000378076 - ITGA8,ENST00000376773 - PPP1R11,ENST00000418055 - P4HA2,ENST00000303735 - SLC38A11,ENST00000495431 - CEACAMP10,ENST00000405000 - PLEKHH2
ENST00000220244 - CEMIP,ENST00000410026 - NABP1,ENST00000311208 - KRT17,ENST00000620940 - RPS9,ENST00000469649 - PDIA5,ENST00000546582 - TMTC1,ENST00000423443 - MICA,ENST00000495431 - CEACAMP10,ENST00000571617 - P4HB,ENST00000503090 - HHIP,ENST00000596907 - PSG4,ENST00000437066 - SEPTIN2,ENST00000262426 - FOXF1
ENST00000525866 - LAYN,ENST00000486001 - ACTG1P20,ENST00000458128 - PGAM4,ENST00000520036 - ACTBP6,ENST00000429840 - HLA-C,ENST00000264805 - PDE5A,ENST00000339051 - missing,ENST00000222390 - HGF,ENST00000619287 - OSCAR,ENST00000296575 - HHIP,ENST00000382617 - OR7E115P,ENST00000320658 - CHRM2,ENST00000296641 - F2RL2
ENST00000419761 - MKX,ENST00000610073 - GAS6,ENST00000627182 - NXN,ENST00000377966 - RECK,ENST00000481756 - TVP23C-CDRT4,ENST00000222462 - WNT16,ENST00000546649 - DNM1L,ENST00000491397 - AMY2B,ENST00000581641 - TWSG1,ENST00000509814 - ITGA2,ENST00000409058 - SLC38A11,ENST00000262426 - FOXF1,ENST00000370973 - WLS
ENST00000258534 - DRAM1,ENST00000563985 - MT2A,ENST00000487148 - CUTA,ENST00000554591 - NFATC4,ENST00000502784 - NPM1P27,ENST00000475304 - TAPBP,ENST00000457811 - RAD23B,ENST00000372879 - TOMM7,ENST00000383197 - TAPBP,ENST00000367845 - ALDH8A1,ENST00000297350 - TNFRSF11B,ENST00000531476 - RGS5,ENST00000432185 - CCDC68
ENST00000423338 - ATAT1,ENST00000222390 - HGF,ENST00000433218 - HOMER3,ENST00000343110 - PRELP,ENST00000452182 - SCN9A,ENST00000506889 - MGAT1,ENST00000459865 - VPS52,ENST00000281834 - TNFSF4,ENST00000493259 - CPA4,ENST00000594728 - CSKMT,ENST00000495041 - CEMIP,ENST00000637927 - CACNA1A,ENST00000604619 - MTCO1P22
ENST00000456523 - FGF5,ENST00000257359 - ADAMTS8,ENST00000432309 - MDH1,ENST00000316793 - OXTR,ENST00000511080 - FBXO38,ENST00000512625 - RAI14,ENST00000479491 - GMNC,ENST00000306773 - NPTX1,ENST00000496339 - GABBR1,ENST00000519380 - RDH10,ENST00000547825 - LIMA1,ENST00000525218 - INSC,ENST00000513455 - TBC1D19
ENST00000297350 - TNFRSF11B,ENST00000519720 - TRPA1,ENST00000330722 - KRT6A,ENST00000308868 - LEP,ENST00000530912 - PSMC3,ENST00000262209 - TRPA1,ENST00000621476 - PAMR1,ENST00000465146 - AK5,ENST00000431493 - OXTR,ENST00000613167 - PLLP,ENST00000369872 - SYPL2,ENST00000361301 - WNT16,ENST00000503412 - PDE5A
ENST00000366175 - PSG5,ENST00000523582 - TRPA1,ENST00000252250 - KRT6C,ENST00000473202 - SERPINE2,ENST00000600451 - DHPS,ENST00000369585 - CTAG2,ENST00000262209 - TRPA1,ENST00000473258 - COL6A3,ENST00000532466 - CCDC81,ENST00000281834 - TNFSF4,ENST00000419761 - MKX,ENST00000491397 - AMY2B,ENST00000610073 - GAS6
ENST00000261180 - TRHDE,ENST00000498999 - MTND4P12,ENST00000570667 - SSBP1,ENST00000456523 - FGF5,ENST00000519240 - NRG1,ENST00000587429 - PKN1,ENST00000464881 - PDE1C,ENST00000262426 - FOXF1,ENST00000533188 - CSRP1,ENST00000502270 - NUDT6,ENST00000266646 - INHBE,ENST00000462493 - RIPOR3,ENST00000409672 - SCN9A
ENST00000571059 - CORO7,ENST00000529303 - PAMR1,ENST00000201015 - PTHLH,ENST00000304568 - TM4SF20,ENST00000534470 - EIF4G2,ENST00000552503 - TRHDE,ENST00000536212 - VPS33A,ENST00000410026 - NABP1,ENST00000263012 - NOMO3,ENST00000265071 - CDH6,ENST00000409662 - SLC38A11,ENST00000409672 - SCN9A,ENST00000469107 - TRIM26
ENST00000631678 - CORO7,ENST00000480426 - GAS6,ENST00000375066 - TBC1D2,ENST00000455909 - FKBP9P1,ENST00000378192 - TLN1,ENST00000568141 - HAGHL,ENST00000559103 - CCDC32,ENST00000526714 - CHID1,ENST00000413272 - NUGGC,ENST00000623662 - nan,ENST00000481570 - COL1A2,ENST00000281834 - TNFSF4,ENST00000621587 - TBC1D3E
ENST00000547825 - LIMA1,ENST00000531752 - ADAMTS8,ENST00000252242 - KRT5,ENST00000303395 - SCN1A,ENST00000424614 - OPTN,ENST00000480088 - IL12A,ENST00000485640 - GSTM4,ENST00000486085 - RTN4,ENST00000627440 - SNAP23,ENST00000582341 - ATP5PD,ENST00000261180 - TRHDE,ENST00000468720 - SPOCD1,ENST00000370207 - F3
ENST00000582147 - COLEC12,ENST00000473258 - COL6A3,ENST00000570303 - KRTAP2-3,ENST00000507750 - KCNN2,ENST00000321777 - RBIS,ENST00000489688 - DDX39B,ENST00000418114 - RAPH1,ENST00000431380 - SPON2,ENST00000574914 - P4HB,ENST00000559183 - UACA,ENST00000507750 - KCNN2,ENST00000222462 - WNT16,ENST00000486085 - RTN4
ENST00000391588 - KRTAP3-1,ENST00000370207 - F3,ENST00000350320 - SEPTIN7,ENST00000449706 - TM4SF20,ENST00000503412 - PDE5A,ENST00000484988 - SGIP1,ENST00000446959 - SAMD9L,ENST00000634214 - RNH1,ENST00000510432 - C5orf46,ENST00000367718 - TNFSF4,ENST00000456523 - FGF5,ENST00000526714 - CHID1,ENST00000517352 - TNFRSF11B
ENST00000571440 - KRTAP3-1,ENST00000445907 - CHRM2,ENST00000631645 - DTX2,ENST00000367749 - FMO4,ENST00000495980 - PALM2AKAP2,ENST00000550794 - TAPBP,ENST00000498284 - PTPRK,ENST00000524464 - RNH1,ENST00000544577 - OLR1,ENST00000493259 - CPA4,ENST00000474267 - WNT5A,ENST00000504001 - DNAH5,ENST00000222462 - WNT16
ENST00000457161 - ATAT1,ENST00000281834 - TNFSF4,ENST00000610977 - HRAS,ENST00000517352 - TNFRSF11B,ENST00000587488 - FARSA,ENST00000456592 - TAPBP,ENST00000627390 - PTPRK,ENST00000612083 - FAM156A,ENST00000318315 - C5orf46,ENST00000522812 - PLAT,ENST00000471409 - USP9Y,ENST00000580189 - SLC16A3,ENST00000265071 - CDH6
ENST00000548458 - C12orf75,ENST00000400351 - CCHCR1,ENST00000605916 - NDUFA6,ENST00000480136 - FMO4,ENST00000596873 - RPS11,ENST00000504018 - NREP,ENST00000514220 - MTRR,ENST00000379554 - INSC,ENST00000409672 - SCN9A,ENST00000533389 - MICAL2,ENST00000244295 - PSG4,ENST00000438462 - RTN4,ENST00000460802 - GABBR1
ENST00000481570 - COL1A2,ENST00000438462 - RTN4,ENST00000444837 - MT1G,ENST00000483976 - C2,ENST00000623936 - nan,ENST00000492735 - NMNAT1,ENST00000460737 - LY6G5C,ENST00000415648 - RPL19P20,ENST00000461585 - ABHD16A,ENST00000492735 - NMNAT1,ENST00000529303 - PAMR1,ENST00000486001 - ACTG1P20,ENST00000480426 - GAS6
