GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
LRRC17,TRPA1,CD99,CD99,PSG5,PALM2AKAP2,RPL17-C18orf32,PGAM4,CD99,PSG5,CD99,KRT34,CD99
DCBLD2,CD99,PSG5,FGF5,CD99,TRPA1,PALM2AKAP2,CD99,CEMIP,CD99,CEMIP,PSG5,ITGA11
FGF5,FGF5,CEMIP,NPTX1,CEMIP,RPL17-C18orf32,NME1-NME2,NACA2,GREM1,CEMIP,FGF5,PSG4,TRPA1
LOXL2,CHRM2,OXTR,TRPA1,GREM1,DCBLD2,TRPA1,H2AC18,LOXL2,GREM1,GREM1,CD99,GREM1
RAB3B,CEMIP,LOXL2,CHRM2,STC2,ADAMTS19,RPS10-NUDT3,POTEE,OXTR,LOXL2,TNFRSF11B,OXTR,CHRM2
GALNT5,NPTX1,GREM1,RAB3B,KRTAP1-5,NME1-NME2,DCBLD2,TUBB3,PSG5,LRRC17,ADAMTS19,CEMIP,CEMIP
OXTR,TNFRSF11B,STC2,ITGA11,MXRA5,RPS10-NUDT3,GREM1,RPL36A-HNRNPH2,HAPLN1,PAPPA,TRPA1,LOXL2,FGF5
COL11A1,MAGED4B,LOXL4,FLNC,LOXL4,GALNT5,RAB3B,COL17A1,COL5A1,ADAMTS12,STC2,PSG1,STC2
CPA4,ITGA11,KRT34,CEMIP,CHRM2,PEDS1-UBE2V1,EEF1G,PTP4A1,VAMP7,RAB3B,MMP1,GREM1,TNFRSF11B
LOX,PTP4A1,TNFRSF11B,DCBLD2,L1CAM,RAB3B,BDNF,ANXA8L1,PAPPA,COLEC10,GALNT5,TNFRSF11B,LOXL2
GREM1,MAGED4,L1CAM,GALNT5,TNFRSF11B,NOMO3,FUT5,BCL2L2-PABPN1,ADAMTS12,OXTR,CHRM2,STC2,PTP4A1
GABBR2,RAB3B,DKK1,TNFRSF11B,FGF5,CD99,LRRD1,LAMC2,FOXE1,FGF5,DCBLD2,DKK1,COL12A1
PTP4A1,COL12A1,COL11A1,PTP4A1,WNT5A,TNFRSF11B,CHRM2,H3-5,ITGA11,CPA4,PSG4,RAB3B,VAMP7
FLNC,PAMR1,WNT5A,LOXL2,SVEP1,PSG4,CD99,PABPC3,KRT34,STC2,NOMO3,WNT5A,LRRC17
PSG5,PDE5A,FGF5,PDE5A,MKX,ANO4,RPL36A-HNRNPH2,UQCRHL,FLNC,NPTX1,SVEP1,COL5A1,MAGED4B
HMGA2,LOXL2,MASP1,NOMO3,COL12A1,EEF1G,PDE5A,FGF11,ANKRD1,BDNF,RAB3B,MKX,MAGED4
BDNF,DCBLD2,MKX,DKK3,LOXL2,LRRC17,LRRC17,KRT6A,CDH2,DCBLD2,PDE5A,FGF5,FBN2
PSG4,COL7A1,VAMP7,WNT16,SYPL2,MRNIP,COL12A1,PTHLH,CPA4,CDH2,PTP4A1,KRT33B,NOMO3
STC2,VAMP7,COL12A1,COL12A1,MOXD1,FGF5,NEDD8-MDP1,C22orf23,LOX,LOX,VAMP7,COL12A1,DCBLD2
TMEM178B,GALNT5,SULF1,COL11A1,THY1,UCHL1,RBM14-RBM4,PIK3R2,STC2,SERPINB7,LRRC17,L1CAM,COL7A1
SERPINB7,NOMO3,RAB3B,HMGA2,MASP1,ACAD11,TUBB3,ST6GALNAC2,THBS2,VAMP7,THY1,MASP1,NPTX1
COL5A1,ANO4,SYPL2,ANO4,VAMP7,COLEC10,NOMO3,KRT6B,GPR176,KCTD16,COL11A1,LHX9,UCHL1
ALPK2,FBN2,MXRA5,VAMP7,ACAN,LRRD1,SNX32,KCTD11,COL5A2,GPR176,GDF6,PRSS12,COL5A1
COL12A1,PSG5,PTP4A1,PSG5,ALPK2,HSPE1-MOB4,MAGED4B,NME1-NME2,LRRC17,COL5A2,COL12A1,SULF1,DKK3
ITGA11,DKK3,KRTAP1-5,THY1,FLNC,MMP1,MAGED4,IL20RB,RAB3B,COL11A1,FLNC,CDH2,RAB3B
WNT5A,HMGA2,MARCHF4,MAGED4B,LOX,LTO1,COL5A2,KRT5,COL11A1,NALCN,WNT16,VAMP7,THY1
SMURF2,LPAR1,ALPK2,GREM1,DKK1,PAMR1,RGPD6,KRT17,ASNS,EEF1G,MAGED4B,ITGA11,COL5A2
COL5A2,COL6A3,THY1,COL7A1,THBS2,IGF2BP3,ANO4,TNS4,EEF1G,KISS1,DKK3,PSG6,BDNF
WNT16,FLNC,LOX,PIK3R2,COL11A1,NPIPA9,TMED7-TICAM2,EEF1G,BDNF,ALPK2,MAGED4,COL7A1,RPL17-C18orf32
RGMB,PXDN,MMP3,RGMB,FBN2,PCDHGB4,FGF5,KRTAP2-2,TNFSF4,FLNC,BDNF,LOX,FLNC
ADAMTS12,FKBP10,NOMO3,MAGED4,PRSS12,PCDHGA4,ISY1-RAB43,C1orf74,FGF5,TMEM178B,PAMR1,COL5A2,QSOX1
SCN9A,GBA1,FLNC,CPA4,ACKR4,BEST1,H3C15,HNRNPCL1,LOXL4,CDH10,SFRP1,PSG8,PAMR1
ANO4,FOXL1,COL5A2,CCDC9B,SULF1,BDNF,FBN2,RNASE7,ALPK2,EVC,PCDHGB4,MXRA5,COL1A1
IGF2BP1,STC2,COL7A1,SFRP1,ADAM33,PCDHGC5,LOXL2,SAA2-SAA4,FRMD6,KIRREL3,SH2D5,ALPK2,IGF2BP1
ANKRD1,COL1A1,GPR176,PAMR1,RAB3B,COL12A1,LRP11,PLSCR3,TNFRSF11B,ZC3H11A,ITGA11,PTP4A1,F2RL2
IGF2BP3,CNTNAP1,COL5A1,MARCHF4,EVC,NOMO1,LTO1,COL7A1,KCTD20,RGS4,UCHL1,PGAM4,LAMA1
DDX47,PCDH18,CNTNAP1,COLEC10,PGAM4,DKK3,WNT5A,SERPINB7,EVC,FRMD6,NID2,GPR176,PXDN
EVC,GREM1,SIM1,PCDHGB4,OXTR,ZC3H11A,YJEFN3,TENM2,PLOD1,COL4A5,KRTAP1-5,MAGED4B,LOX
CCN4,LAMA1,PGAM4,CD248,PAMR1,PTP4A1,H3C14,ANP32D,CNTNAP1,SULF1,P3H2,MAGED4,COL6A3
DKK3,ANTXR1,MOXD1,LRRC17,PTP4A1,PCDHGC4,SMURF2,KRT75,CDH11,NOMO2,COLEC10,EVC,GPR176
PDE5A,COL5A2,LUM,ADAMTS12,UBL4B,ZACN,BIVM-ERCC5,S100A2,KCTD16,ITGA11,LOXL2,RPL17-C18orf32,ALPK2
NT5E,LTBP1,FRMD6,EVC,GPR176,TMED7-TICAM2,GALNT5,POTEF,NOMO2,COL5A1,NOMO1,THY1,PDE5A
FAT1,EVC,SERPINE2,GPR176,SERPINE2,ATP6V1C2,PTP4A1,PNLIPRP3,ST6GALNAC5,CNTNAP1,PGAM4,SYPL2,HMGA2
MARCHF4,COL4A5,ACKR4,FOXL1,ASB5,PDGFRA,HSPE1-MOB4,GPR87,FKBP10,PLOD1,RSPO1,FLNC,NID2
PPP1R3C,FAT1,CDH2,FKBP1C,COL7A1,ANKHD1-EIF4EBP3,ZC3H11A,ZBED2,TNFRSF10D,PLAT,GPR176,SIM1,ZC3H11A
RAI14,GPR176,ITGA11,IGF2BP1,SIM1,PCDHGB1,WDR74,MAP1LC3B2,COL1A1,HAPLN1,MARCHF4,KRTAP1-5,FOXL1
GPR176,PIK3R2,COL1A1,COL1A1,NOMO3,EIF4G2,ZACN,FAM220A,MXRA5,FBN1,CCDC9B,CNTNAP1,LPAR1
TRPA1,ZC3H11A,EVC,CNTNAP1,MARCHF4,GREM1,DKK3,CLCA2,RGS4,FAT1,RELN,ASNS,WNT5A
PAPPA,RIPOR3,RPL17-C18orf32,SH2D5,GRIA3,ST6GALNAC2,PAMR1,RAB6C,ITGA3,IGF2BP1,ANO4,ADAM33,EVC
PXDN,CDH13,THBS2,BDNF,RGMB,LPAR1,H4C11,NOMO3,PTGIS,KRT34,FAT1,LUM,ZNF469
SCUBE3,IGF2BP1,FBN2,SPOCD1,LUM,SFRP1,VAMP7,HES2,SERPINE2,SCN9A,LPAR1,GRIA1,RSPO1
LRRC15,PLAU,COL8A1,NOMO1,COL5A1,PCDHGA3,HMGA2,EDARADD,ATG9A,TNFRSF10D,QSOX1,COL1A1,PGAM4
FRMD6,OXTR,SERPINB7,PGAM4,GRIA1,PCDHGA11,RGPD8,DCBLD2,PRSS12,PAMR1,ALPK2,NOMO3,ASNS
EDIL3,LOX,DKK3,ADAMTS19,COL1A1,DDX47,ATP5MF-PTCD1,EIF5AL1,PAPPA2,FOXE1,COL7A1,ZC3H11A,PIK3R2
COL1A1,SH2D5,CD248,PXDN,FMN2,PCDHGA2,GPR176,KRT14,TMEM178B,HMGA2,COL1A1,PLPPR4,CCDC9B
SFRP1,NOMO1,FKBP10,STC2,TMEM119,PCDHGA8,ATP6V1C2,SOX15,ITGBL1,LOXL4,HMGA2,SERPINB7,COL1A2
FBN1,SALL1,ADAM33,PLAU,CTSK,PCDHGB3,WNT16,HSF2BP,ZC3H11A,PTCHD4,FKBP1C,FMN2,FAT1
TNFRSF11B,MOXD1,COL6A3,GBA1,ZC3H11A,BIVM-ERCC5,ALPK2,LOXL2,SCN9A,SERPINE1,CD248,MARCHF4,CNTNAP1
COL6A3,COL5A1,UCHL1,ELFN2,DKK3,VAMP7,RNF103-CHMP3,GJB2,PXDN,COL3A1,LTBP1,AJUBA,ADAMTS12
WNT5B,COL1A2,ARMC9,MOXD1,LRRC15,SVEP1,ARPC4-TTLL3,WDR83OS,IGF2BP1,THBS2,PLAT,KIRREL3,MMP2
CCDC81,SHISAL1,PRSS12,FAT1,CNTNAP1,PCDHGA7,AJUBA,GJB5,COL3A1,ASNS,INA,COL16A1,NOMO1
COLEC10,COLEC10,ZC3H11A,ALPK2,ADGRB2,STC2,STC2,SERPINB5,FBN1,TNFRSF11B,FOXL1,GFRA1,ANO4
PLOD2,RPL17-C18orf32,COL16A1,OXTR,SLC6A17,PCDHGA1,URGCP-MRPS24,TMEM40,PDCD1LG2,UCHL1,TRHDE,FRMD6,PSG4
ZC3H11A,ELFN2,GRIA3,TRHDE,FGF1,PDE5A,TRHDE,LGALS7B,UCHL1,LTBP1,LRP11,FBN1,FKBP10
COL1A2,ALPK2,SLIT2,QSOX1,SCN1A,PCDHGB2,LYPD1,RPL17-C18orf32,SULF1,COL6A3,PIK3R2,LOXL4,COL16A1
TGFB2,SPOCD1,FBN1,COL6A3,CD248,TGIF2-RAB5IF,FLNC,FAM83A,DDX47,ATG9A,TMEM35A,FKBP10,GALNT5
