,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000324417,10.638046271300682,-4.884374331092151,21.4744011379071,1.2958242261068328e-48,3.226051597709918e-44,97.78464905225538,ENST00000324417,SLC34A1,ENST00000324417 - SLC34A1,100.14248511783249,True,True,2,False,True,3
ENST00000428570,9.831863348216759,-4.975087459492072,19.84132689775057,1.1645306581730947e-44,2.1084992096882055e-40,88.86602317884515,ENST00000428570,SLC22A11,ENST00000428570 - SLC22A11,91.35742730037923,True,True,2,False,True,3
ENST00000301891,9.919498248481876,-4.889882453606414,18.958983038068194,1.8294052958510745e-42,2.802733347334424e-38,84.18516315862593,ENST00000301891,SLC22A11,ENST00000301891 - SLC22A11,86.46763839728494,True,True,2,False,True,3
ENST00000570689,12.728435909317856,-4.4764756960112875,17.88755188834035,9.636663977699871e-40,1.2795305451883817e-35,79.04043587902918,ENST00000570689,UMOD,ENST00000570689 - UMOD,80.34398500570512,True,True,2,False,True,3
ENST00000396138,12.09600500696316,-4.707075497093801,17.452275721680472,1.2768336724357096e-38,1.412788084468503e-34,76.38528971380414,ENST00000396138,UMOD,ENST00000396138 - UMOD,77.94232804494878,True,True,2,False,True,3
ENST00000512593,8.285164593542392,-5.059614813093028,17.237120477166002,4.6156592811826196e-38,4.596411981980088e-34,73.97313917707325,ENST00000512593,SLC34A1,ENST00000512593 - SLC34A1,76.76261716658121,True,True,2,False,True,3
ENST00000354728,12.914547505488358,-4.36739629302313,17.052183224266575,1.3986369622040905e-37,1.2661860418833632e-33,74.30933030552087,ENST00000354728,UGT1A9,ENST00000354728 - UGT1A9,75.74929880336349,True,True,2,True,True,3
ENST00000377581,8.109770938966873,-5.0871619080805,15.896960464969297,1.5419692790055613e-34,9.597120419450675e-31,66.30536504817944,ENST00000377581,SLC22A11,ENST00000377581 - SLC22A11,69.11867478564474,True,True,2,False,True,3
ENST00000507685,7.947298360186354,-5.063521867875795,15.218173223297475,1.0030162079919102e-32,4.9941681520229194e-29,62.31945600459968,ENST00000507685,SLC34A1,ENST00000507685 - SLC34A1,65.16669683472703,True,True,2,False,True,3
ENST00000416590,7.442368086339681,-5.162280220049261,14.669712768142146,3.008444105978592e-31,1.2748505932156005e-27,58.95824801850896,ENST00000416590,SLC22A11,ENST00000416590 - SLC22A11,61.92696852088685,True,True,2,False,True,3
ENST00000513614,9.594767013706809,-4.506518900016206,14.120937433923924,9.232781562597037e-30,3.0194445977842173e-26,56.33876935298904,ENST00000513614,SLC34A1,ENST00000513614 - SLC34A1,58.76213951139003,True,True,2,False,True,3
ENST00000570331,9.944199705914079,-4.791442457445495,13.87129216048954,4.409034882134645e-29,1.3106415542316846e-25,54.8367668219328,ENST00000570331,UMOD,ENST00000570331 - UMOD,57.29411057146493,True,True,2,False,True,3
