,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
CYP51A1,5.706016401454298,1.2834898994574517,33.301349259695606,1.440681570728747e-75,1.844072410532796e-72,161.17900117153033,165.17415030302305,True,True,2,True,False,2
DDX47,9.890152472950842,-2.632930017480717,32.342367865512905,9.817125581220497e-74,1.1728192694364754e-70,157.098711133944,161.02154602728444,True,True,2,False,False,2
WNT16,7.770111345028717,-0.3508142297698955,31.36674752010363,7.910660505924086e-72,8.859939766634976e-69,152.70101065873507,156.69683145034347,True,True,2,False,False,2
CCDC103,8.522943602097456,-5.347761259931105,30.89230762540405,6.927075690186942e-71,6.896288687119444e-68,146.0405138921489,154.6448029281286,True,True,2,False,False,2
CCDC81,5.427610650986167,0.9524058421211852,30.16183303903517,2.0489305363075826e-69,1.9324650110858883e-66,147.24596442666274,151.31181974180979,True,True,2,False,False,2
ZNF460,4.796917205505428,1.538599579503107,29.665489952363682,2.114395860009485e-68,1.8944986905684985e-65,144.98175510231172,149.02907678431194,True,True,2,False,False,2
H4C13,8.53607058854275,-5.322016082666373,29.408586233465016,7.151849917360252e-68,6.102911929480749e-65,139.80529427696007,147.8592650218477,True,True,2,False,False,2
ZSCAN32,4.8325423878791005,0.2136371338567762,29.259963340071508,1.452191213473556e-67,1.1828757520657327e-64,142.51794845465153,147.1974973999781,True,True,2,False,False,2
POMK,4.895482231064116,0.708231711146576,29.094039277423263,3.2113552618261805e-67,2.5020646213880503e-64,142.09188116285745,146.44832971201484,True,True,2,True,False,2
HMGA2,9.659681592600611,-1.0084035225504937,28.796556630917944,1.342629075143973e-66,1.0024963761074997e-63,140.90955047886573,145.0603675932882,True,True,2,False,False,2
TNFSF4,5.2559601838692585,1.9269119115292566,28.365360265667455,1.0867170076963632e-65,7.789587511167531e-63,138.9141423783144,143.01007295121383,True,True,2,True,True,3
EDARADD,7.902134828816838,-0.8304192145014533,26.494114265933828,1.2150672318133727e-61,8.008338580919245e-59,129.67661741580497,133.772037165195,True,True,2,False,False,2
H4C6,8.502276261340839,-5.298862424782932,26.48834283774037,1.251302903268632e-61,8.008338580919245e-59,126.49186014269338,133.772037165195,True,True,2,False,False,2
PSG2,9.240785175115075,-5.226856305201739,26.197076957817664,5.542016469959753e-61,3.4245839704027165e-58,126.63764794000934,132.3189553978139,True,True,2,False,True,3
COX20,4.325591331327045,1.3346158896607863,26.06983703557761,1.0651001908220116e-60,6.362198473176816e-58,127.42007952755192,131.69956140415024,True,True,2,False,False,2
ZBTB20,4.6662885607126565,2.731172930684884,25.70063513361128,7.168607873831e-60,4.1439178419048884e-57,125.73930807113645,129.8257086216951,True,True,2,False,False,2
ULBP3,7.147200908086689,-1.8262392305381117,25.43970005817022,2.7859823869237964e-59,1.560150136677326e-56,124.07709356129241,128.4999831495762,True,True,2,False,True,3
IGF2BP3,9.31340311791587,-1.8119915444706944,25.348959694083568,4.475432990858542e-59,2.3472641092649708e-56,123.88872436113131,128.09151476655146,True,True,2,False,False,2
ZNF805,4.54214149239409,1.4146512080426827,25.344355460824787,4.584500213408146e-59,2.3472641092649708e-56,123.78847347669381,128.09151476655146,True,True,2,False,False,2
C21orf140,7.91071526268992,-5.3624496923098945,25.2592471493599,7.157950031690422e-59,3.5630684602192323e-56,119.32230050078029,127.67414310702054,True,True,2,False,False,2
RABGEF1,4.239248531043352,1.9872904416234707,25.194524592861367,1.0050665090556243e-58,4.867781578993726e-56,123.06806573031619,127.36212690228379,True,True,2,False,False,2
LRRC17,7.351441774094733,2.5823637562029056,24.818166643301595,7.307521844929434e-58,3.446073459503565e-55,121.13322297459212,125.40494465946851,True,True,2,False,False,2
H1-4,5.63107543298878,-0.6785511874463539,24.78932643089665,8.513423594251399e-58,3.911808995102182e-55,120.5169476147153,125.27818018907482,True,True,2,False,False,2
PTCHD4,6.052724126637023,-0.21199366427365351,24.714531355835035,1.2657401683328535e-57,5.670515954131184e-55,120.45748046343267,124.90690000387158,True,True,2,False,False,2
TSTD3,6.610989262353492,-1.8994148165018516,24.669226518725093,1.6099767490561805e-57,7.036776425143111e-55,119.74980836646955,124.69102994352392,True,True,2,False,False,2
PSG5,10.459784865978122,-4.316533298923282,24.254249201606896,1.4753888752011422e-56,6.29499253419154e-54,118.14611110187985,122.49984054017308,True,True,2,False,True,3
PSG4,10.893027483936912,-4.033993061762655,23.731882407450776,2.472753595065492e-55,1.0305056842691539e-52,115.40653460036442,119.70437519832699,True,True,2,False,True,3
PABPC3,5.754849140538798,-0.3696859018741643,23.694503286925084,3.0293794410815492e-55,1.2337836269132128e-52,114.95902430606064,119.52433926843955,True,True,2,False,False,2
E2F7,6.650037489683865,-0.4023081623848087,23.601221226567144,5.031830871923845e-55,2.0037868716638956e-52,114.61254032825079,119.0393860095886,True,True,2,False,False,2
SMURF2,3.9605104078629756,5.742941463773598,23.53052761136396,7.396904954145357e-55,2.8815768864844524e-52,114.35721640512038,118.67608716135307,True,True,2,False,False,2
RAB6D,6.753190882920675,-1.701897963197219,23.020201629381226,1.2162339733026432e-53,4.540606833663201e-51,111.23066793132854,115.91877907577282,True,True,2,False,False,2
KISS1,9.175940951741824,-3.0674192145307306,22.968550419114184,1.6176344636052524e-53,5.915920324042066e-51,111.21687218353497,115.65419266581506,True,True,2,False,False,2
BDNF,6.800152136673918,1.0320673934852267,22.536470496973422,1.7813859816977194e-52,6.384487358404626e-50,108.86930327464698,113.27538345186635,True,True,2,False,True,3
RFPL4AL1,8.030434173797321,-5.322885134721455,22.460475642369655,2.723092917765807e-52,9.56820099732613e-50,105.58582055446408,112.87080944546904,True,True,2,False,False,2
KLHL11,4.396849111652191,1.612459929156634,22.327827751770243,5.721653979313273e-52,1.9717699867171896e-49,107.68120533765054,112.14773794692647,True,True,2,False,False,2
UBE2NL,7.753664680654176,-5.326607645466779,22.301369044702533,6.6367662228077774e-52,2.2439783153342522e-49,104.3375587603917,112.01841923249276,True,True,2,False,False,2
RAPH1,5.264491407342618,2.367527698994405,22.048248514358725,2.7562665972091e-51,8.980417713088558e-49,106.18256525519368,110.63162315954183,True,True,2,False,False,2
GET4,3.8372816680193984,1.005294985798856,21.873872312641293,7.385153150901021e-51,2.3217884993709878e-48,104.8722820843113,109.68174667012924,True,True,2,False,False,2
OXTR,7.007979570740979,1.5353565850780198,21.702791384666206,1.9495222434511784e-50,5.921260780109342e-48,104.22921097778858,108.74553506788003,True,True,2,False,False,2
IGF2BP1,9.694488933792417,-2.9400686450754994,21.450711571408853,8.2037084500754205e-50,2.4501742570891924e-47,102.81155749466203,107.32534022335027,True,True,2,False,False,2
MATR3,4.552191210982704,3.7503192775395426,21.377854711370258,1.2446054652303626e-49,3.5973112801496935e-47,102.42860641220953,106.94131267092699,True,True,2,False,False,2
NOXO1,7.624125838578246,-5.275893853627678,21.340294950850254,1.5433580400514896e-49,4.389996202813126e-47,99.18604412895756,106.74217100859629,True,True,2,False,False,2
FOXD1,6.624390546940061,-0.40890081352383406,21.2862662675127,2.1038050456997656e-49,5.890654127959344e-47,101.82860671906835,106.44813232184457,True,True,2,False,False,2
OPN3,4.312531418568382,1.2548051129018603,21.15414565220674,4.494434894464153e-49,1.2020936314745913e-46,101.03678879164117,105.73484954824536,True,True,2,False,False,2
ARSK,3.2672536687767653,3.34506091917733,20.88315056532014,2.1470546624039675e-48,5.576118775402768e-46,99.5956127144731,104.2004213033106,True,True,2,False,False,2
GALNT5,9.988369694787362,0.0541222632486647,20.682946686719884,6.857373311950084e-48,1.73076239084712e-45,98.39354476975898,103.06776718494602,True,True,2,True,True,3
TOP3B,4.803928636133975,-0.18614135600557197,20.516603464370426,1.8064620631525601e-47,4.4960833571797054e-45,97.0908830741379,102.11312253201456,True,True,2,False,False,2
SLC31A2,4.790572905989881,0.5537129336755667,20.432280853909464,2.955603408219377e-47,7.255399051409758e-45,96.85545634979788,101.63458329626833,True,True,2,False,False,2
ULBP2,5.489028489897783,-0.31442136531027187,20.276853192937217,7.341230279449013e-47,1.777768197401707e-44,95.90963174853054,100.7383853358105,True,True,2,False,True,3
KRTAP4-11,7.552516238660256,-5.337873058833558,20.25889191617808,8.156674131393089e-47,1.9489013391275221e-44,93.19112414713707,100.64647829377273,True,True,2,False,False,2
TRIM58,5.885948300068389,-0.12663972467849974,20.16319436582118,1.4306391190874572e-46,3.373296449216741e-44,95.34651674938942,100.09785365063324,True,True,2,False,False,2
NOG,6.179453324053737,0.3988373378756163,20.016916902350225,3.384288938149133e-46,7.821014909235746e-44,94.5450228302253,99.25692976181224,True,True,2,False,False,2
