,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
LRRD1,9.28054182060446,-1.9437623022523185,26.6539786212361,1.3048000790541303e-61,6.43094754752758e-59,128.90980838715384,133.99139859572148,True,True,2,False,False,2
ZBED6,7.624793119581846,-0.9881116403361381,26.574163814111472,1.948804202433383e-61,9.35875741214739e-59,128.43993325652306,133.61620796008438,True,True,2,False,False,2
SLX1A,5.861831427974869,-0.5035197408049593,26.459850980645783,3.4663043990411634e-61,1.623010377241049e-58,127.375146190094,133.06565271127877,True,True,2,False,False,2
CCDC103,8.968720465362107,-5.529530002776245,26.431021943388703,4.00909446546272e-61,1.8313739083817385e-58,122.8119363652944,132.94486893888035,True,True,2,False,False,2
SERF1A,7.166589955802787,-2.4459214531601625,26.215319281691137,1.1943334714453063e-60,5.32587418730932e-58,125.44100388346182,131.87735852890216,True,True,2,False,False,2
SPDYA,6.040702215725621,0.2589942473855567,26.053742675186097,2.7153321106457677e-60,1.1826850023321996e-57,125.85219086211146,131.0795630213385,True,True,2,False,False,2
MAGED4B,10.487004826785357,-3.648425862087622,25.861520314552877,7.24340175889508e-60,3.08321980778059e-57,125.04015308005506,130.1213758575804,True,True,2,False,False,2
ANKUB1,9.024247869959167,-2.9063180627483356,25.71543199139463,1.5313768667390227e-59,6.373590519367813e-57,124.17776227467579,129.39518732906234,True,True,2,False,False,2
LTO1,3.2882627765977235,5.032237510715416,24.788541012135468,1.880176646429071e-57,7.655180089341319e-55,119.73651626252376,124.6067975601255,True,True,2,False,False,2
CYB5D1,5.209684761677849,-0.40693327658556955,24.738014470015433,2.451267691387789e-57,9.768040977021682e-55,118.2965433809574,124.36306418284612,True,True,2,False,False,2
H2AC20,6.763175444203566,-0.734056429548282,24.28094493854578,2.7393242733673203e-56,1.0688500899145112e-53,116.81989403172575,121.9704265404186,True,True,2,False,False,2
JSRP1,9.057101445471687,-1.0667375772190575,23.758125715943013,4.4717420263129166e-55,1.709209314506421e-52,114.24750365258424,119.19839396128818,True,True,2,False,False,2
H1-5,11.096613220526027,-4.776936229167417,23.748091016217742,4.719541364550763e-55,1.7678458043334245e-52,114.2064169532689,119.16466309002189,True,True,2,False,False,2
H3C12,10.496449391677093,-5.169261445162045,23.477716929216495,2.0279913258952428e-54,7.447499910331765e-52,112.40184994407046,117.72654644212513,True,True,2,False,False,2
RGPD8,4.707060446390254,1.8312924228335121,23.109408787062154,1.4995985344726496e-53,5.40115018310351e-51,110.8306370211738,115.74522781493569,True,True,2,False,False,2
H2AC11,7.030173736211517,-0.650986017693634,23.08920158257582,1.674409508737957e-53,5.916984092293057e-51,110.64887985624269,115.65401286748045,True,True,2,False,False,2
H1-4,6.228955286027262,-0.823557034072866,23.06813009896669,1.8785391548086085e-53,6.515399968594523e-51,110.22617499148087,115.55767114204775,True,True,2,False,False,2
WNT16,7.623075857062522,-0.5296385490578905,23.0145276991903,2.5177693918541733e-53,8.573691443643056e-51,110.29768159807593,115.28314136261352,True,True,2,False,False,2
