,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
HMGA2,8.424411423452344,-1.1724692173684141,22.42452369681934,4.7181412978521275e-52,2.2006590548506785e-49,107.78294097344741,112.03791267081955,True,True,2,False,False,2
KRTAP2-3,9.990512893962006,-5.206374035492519,22.36977253785321,6.40045171993376e-52,2.912517749726931e-49,106.88015768313909,111.75765164350814,True,True,2,False,False,2
PABPC3,6.002071715845428,-0.4834034359907059,22.299716081927908,9.460465854011059e-52,4.202474081863912e-49,106.88342164794732,111.39099613774039,True,True,2,False,False,2
GJD3,8.473151104269188,-5.397027014735577,22.182797231043814,1.8185749745983096e-51,7.890500767693178e-49,103.30590733395702,110.76100995520885,True,True,2,False,True,3
ZC3H11C,8.199123663058794,-3.7675535645016724,22.010501456883336,4.7790608897879195e-51,2.0264304322903e-48,104.59047148543405,109.81780862621288,True,True,2,False,False,2
ACAN,7.3088245763440005,0.7980956713823683,21.891254081386254,9.347859643478179e-51,3.8756226081860535e-48,104.85207584798667,109.16937814073515,True,True,2,False,False,2
DKK1,8.619786777907846,0.6619846879156096,21.507132720710565,8.214363092748875e-50,3.3316385265525164e-47,102.69744927061987,107.01803513772894,True,True,2,False,False,2
H3-5,6.275842123537034,-1.2479481426804728,21.365387153939185,1.8403950084324757e-49,7.153385348400979e-47,101.51072408584463,106.25391365076746,True,True,2,False,False,2
UBL4B,8.471834136637684,-2.0797925197130986,21.253953732685133,3.476163642401086e-49,1.3235670423730011e-46,101.25862562883076,105.63858388096097,True,True,2,False,False,2
EIF5AL1,4.522181518097861,0.9587128997228053,20.677899077614324,9.542376582174065e-48,3.5606423978724305e-45,97.85515248340296,102.34638820730648,True,True,2,False,False,2
LRRC37A,3.368253669996039,1.3790668662189243,20.541703288632448,2.1009126847301374e-47,7.685632933139249e-45,96.78038791023688,101.57697645158318,True,True,2,False,False,2
C21orf140,7.780134920946651,-5.494511352014519,20.22774763008188,1.3071629643884378e-46,4.689949889729824e-44,91.65490727860472,99.76832219382948,True,True,2,False,False,2
KRT33B,9.489559401567472,-4.58368979153016,20.186959783473522,1.6590614048252172e-46,5.840209175438505e-44,94.83094032095322,99.54897747782724,True,True,2,False,False,2
POLR2J2,4.876092284652666,-0.3673699145708626,20.15604860359583,1.9878542014977975e-46,6.86803626617489e-44,94.37573772666585,99.38686586826027,True,True,2,False,False,2
RAPH1,5.117542657067366,2.2561604782175566,19.654855603853818,3.790225456737609e-45,1.2857133881155194e-42,92.1201435573321,96.45726017560163,True,True,2,False,False,2
WDR73,3.322209382414419,2.113247715314398,19.524728714514854,8.189379417385492e-45,2.6805131893010724e-42,91.2304687053736,95.72256564101357,True,True,2,False,False,2
CEMIP,8.211997457342497,3.1416769143366885,19.434129613504673,1.4019380819012955e-44,4.433213354920758e-42,90.8044298620097,95.21944922235636,True,True,2,False,False,2
KRT34,10.337591464582038,-4.168237120761757,19.386957940410234,1.8555085906020517e-44,5.76970396247708e-42,90.5154971527306,94.95595313287592,True,True,2,False,False,2
MGARP,6.8190151982069,0.4880016602135545,19.367828131518767,2.0790444824510295e-44,6.256247243401429e-42,90.41631436975928,94.87499338228378,True,True,2,True,False,2
EIF3C,3.05851693002851,3.6281427572333165,18.997529247829227,1.896187737426284e-43,5.615424542406695e-41,88.26008839929032,92.6804716188027,True,True,2,False,False,2
GNG5B,8.52995677343358,-5.250434023965206,18.97673894835727,2.1477900849446948e-43,6.261143689814558e-41,86.25933355605459,92.57162594627768,True,True,2,False,False,2
SERF1B,4.341243518629537,0.09786964089390159,18.850288372286784,4.587550224158987e-43,1.3167680697251419e-40,86.80995613970127,91.82822341750129,True,True,2,False,False,2
MMP1,10.134178791788862,-2.73721982817235,18.6328210363667,1.6994669260300158e-42,4.804084005900304e-40,86.07572530984953,90.53393732903996,True,True,2,False,False,2
TOP3B,4.884227019656787,-0.2935366441668908,18.531560687884436,3.1329409293452027e-42,8.665760752960212e-40,85.02709683906274,89.94402400437653,True,True,2,False,False,2
KRTAP2-1,7.9818036343553675,-5.444159666221458,18.530219598634144,3.1584484708221816e-42,8.665760752960212e-40,82.73408509135982,89.94402400437653,True,True,2,False,False,2
KISS1,8.87229145518618,-3.2052931668357525,18.33846531426305,1.0090956431348384e-41,2.7285068715893736e-39,84.2407692760642,88.79706410067733,True,True,2,False,False,2
ARL17A,3.799423230914859,1.2277469494755198,18.116696604186142,3.887130314323957e-41,1.036031289633458e-38,82.78157332124862,87.46283618804362,True,True,2,False,False,2
OXTR,6.437468887313978,1.4033589094827585,17.8679559833989,1.775917068424139e-40,4.60184510355405e-38,81.47201900191519,85.97177620123331,True,True,2,False,False,2
MATR3,4.31309309422332,3.6372566705502076,17.857959450482998,1.8879973780084303e-40,4.825255764589491e-38,81.42856940612278,85.9243697921826,True,True,2,False,False,2
FBN2,7.561301792992273,1.4775461570178074,17.806646025385213,2.5852859358713503e-40,6.518064825074565e-38,81.09871635728962,85.62365600786094,True,True,2,False,True,3
GDF6,6.303442737927009,0.003766321892389467,17.799806410280528,2.695958975024856e-40,6.706467546271831e-38,81.03211479687074,85.59516116757077,True,True,2,False,False,2
BOLA2B,4.823787649502197,-0.9703198488165087,17.756170940107424,3.522965788184608e-40,8.648417461863188e-38,79.87905437208364,85.34085718195354,True,True,2,False,False,2
