,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
EIF3CL,8.16399371693237,-0.572028304656784,50.10246401452043,5.586373327747908e-102,1.0422496717579271e-97,218.74026602693058,223.30937249757974,True,True,2,False,False,2
PYURF,8.999865691896822,-2.8294677275603792,49.55008194016553,3.1254345014836984e-101,2.915561574709068e-97,216.9225270051577,222.28069156918863,True,True,2,False,False,2
ZC3H11A,7.998770186474439,-0.35780632862315276,44.31970206204453,9.077140330483434e-94,5.645073571527648e-90,200.9613016237619,205.50187513890444,True,True,2,False,False,2
FAM156B,8.259419875790442,-2.3842307524294255,44.21308746048262,1.3114541136778255e-93,6.116949849721797e-90,200.12020334583264,205.42159478774607,True,True,2,False,False,2
ZBTB9,9.61735087021159,-5.460730280113799,39.119615985669355,1.4278935596026055e-85,5.328042028301162e-82,178.39733759897513,187.1389938041101,True,True,2,False,False,2
ARL2BP,5.609156151377239,1.009174844561342,37.671291875006325,3.939885838796077e-83,1.2251075015736402e-79,177.56621051462582,181.70119374999663,True,True,2,False,False,2
U2AF1,7.391214809141099,-0.5418154360277272,36.91785095097981,7.849300757662767e-82,2.0920629176530605e-78,174.6382749345122,178.86348663242518,True,True,2,False,False,2
PGAM4,9.469063843316667,-3.171204473916721,35.92528468712706,4.3518464609252304e-80,1.0149049927685253e-76,170.78341408396028,174.9816720626185,True,True,2,False,False,2
RGPD5,8.292683551744975,-3.4439823110224346,34.21667078122483,5.365222133692473e-77,1.1122105483144496e-73,162.39074368498817,167.9823622686505,True,True,2,False,False,2
RGPD6,9.087136638764232,-4.320715517558497,32.75408720201807,2.9467476305628968e-74,5.497747054341197e-71,156.2589165233138,161.7792032207421,True,True,2,False,False,2
CYB5D1,5.419658737514024,-0.3691513510807748,32.06384385964601,6.219718207820423e-73,1.054920750939142e-69,153.817529087651,158.82490577007582,True,True,2,False,False,2
FKBP1C,6.828379377703189,-0.7911645038451867,30.903190653606586,1.1694708836664847e-70,1.8182348563804673e-67,149.55232944456696,153.67533505926164,True,True,2,False,False,2
PSG6,9.64687272799284,-5.347239944066017,29.18664146509255,3.5011076196849876e-67,5.024628066189448e-64,139.86992302485572,145.75109451709187,True,True,2,False,True,3
MAGED4,9.611750062064866,-3.7390076442177578,27.970319366156026,1.237062897146063e-64,1.6485630337181495e-61,136.09738303620378,139.9577866528238,True,True,2,False,False,2
PSG5,12.935565386213675,-4.416527556160963,27.713956120028378,4.352635673333818e-64,5.413808250492602e-61,135.11752473495378,138.76873789941718,True,True,2,False,True,3
ERCC5,4.962516541151794,1.7617615687986186,27.543653523413766,1.00812541866505e-63,1.1755372460021149e-60,134.21438546750664,137.9933803059046,True,True,2,False,False,2
NUDT4B,8.723708331383092,-5.444421064814147,27.462474961364588,1.5062555556956535e-63,1.6530711707419886e-60,129.33850899503514,137.65247070623042,True,True,2,False,False,2
KRTAP3-1,9.828454816292325,-5.239840368510655,26.744345514527666,5.433381680392127e-62,5.63170011172644e-59,129.05983983225957,134.1241091164183,True,True,2,False,False,2
NOMO3,5.757756290750224,2.330092708276665,26.512974620939346,1.7473263170212715e-61,1.6299933548332932e-58,129.20909862599143,133.0613594556337,True,True,2,True,True,3
SERF1A,6.826714800906704,-2.4050458952661535,26.373929080327,3.536481246950543e-61,3.1419109821122042e-58,127.0161124784947,132.40510418582275,True,True,2,False,False,2
MAGED4B,9.453919638820304,-3.6013758924182975,25.916918129946534,3.6478051529685917e-60,2.959004379953696e-57,126.03161141805258,130.16249744702947,True,True,2,False,False,2
PSG9,10.046250556425298,-5.095647044999551,25.905756332376207,3.8629573637135713e-60,3.0029664806168373e-57,125.4124068815435,130.14774967368746,True,True,2,False,True,3
POLR2J2,5.36986678302784,-0.3580205985426989,25.40363885475558,5.167570079633612e-59,3.8564541990289716e-56,122.92514755907922,127.59501704765037,True,True,2,False,False,2
EIF3C,3.896300927681681,3.6437508691868024,24.54978054997787,4.563854182916957e-57,3.2749164419492947e-54,119.25006436853486,123.15330266682535,True,True,2,False,False,2
H2BC12L,8.857301074280791,-5.395058018018962,24.50391175097781,5.82068508322786e-57,4.022093392510451e-54,115.88188438491484,122.94779251018227,True,True,2,False,False,2
KRTAP1-5,11.18497417811745,-4.406238913913164,24.399603982170433,1.0130486549352736e-56,6.750160269688357e-54,118.41629894053041,122.43002877341837,True,True,2,False,False,2
GJD3,8.709491139175835,-5.392360649468487,24.253488767689937,2.2066204494705887e-56,1.4196178526128543e-53,114.32013764985258,121.68662221116824,True,True,2,False,True,3
EIF5AL1,4.931009135580734,0.9665228715842211,24.004500618319817,8.365963383607158e-56,5.202792628265291e-53,116.17963628436532,120.38781440335633,True,True,2,False,False,2
PABPC3,6.173098155696388,-0.4799196426424907,23.63228989532146,6.222985900872543e-55,3.745233804921905e-52,114.1229668585053,118.41394078944914,True,True,2,False,False,2
TNFSF18,8.281097506277396,-2.7151683648836187,23.460743007973864,1.5782860448788224e-54,9.201900856032559e-52,113.21126181271546,117.51501475819113,True,True,2,True,True,3
LRRC37A,3.5979299623762455,1.3836181059929196,23.41145833209666,2.063492852541962e-54,1.1666238227234965e-51,112.67476504960509,117.27772578692326,True,True,2,False,False,2
KRT34,11.758154305176593,-4.142034410160825,23.357666865366916,2.765775222598653e-54,1.5176784802359725e-51,112.9066412261632,117.01465789100784,True,True,2,False,False,2
SHOX,10.708379247500108,-4.385391970347957,23.2998625281255,3.7905024123611004e-54,2.0205543859263155e-51,112.5393135332287,116.72846782045893,True,True,2,False,False,2
PSG3,9.233558425464121,-5.192091139503931,23.224962263946765,5.705984366254372e-54,2.9571263978113285e-51,110.55125830251511,116.34762175745333,True,True,2,False,True,3
PSG1,10.053217406403677,-5.15062500575562,23.02736710576596,1.6842922450989952e-53,8.492929842381609e-51,110.5320918325324,115.29260570857292,True,True,2,False,True,3
DEXI,7.330249461637603,-3.048448643629085,22.77348588880872,6.81621317821385e-53,3.3465812964719946e-50,108.53034620714158,113.92131533345449,True,True,2,True,False,2
ZC3H11B,6.146724079206655,-1.7803388140602043,22.76633998286553,7.090595990991567e-53,3.392032035998196e-50,108.5985986431579,113.90782548724229,True,True,2,False,False,2
H3-5,6.414128648884728,-1.2450571085433477,22.679689729378175,1.1448202260881844e-52,5.339727739531814e-50,108.80876814138405,113.45407998313637,True,True,2,False,False,2
ZSCAN32,4.5475960223424305,0.10350995363318612,22.639966972152205,1.4264363785827122e-52,6.490981345175039e-50,108.25043997415348,113.25884092160747,True,True,2,False,False,2
HMGA2,8.486723420891424,-1.1709611556752808,22.622860404448947,1.5682399717832643e-52,6.966345988942943e-50,108.87007055820395,113.18816381075433,True,True,2,False,False,2
PSG8,8.695560378950045,-5.281250585382539,22.225005054524768,1.4362018028895886e-51,6.231445822444432e-49,104.21229797071308,110.9970611766053,True,True,2,False,True,3
OXTR,8.0334450028963,1.4327521986659897,22.11639905911052,2.637999420384353e-51,1.1185717087752471e-48,106.09946631691717,110.41203185226533,True,True,2,False,False,2
SMIM11,9.441950587161557,-4.772984666353984,22.112312171117917,2.69913109521958e-51,1.119059752078038e-48,105.4044382980054,110.41159563806377,True,True,2,True,False,2
DKK1,8.864927251071295,0.6668170190169249,22.075432192237624,3.319307485647544e-51,1.3462678208636138e-48,105.85797799655174,110.22674827690305,True,True,2,False,False,2
ZBED6,6.1550172994569134,-0.9660306712663174,21.588227741899992,5.183971166917178e-50,2.0578159587483784e-47,102.8327429386035,107.49985416454311,True,True,2,False,False,2
ACKR4,7.317019386438571,0.37410611317019354,21.328116984278452,2.276342190726059e-49,8.66728903109716e-47,101.69695192105087,106.06194331266464,True,True,2,False,False,2
BOLA2B,5.180739310415211,-0.9634591774827831,21.27069609851129,3.15927937256535e-49,1.1788535050790347e-46,100.33531322032682,105.7543719174287,True,True,2,False,False,2
ZC3H11C,8.094860796073501,-3.769075205062556,21.197490202968194,4.801001782324576e-49,1.7563194167221494e-46,100.04945732093542,105.35569389887155,True,True,2,False,False,2
TOP3B,5.156973130946489,-0.2882000332964299,21.153793784291974,6.1652935453745885e-49,2.212036186077956e-46,100.26377360395506,105.1250008352134,True,True,2,False,False,2
WDR73,3.4727932031420363,2.116360420168377,21.014549535655057,1.3702068645775198e-48,4.734064717115331e-46,99.82552979637941,104.3641300960232,True,True,2,False,False,2
ARL17A,4.1019973951890965,1.2336245126522483,20.98426207966546,1.6306722489537485e-48,5.5315367543145604e-46,99.56368422934213,104.20844860670783,True,True,2,False,False,2
KRTAP2-3,9.701919521761871,-5.211248550891714,20.078694140021668,3.1270382341119762e-46,1.0080307795143317e-43,93.92880373108605,99.00316029432851,True,True,2,False,False,2
GNG5B,8.662383518493868,-5.247650964581588,20.02590245374854,4.261616493446347e-46,1.3476098121733643e-43,92.35884815351046,98.71282648499925,True,True,2,False,False,2
MMP1,10.780117521473512,-2.7251002395880213,19.901503175511554,8.850403006234941e-46,2.752032814788755e-43,93.5556677316756,97.99881915476548,True,True,2,False,False,2
SMN2,3.1690124255458896,2.237970829811583,19.80438054718538,1.5679507758725e-45,4.795616004172661e-43,92.85518657523815,97.44345683063638,True,True,2,False,False,2
SPOCD1,6.736686059514277,0.6023383813731081,19.295583852654566,3.196118017430276e-44,9.46507521447566e-42,89.99313923612812,94.46096517453007,True,True,2,False,False,2
