,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000443816,18.54285166383803,-4.808975441097675,91.82879517589906,3.654640797520781e-145,5.943176864928294e-140,310.63632064278147,ENST00000443816,FN1,ENST00000443816 - FN1,320.57966920301465,True,True,2,False,True,3
ENST00000356005,18.4048528025151,-4.811475328963151,89.9990056876753,9.949084686928261e-144,8.089600758941369e-139,307.51909255528676,ENST00000356005,FN1,ENST00000356005 - FN1,317.96874854626515,True,True,2,False,True,3
ENST00000446046,18.543582469463768,-4.761095967517155,77.81954098621382,2.1219505259391583e-133,1.1502386484274197e-128,287.0770167136547,ENST00000446046,FN1,ENST00000446046 - FN1,294.5909224620204,True,True,2,False,True,3
ENST00000432072,15.11251039876757,-4.871336528566719,55.6909108556078,5.561334509532196e-110,5.31990716435368e-106,233.83971186130702,ENST00000432072,FN1,ENST00000432072 - FN1,242.402564004477,True,True,2,False,True,3
ENST00000617924,13.552458566272577,-4.899705293824799,44.032677577205845,5.425080183466092e-94,8.734916232032237e-91,198.7109335735989,ENST00000617924,THBS2,ENST00000617924 - THBS2,207.36791510884,True,True,2,False,True,3
ENST00000613167,9.548612651070403,2.835351772565955,41.017079632548715,2.8744138772654604e-89,3.2460915605618694e-86,191.2058414315841,ENST00000613167,PLLP,ENST00000613167 - PLLP,196.84486632159621,True,True,2,False,False,2
ENST00000488683,12.697077766212766,-4.915277663596122,38.58915578255212,2.978491860436619e-85,2.562763737270915e-82,179.4383469792735,ENST00000488683,CLIC4,ENST00000488683 - CLIC4,187.87089136448148,True,True,2,True,True,3
ENST00000537463,12.19554651560453,-4.924358286918355,35.64654258365981,4.168287041796836e-80,2.519876723929373e-77,168.07296745254158,ENST00000537463,FBN1,ENST00000537463 - FBN1,176.3748421792904,True,True,2,False,True,3
ENST00000615393,12.12408700511032,-4.925665865375871,35.25038837061228,2.1763453823311336e-79,1.2505911168716923e-76,166.4845449845098,ENST00000615393,missing,ENST00000615393 - missing,174.7728507345148,True,True,2,False,False,2
ENST00000409435,12.233587001887095,-4.901245336339511,34.822689749578956,1.3170518125920894e-78,7.284998835500869e-76,164.9148490010199,ENST00000409435,SCN9A,ENST00000409435 - SCN9A,173.0106497877492,True,True,2,False,False,2
ENST00000417172,12.026152079867167,-4.927492703038048,34.67198957707335,2.493655911148556e-78,1.3472369577108912e-75,164.14484088771616,ENST00000417172,CALD1,ENST00000417172 - CALD1,172.3958261774436,True,True,2,False,False,2
ENST00000511880,14.073916212156302,-4.575453837464485,34.36478237161531,9.221924014626995e-78,4.853298651322466e-75,164.54448376307278,ENST00000511880,PPEF2,ENST00000511880 - PPEF2,171.11422336649724,True,True,2,False,False,2
ENST00000519510,12.378971026658078,-4.884415562077866,33.60253436911306,2.459105648512909e-76,1.152448877697894e-73,160.17096848662544,ENST00000519510,PLAT,ENST00000519510 - PLAT,167.94682265140636,True,True,2,False,True,3
ENST00000409809,11.786581667296645,-4.931878010151774,33.22854978531177,1.2566897166840021e-75,5.598983061017875e-73,158.18303666640853,ENST00000409809,missing,ENST00000409809 - missing,166.36612680356163,True,True,2,False,False,2
