,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000446046,18.449165087257093,-4.76109596679875,79.13028227070278,1.0504605259339996e-134,1.70825890727387e-129,290.63921108513557,ENST00000446046,FN1,ENST00000446046 - FN1,296.4980023272984,True,True,2,False,True,3
ENST00000356005,17.235675847264304,-4.830824051507453,75.34302077881671,3.130852496718635e-131,2.545696165081922e-126,281.4912544092987,ENST00000356005,FN1,ENST00000356005 - FN1,289.19131756238124,True,True,2,False,True,3
ENST00000613167,11.57197552436408,2.8736963794427153,62.924748494011894,1.4586653087606966e-118,7.860566600134983e-114,256.6400558624621,ENST00000613167,PLLP,ENST00000613167 - PLLP,260.43284191094705,True,True,2,False,False,2
ENST00000443816,15.68084580953254,-4.859329803118424,62.81463333410181,1.933480900291473e-118,7.860566600134983e-114,252.84463396196867,ENST00000443816,FN1,ENST00000443816 - FN1,260.43284191094705,True,True,2,False,True,3
ENST00000538098,15.214216843022063,-4.868418312279557,53.61281775047274,1.8849736141702293e-107,1.6133389954545407e-103,229.37589150306002,ENST00000538098,WDR74,ENST00000538098 - WDR74,236.68795863675317,True,True,2,False,False,2
ENST00000432072,14.54198938326075,-4.880073832578979,53.26492283929512,5.287404144484315e-107,3.908353008981997e-103,227.64777652329374,ENST00000432072,FN1,ENST00000432072 - FN1,235.80314851845404,True,True,2,False,True,3
ENST00000511880,15.039898217999621,-4.557595956582365,47.30960355029356,6.617361288973678e-99,1.6814301450201556e-95,211.39882057403437,ENST00000511880,PPEF2,ENST00000511880 - PPEF2,218.22593912635205,True,True,2,False,False,2
ENST00000372915,12.684622542376434,-4.91388648040623,39.90684655535328,1.5984767638293769e-87,1.4282653369996332e-84,184.6884905974585,ENST00000372915,MACF1,ENST00000372915 - MACF1,193.0606871546192,True,True,2,False,False,2
ENST00000523412,15.753938546220148,-4.716490551565753,39.737713009923056,3.0450197417937163e-87,2.6480273283983643e-84,186.49506185380636,ENST00000523412,FAM83A,ENST00000523412 - FAM83A,192.4433328530862,True,True,2,False,False,2
ENST00000488683,12.310143689998021,-4.920605390197614,37.4890646951161,1.989318604444391e-83,1.3312880306779706e-80,175.64907699919172,ENST00000488683,CLIC4,ENST00000488683 - CLIC4,183.92066052181067,True,True,2,True,True,3
ENST00000617924,12.32403186579012,-4.920300820093844,37.462555395620484,2.2118409248292403e-83,1.462152728437931e-80,175.56549477836992,ENST00000617924,THBS2,ENST00000617924 - THBS2,183.8268976182364,True,True,2,False,True,3
ENST00000537463,12.064344168570539,-4.925168363232095,36.136391510760525,4.805368100230061e-81,2.685391616699012e-78,170.35322694317392,ENST00000537463,FBN1,ENST00000537463 - FBN1,178.61381068269114,True,True,2,False,True,3
ENST00000482512,11.918355835455042,-4.927810884532651,35.29182281688438,1.602966608881706e-79,7.971695105086942e-77,166.9797541282882,ENST00000482512,GOLGB1,ENST00000482512 - GOLGB1,175.22315500464651,True,True,2,True,False,2
ENST00000409435,12.13633083962085,-4.901328707409811,35.24816526850347,1.924947901451253e-79,9.485909931333417e-77,166.99896451783619,ENST00000409435,SCN9A,ENST00000409435 - SCN9A,175.04924462803598,True,True,2,False,False,2
ENST00000445125,11.846971791876538,-4.927524825604899,34.859915610293335,9.87852302431546e-79,4.602995456201089e-76,165.23734751848443,ENST00000445125,,ENST00000445125 - nan,173.46975978985145,True,True,2,False,False,2
ENST00000519510,12.342895152048676,-4.8834595020333635,34.38877519362669,7.323426808902572e-78,3.271801284790484e-75,163.77261995325148,ENST00000519510,PLAT,ENST00000519510 - PLAT,171.50854128968945,True,True,2,False,True,3
ENST00000544884,11.734272972534221,-4.931126144264366,34.2297282359675,1.4469240954353105e-77,6.325236462357263e-75,162.65030664208498,ENST00000544884,BLTP2,ENST00000544884 - BLTP2,170.84933455528574,True,True,2,False,False,2
ENST00000513960,11.610971832596757,-4.933383614863623,33.54265022298542,2.8180710762067535e-76,1.1371581102053157e-73,159.79115616474763,ENST00000513960,VCAN,ENST00000513960 - VCAN,167.9601795243572,True,True,2,False,True,3
ENST00000557538,11.58175135422438,-4.933989884298391,33.22263316116719,1.1409731252685367e-75,4.4388767854346753e-73,158.4632664536143,ENST00000557538,HIF1A,ENST00000557538 - HIF1A,166.59831042037854,True,True,2,False,False,2
ENST00000521694,11.531373274375863,-4.934886615971942,33.11245062977089,1.8508809192751003e-75,7.166434645059924e-73,157.97532150570493,ENST00000521694,PLAT,ENST00000521694 - PLAT,166.11930351773182,True,True,2,False,True,3
ENST00000525975,11.261793294804974,-4.939715742812607,31.63474831941261,1.366930338499417e-72,4.25843317330987e-70,151.61917000225418,ENST00000525975,HIPK3,ENST00000525975 - HIPK3,159.73205521664934,True,True,2,False,False,2
ENST00000395898,11.233495947223489,-4.940262364176796,31.51777111569894,2.327606143905739e-72,7.075052544335538e-70,151.1006042701204,ENST00000395898,VPS13C,ENST00000395898 - VPS13C,159.22438163932026,True,True,2,False,False,2
ENST00000615393,11.217717793117025,-4.9405140538425405,31.413179785510117,3.7507241562607937e-72,1.1337226064890897e-69,150.64504725635365,ENST00000615393,missing,ENST00000615393 - missing,158.75286485629573,True,True,2,False,False,2
ENST00000417172,11.235734403660535,-4.940014996061802,31.159148925320427,1.2006729313015873e-71,3.530803473567163e-69,149.57625023538324,ENST00000417172,CALD1,ENST00000417172 - CALD1,157.61684595863528,True,True,2,False,False,2
ENST00000475616,11.144471680180432,-4.941819073893703,30.943307736781104,3.2438790622470306e-71,9.419993091118075e-69,148.5779770863015,ENST00000475616,missing,ENST00000475616 - missing,156.6355370614281,True,True,2,False,False,2
ENST00000545208,11.044845645835718,-4.943666645960698,30.526948200203908,2.2372654297974005e-70,6.180302814227378e-68,146.70162154492192,ENST00000545208,TJP1,ENST00000545208 - TJP1,154.75441905426,True,True,2,False,False,2
ENST00000513685,11.010917077065251,-4.944423869144653,30.28071139071613,7.070724852972387e-70,1.8974278475088604e-67,145.59635582011262,ENST00000513685,ITGA2,ENST00000513685 - ITGA2,153.63270202606466,True,True,2,True,True,3
ENST00000524698,11.842041547295011,-4.8505275210561285,29.867189405571423,4.955484036440823e-69,1.2690721480409553e-66,144.3290180269568,ENST00000524698,TXNRD1,ENST00000524698 - TXNRD1,151.73233009624272,True,True,2,False,False,2
ENST00000553373,10.908740671711083,-4.946137255405285,29.829584471947328,5.920849530583049e-69,1.5044508604115867e-66,143.54313103984958,ENST00000553373,FERMT2,ENST00000553373 - FERMT2,151.56218818279285,True,True,2,False,True,3
ENST00000538118,11.071473983104307,-4.912461561261671,29.818086584045954,6.252181367697007e-69,1.5787728789051045e-66,143.60891891280042,ENST00000538118,BCAT1,ENST00000538118 - BCAT1,151.51396825124476,True,True,2,False,False,2
ENST00000352040,10.910889180572292,-4.946083772846698,29.809281289228934,6.51846767684894e-69,1.6409182873207037e-66,143.45497843065434,ENST00000352040,ADAMTS12,ENST00000352040 - ADAMTS12,151.47536012118084,True,True,2,False,False,2
ENST00000447879,10.857544982744297,-4.947082249965264,29.579636381008957,1.9402598917942386e-68,4.773450281445977e-66,142.39670529791542,ENST00000447879,MPDZ,ENST00000447879 - MPDZ,150.40754676473983,True,True,2,False,False,2
ENST00000416123,10.814878257933447,-4.947891278788059,29.36311727173496,5.4550226716986835e-68,1.2988225283625766e-65,141.3987181170288,ENST00000416123,COL12A1,ENST00000416123 - COL12A1,149.40657293799592,True,True,2,False,True,3
ENST00000545641,10.812570309906505,-4.9479089412421,29.357151510890038,5.6130363379650704e-68,1.3344911831577189e-65,141.37131555945334,ENST00000545641,RIC1,ENST00000545641 - RIC1,149.37948096162307,True,True,2,False,False,2
ENST00000494950,12.405980583459932,-3.4945517950489027,29.257906995410732,9.031340546905016e-68,2.134704360083857e-65,142.29370712510806,ENST00000494950,PLOD2,ENST00000494950 - PLOD2,148.9097028805493,True,True,2,False,True,3
ENST00000634879,10.81528502142568,-4.934613916256141,29.231248267368567,1.0264002244357862e-67,2.4120405274240974e-65,140.81423186786532,ENST00000634879,EIF4G3,ENST00000634879 - EIF4G3,148.78755796347457,True,True,2,False,False,2
ENST00000487661,10.785580105868565,-4.948310148208405,29.126885738340896,1.6949915536653207e-67,3.954656046729619e-65,140.32058153307725,ENST00000487661,HEG1,ENST00000487661 - HEG1,148.29313741386807,True,True,2,True,True,3
ENST00000321464,10.719019332638993,-4.949607398837219,28.889489734762282,5.329389264545714e-67,1.2155193298743674e-64,139.20024630884978,ENST00000321464,ZBTB38,ENST00000321464 - ZBTB38,147.1702745341541,True,True,2,False,False,2
ENST00000471562,10.71703486368615,-4.949594838259991,28.851406511795656,6.408296726773718e-67,1.455470968865841e-64,139.02768361734925,ENST00000471562,FILIP1L,ENST00000471562 - FILIP1L,146.9901164134296,True,True,2,False,False,2
ENST00000433736,12.249212893562962,-4.85717061604899,28.19567177073421,1.572062034828803e-65,3.341813439266143e-63,136.8771327739538,ENST00000433736,ITGAV,ENST00000433736 - ITGAV,143.85634725308998,True,True,2,True,True,3
ENST00000405269,10.72295471832758,-4.920147832876492,28.114540447832617,2.3436230003495073e-65,4.917677062152734e-63,135.6711809495786,ENST00000405269,SLC8A1,ENST00000405269 - SLC8A1,143.4700245814536,True,True,2,False,True,3
ENST00000424646,10.81806886316375,-4.873042992114713,27.921320235832205,6.084334009407264e-65,1.2540359906334717e-62,134.83417288934334,ENST00000424646,NR3C1,ENST00000424646 - NR3C1,142.53390862316732,True,True,2,False,False,2
ENST00000371144,10.478234892185741,-4.953985532240173,27.722074330888823,1.634598422655675e-64,3.3144438340681534e-62,133.67335222139556,ENST00000371144,STAG2,ENST00000371144 - STAG2,141.56198592859684,True,True,2,False,False,2
ENST00000520226,10.455964418408747,-4.954417409509269,27.617451140658364,2.7515550757260182e-64,5.490280814902639e-62,133.16946791914754,ENST00000520226,DLC1,ENST00000520226 - DLC1,141.05729636116203,True,True,2,False,False,2
ENST00000618282,10.392338770364603,-4.955564611215002,27.310379493668783,1.2781179581112672e-63,2.4832442335490357e-61,131.68750811255876,ENST00000618282,MAGT1,ENST00000618282 - MAGT1,139.54812480866488,True,True,2,False,False,2
ENST00000536525,10.363191894300865,-4.95607872311819,27.175946311646207,2.512334644673485e-63,4.8122009413050895e-61,131.0349941121343,ENST00000536525,NAV3,ENST00000536525 - NAV3,138.88653611702026,True,True,2,False,False,2
ENST00000401753,10.30858643522285,-4.957070264003966,26.919063505632558,9.193651159755466e-63,1.7048053144237337e-60,129.78221473212514,ENST00000401753,ROCK2,ENST00000401753 - ROCK2,137.6216546605156,True,True,2,False,False,2
ENST00000565324,10.296582334701217,-4.957293219031664,26.863171501449855,1.2204520060139415e-62,2.2476772957869442e-60,129.50842887903312,ENST00000565324,SMG1,ENST00000565324 - SMG1,137.34520820961203,True,True,2,False,False,2
ENST00000220959,10.27868395969595,-4.95766085385789,26.744119609139535,2.2341845637241087e-62,4.064016708644458e-60,128.92747213581137,ENST00000220959,UBR5,ENST00000220959 - UBR5,136.75293375799598,True,True,2,False,False,2
ENST00000264441,10.270423533663092,-4.957716799330289,26.717597522014547,2.5569327269835934e-62,4.635545151193668e-60,128.7986421727797,ENST00000264441,PCYOX1,ENST00000264441 - PCYOX1,136.62135177131816,True,True,2,False,True,3
