,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000356005,14.100167201539822,-3.5260935691246544,114.7431802148746,1.3629282559256224e-161,3.5381617523829156e-157,352.6328328290348,ENST00000356005,FN1,ENST00000356005 - FN1,360.2422522867794,True,True,2,False,True,3
ENST00000528957,7.6233811184000775,2.95760103506388,106.75297959161328,2.1549004536803435e-156,2.797060788877086e-152,341.3488059503277,ENST00000528957,RPL8,ENST00000528957 - RPL8,348.96436498751206,True,True,2,False,False,2
ENST00000531188,6.8014020663478725,3.1718843574688855,83.58280038936444,7.354040963127768e-139,6.363696780093229e-135,303.54434224829157,ENST00000531188,RPS3,ENST00000531188 - RPS3,308.9983780909756,True,True,2,False,False,2
ENST00000587184,12.418224407848982,-3.576414952195798,79.56219241681005,2.3860389810695597e-135,1.5485392987141444e-131,294.5968592861812,ENST00000587184,LAMA3,ENST00000587184 - LAMA3,301.2013350835419,True,True,2,False,True,3
ENST00000338167,11.945040624328476,-3.590646971913402,78.77179202736052,1.2237820294868914e-134,6.35387629709594e-131,292.3114332479587,ENST00000338167,APLP2,ENST00000338167 - APLP2,299.78958211507086,True,True,2,True,True,3
ENST00000407193,6.796826987129497,3.111048146775315,74.06076676936608,2.9164310035554146e-130,1.2618424808716428e-126,284.75611186969985,ENST00000407193,RPS14,ENST00000407193 - RPS14,289.89314877797995,True,True,2,False,False,2
ENST00000369850,12.151342831840285,-3.54977035437526,72.85166746269502,4.27136853271791e-129,1.5840675301336706e-125,280.854982323593,ENST00000369850,FLNA,ENST00000369850 - FLNA,287.3631406991121,True,True,2,False,True,3
ENST00000222572,11.543988133084103,-3.602672541831275,72.33244769752558,1.370073087161828e-128,4.445887167840132e-125,278.8017742860732,ENST00000222572,PON2,ENST00000222572 - PON2,286.3311571873893,True,True,2,False,True,3
ENST00000367030,11.906563761461648,-3.591737813764674,71.56000088461414,7.872789777832088e-128,2.270862473694678e-124,277.75198100912286,ENST00000367030,LAMB3,ENST00000367030 - LAMB3,284.70039182757006,True,True,2,False,True,3
ENST00000536633,11.576028626528796,-3.5876420586036355,70.90960282848631,3.479427571835387e-127,8.27386790890619e-124,275.88236320753253,ENST00000536633,FAM83A,ENST00000536633 - FAM83A,283.4074494279491,True,True,2,False,False,2
